SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: GPI16

Rank	Gene	Common	Score
Q	YHR188C	GPI16	
1	YLR378C	SEC61	2.8
2	YDL095W	PMT1	2.8
3	YGL022W	STT3	2.7
4	YIL109C	SEC24	2.7
5	YHR042W	NCP1	2.6
6	YAL023C	PMT2	2.6
7	YHR074W	QNS1	2.6
8	YOR085W	OST3	2.6
9	YOR002W	ALG6	2.6
10	YJR065C	ARP3	2.5
11	YPR181C	SEC23	2.5
12	YOR321W	PMT3	2.5
13	YFR051C	RET2	2.5
14	YHR098C	SFB3	2.5
15	YDL195W	SEC31	2.5
16	YHR194W	MDM31	2.5
17	YIL123W	SIM1	2.5
18	YCL043C	PDI1	2.5
19	YIL034C	CAP2	2.4
20	YLR188W	MDL1	2.4
21	YGL084C	GUP1	2.4
22	YHR025W	THR1	2.4
23	YJR001W	AVT1	2.4
24	YJL062W	LAS21	2.4
25	YHR108W	GGA2	2.4
26	YBR243C	ALG7	2.4
27	YDR518W	EUG1	2.4
28	YMR296C	LCB1	2.4
29	YFL037W	TUB2	2.4
30	YNR030W	ALG12	2.4
31	YJL002C	OST1	2.4
32	YHR050W	SMF2	2.4
33	YAL042W	ERV46	2.4
34	YML051W	GAL80	2.3
35	YBR205W	KTR3	2.3
36	YER119C	AVT6	2.3
37	YIL005W	EPS1	2.3
38	YHR190W	ERG9	2.3
39	YEL002C	WBP1	2.3
40	YNL138W	SRV2	2.3
41	YER178W	PDA1	2.3
42	YPL048W	CAM1	2.3
43	YMR149W	SWP1	2.3
44	YNL321W	VNX1	2.3
45	YBR221C	PDB1	2.3
46	YNL283C	WSC2	2.3
47	YNR013C	PHO91	2.3
48	YHR204W	MNL1	2.3
49	YCR069W	CPR4	2.3
50	YOR176W	HEM15	2.3
51	YNL263C	YIF1	2.3
52	YER083C	GET2	2.3
53	YGL167C	PMR1	2.3
54	YHR019C	DED81	2.3
55	YOR099W	KTR1	2.3
56	YGL026C	TRP5	2.3
57	YFR044C	DUG1	2.3
58	YHR123W	EPT1	2.3
59	YPR183W	DPM1	2.3
60	YEL058W	PCM1	2.3
61	YER003C	PMI40	2.3
62	YDL093W	PMT5	2.3
63	YDL145C	COP1	2.3
64	YNL071W	LAT1	2.3
65	YGL137W	SEC27	2.3
66	YIL140W	AXL2	2.2
67	YLR450W	HMG2	2.2
68	YER136W	GDI1	2.2
69	YJR117W	STE24	2.2
70	YDR456W	NHX1	2.2
71	YGL200C	EMP24	2.2
72	YGR284C	ERV29	2.2
73	YJR143C	PMT4	2.2
74	YAL022C	FUN26	2.2
75	YGR189C	CRH1	2.2
76	YLL031C	GPI13	2.2
77	YHR132C	ECM14	2.2
78	YDR093W	DNF2	2.2
79	YEL042W	GDA1	2.2
80	YDR411C	DFM1	2.2
81	YGR227W	DIE2	2.2
82	YCL044C	MGR1	2.2
83	YGR279C	SCW4	2.2
84	YER070W	RNR1	2.2
85	YPL262W	FUM1	2.2
86	YCL057W	PRD1	2.2
87	YOR149C	SMP3	2.2
88	YKL165C	MCD4	2.2
89	YNL219C	ALG9	2.2
90	YIL039W	TED1	2.2
91	YFL022C	FRS2	2.2
92	YER023W	PRO3	2.2
93	YIR006C	PAN1	2.2
94	YDR388W	RVS167	2.2
95	YGL027C	CWH41	2.2
96	YER019W	ISC1	2.2
97	YBR036C	CSG2	2.2
98	YPR159W	KRE6	2.2
99	YDL052C	SLC1	2.2
100	YIL041W	GVP36	2.2
101	YCR067C	SED4	2.2
102	YOL030W	GAS5	2.2
103	YML085C	TUB1	2.2
104	YHR117W	TOM71	2.2
105	YKR001C	VPS1	2.2
106	YKL127W	PGM1	2.2
107	YBR234C	ARC40	2.2
108	YGR172C	YIP1	2.2
109	YER165W	PAB1	2.2
110	YKL146W	AVT3	2.1
111	YGR204W	ADE3	2.1
112	YBR229C	ROT2	2.1
113	YBL082C	ALG3	2.1
114	YJL093C	TOK1	2.1
115	YDR284C	DPP1	2.1
116	YBR015C	MNN2	2.1
117	YHL004W	MRP4	2.1
118	YDR261C	EXG2	2.1
119	YNL322C	KRE1	2.1
120	YCR088W	ABP1	2.1
121	YJL121C	RPE1	2.1
122	YGR178C	PBP1	2.1
123	YKL080W	VMA5	2.1
124	YOR247W	SRL1	2.1
