SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: BAT1

Rank	Gene	Common	Score
Q	YHR208W	BAT1	
1	YGL009C	LEU1	4.7
2	YKL120W	OAC1	4.5
3	YJR016C	ILV3	4.3
4	YER073W	ALD5	3.9
5	YMR108W	ILV2	3.7
6	YHR019C	DED81	3.7
7	YBR249C	ARO4	3.6
8	YLR355C	ILV5	3.6
9	YOR108W	LEU9	3.5
10	YOR271C	FSF1	3.5
11	YGL148W	ARO2	3.5
12	YER055C	HIS1	3.4
13	YDR158W	HOM2	3.4
14	YHR025W	THR1	3.3
15	YCR053W	THR4	3.3
16	YOL097C	WRS1	3.3
17	YPL160W	CDC60	3.3
18	YDR037W	KRS1	3.3
19	YPR145W	ASN1	3.3
20	YER086W	ILV1	3.3
21	YGL202W	ARO8	3.3
22	YKL081W	TEF4	3.3
23	YLR432W	IMD3	3.3
24	YKL029C	MAE1	3.3
25	YGR124W	ASN2	3.2
26	YGR264C	MES1	3.2
27	YHR068W	DYS1	3.2
28	YGR185C	TYS1	3.2
29	YDL082W	RPL13A	3.2
30	YMR217W	GUA1	3.2
31	YHR064C	SSZ1	3.2
32	YIL094C	LYS12	3.1
33	YJL200C	ACO2	3.1
34	YEL054C	RPL12A	3.1
35	YNL096C	RPS7B	3.1
36	YFL022C	FRS2	3.1
37	YLR060W	FRS1	3.1
38	YGR214W	RPS0A	3.1
39	YER043C	SAH1	3.1
40	YGL123W	RPS2	3.1
41	YDL014W	NOP1	3.1
42	YPR033C	HTS1	3.1
43	YJL190C	RPS22A	3.1
44	YGR285C	ZUO1	3.1
45	YML056C	IMD4	3.1
46	YPL131W	RPL5	3.1
47	YBL076C	ILS1	3.1
48	YLR448W	RPL6B	3.1
49	YHR128W	FUR1	3.1
50	YIL133C	RPL16A	3.1
51	YLR048W	RPS0B	3.1
52	YLR372W	ELO3	3.0
53	YPR163C	TIF3	3.0
54	YPL273W	SAM4	3.0
55	YIL078W	THS1	3.0
56	YGR094W	VAS1	3.0
57	YBR189W	RPS9B	3.0
58	YPR110C	RPC40	3.0
59	YLR175W	CBF5	3.0
60	YCL018W	LEU2	3.0
61	YLL045C	RPL8B	3.0
62	YOR310C	NOP58	3.0
63	YDR091C	RLI1	3.0
64	YPR010C	RPA135	3.0
65	YHR089C	GAR1	3.0
66	YPR074C	TKL1	3.0
67	YLR197W	NOP56	3.0
68	YHL033C	RPL8A	3.0
69	YDR064W	RPS13	3.0
70	YJR070C	LIA1	3.0
71	YLR293C	GSP1	3.0
72	YCL030C	HIS4	3.0
73	YER090W	TRP2	3.0
74	YMR116C	ASC1	3.0
75	YDR341C	YDR341C	3.0
76	YGL026C	TRP5	3.0
77	YDR418W	RPL12B	2.9
78	YHL011C	PRS3	2.9
79	YNL248C	RPA49	2.9
80	YHR216W	IMD2	2.9
81	YBL039C	URA7	2.9
82	YLR180W	SAM1	2.9
83	YOL040C	RPS15	2.9
84	YER025W	GCD11	2.9
85	YLR249W	YEF3	2.9
86	YEL040W	UTR2	2.9
87	YBR121C	GRS1	2.9
88	YOR375C	GDH1	2.9
89	YLR186W	EMG1	2.9
90	YDR234W	LYS4	2.9
91	YKL180W	RPL17A	2.9
92	YEL026W	SNU13	2.9
93	YOL120C	RPL18A	2.9
94	YJR145C	RPS4A	2.9
95	YGL076C	RPL7A	2.9
96	YBR248C	HIS7	2.9
97	YJL177W	RPL17B	2.9
98	YGL120C	PRP43	2.9
99	YMR142C	RPL13B	2.9
100	YMR308C	PSE1	2.9
101	YER052C	HOM3	2.9
102	YKL211C	TRP3	2.9
103	YER165W	PAB1	2.9
104	YOR224C	RPB8	2.9
105	YDR471W	RPL27B	2.9
106	YOR096W	RPS7A	2.9
107	YOR063W	RPL3	2.9
108	YMR290C	HAS1	2.9
109	YMR146C	TIF34	2.9
