SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: EPS1

Rank	Gene	Common	Score
Q	YIL005W	EPS1	
1	YIL036W	CST6	2.5
2	YIL147C	SLN1	2.5
3	YOR014W	RTS1	2.5
4	YDR452W	PPN1	2.5
5	YIL014W	MNT3	2.4
6	YLR207W	HRD3	2.4
7	YDR456W	NHX1	2.4
8	YIL068C	SEC6	2.4
9	YPL084W	BRO1	2.4
10	YHR028C	DAP2	2.4
11	YOR086C	TCB1	2.4
12	YGR186W	TFG1	2.4
13	YGL203C	KEX1	2.4
14	YIL038C	NOT3	2.4
15	YIL048W	NEO1	2.4
16	YJR126C	VPS70	2.3
17	YHR188C	GPI16	2.3
18	YGR184C	UBR1	2.3
19	YIL034C	CAP2	2.3
20	YIL039W	TED1	2.3
21	YGL252C	RTG2	2.3
22	YBR229C	ROT2	2.3
23	YIL075C	RPN2	2.3
24	YHR132C	ECM14	2.3
25	YOR336W	KRE5	2.3
26	YIL156W	UBP7	2.3
27	YDR169C	STB3	2.3
28	YKL039W	PTM1	2.3
29	YLR454W	FMP27	2.3
30	YHR027C	RPN1	2.3
31	YGL228W	SHE10	2.3
32	YIL002C	INP51	2.3
33	YLR248W	RCK2	2.3
34	YLR330W	CHS5	2.3
35	YLL015W	BPT1	2.2
36	YIL125W	KGD1	2.2
37	YIL105C	SLM1	2.2
38	YKL064W	MNR2	2.2
39	YGL049C	TIF4632	2.2
40	YKL210W	UBA1	2.2
41	YHL023C	NPR3	2.2
42	YJL128C	PBS2	2.2
43	YIL146C	ATG32	2.2
44	YDR294C	DPL1	2.2
45	YMR302C	YME2	2.2
46	YOR256C	TRE2	2.2
47	YER008C	SEC3	2.2
48	YBL047C	EDE1	2.2
49	YJL047C	RTT101	2.2
50	YGL173C	XRN1	2.2
51	YIR001C	SGN1	2.2
52	YCR011C	ADP1	2.2
53	YFR040W	SAP155	2.2
54	YHR082C	KSP1	2.2
55	YIL088C	AVT7	2.2
56	YBR086C	IST2	2.2
57	YMR089C	YTA12	2.2
58	YDL225W	SHS1	2.2
59	YMR304W	UBP15	2.2
60	YOL051W	GAL11	2.2
61	YGR199W	PMT6	2.2
62	YNL183C	NPR1	2.2
63	YPL176C	TRE1	2.2
64	YMR064W	AEP1	2.2
65	YHR186C	KOG1	2.2
66	YFL018C	LPD1	2.2
67	YGL084C	GUP1	2.2
68	YDR292C	SRP101	2.2
69	YGL167C	PMR1	2.2
70	YDL035C	GPR1	2.2
71	YKL034W	TUL1	2.2
72	YLR028C	ADE16	2.2
73	YDR335W	MSN5	2.2
74	YJL084C	ALY2	2.2
75	YGL197W	MDS3	2.2
76	YNL297C	MON2	2.2
77	YLR138W	NHA1	2.2
78	YBR286W	APE3	2.1
79	YML072C	TCB3	2.1
80	YNL323W	LEM3	2.1
81	YGL073W	HSF1	2.1
82	YLR309C	IMH1	2.1
83	YNL085W	MKT1	2.1
84	YER048C	CAJ1	2.1
85	YNL212W	VID27	2.1
86	YNL287W	SEC21	2.1
87	YPR023C	EAF3	2.1
88	YIR023W	DAL81	2.1
89	YER125W	RSP5	2.1
90	YPR029C	APL4	2.1
91	YDL132W	CDC53	2.1
92	YGL151W	NUT1	2.1
93	YOL013C	HRD1	2.1
94	YIL128W	MET18	2.1
95	YGR241C	YAP1802	2.1
96	YDR129C	SAC6	2.1
97	YGL233W	SEC15	2.1
98	YGL110C	CUE3	2.1
99	YGL150C	INO80	2.1
100	YGL013C	PDR1	2.1
101	YNR006W	VPS27	2.1
102	YAL016W	TPD3	2.1
103	YCL052C	PBN1	2.1
104	YOR275C	RIM20	2.1
105	YBL105C	PKC1	2.1
106	YDL091C	UBX3	2.1
107	YFR013W	IOC3	2.1
108	YBR059C	AKL1	2.1
109	YGR246C	BRF1	2.1
110	YFL048C	EMP47	2.1
111	YDR166C	SEC5	2.1
112	YKL157W	APE2	2.1
113	YGL048C	RPT6	2.1
114	YIL010W	DOT5	2.1
115	YIL115C	NUP159	2.1
116	YBR199W	KTR4	2.1
117	YMR098C	ATP25	2.1
118	YGR231C	PHB2	2.1
119	YHR079C	IRE1	2.1
120	YCR030C	SYP1	2.1
121	YDR293C	SSD1	2.1
122	YHR117W	TOM71	2.1
123	YBL007C	SLA1	2.1
124	YHR155W	LAM1	2.1
125	YJL020C	BBC1	2.1
126	YNL121C	TOM70	2.1
127	YKL073W	LHS1	2.1
128	YGL112C	TAF6	2.1
129	YIL050W	PCL7	2.1
130	YGR170W	PSD2	2.1
131	YJR051W	OSM1	2.1
132	YDR483W	KRE2	2.1
133	YGL027C	CWH41	2.1
134	YLR436C	ECM30	2.1
135	YGL095C	VPS45	2.1
136	YKR031C	SPO14	2.1
137	YER167W	BCK2	2.1
138	YGR270W	YTA7	2.1
