SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SDS3

Rank	Gene	Common	Score
Q	YIL084C	SDS3	
1	YGL212W	VAM7	2.8
2	YLL038C	ENT4	2.7
3	YCL010C	SGF29	2.5
4	YBR065C	ECM2	2.5
5	YOL067C	RTG1	2.5
6	YIL150C	MCM10	2.5
7	YBR152W	SPP381	2.3
8	YPR168W	NUT2	2.3
9	YIR015W	RPR2	2.2
10	YNL328C	MDJ2	2.2
11	YGL175C	SAE2	2.2
12	YMR106C	YKU80	2.1
13	YDR363W	ESC2	2.1
14	YMR140W	SIP5	2.1
15	YBL074C	AAR2	2.1
16	YJR053W	BFA1	2.1
17	YJL127C	SPT10	2.1
18	YHR105W	YPT35	2.1
19	YKL095W	YJU2	2.0
20	YEL019C	MMS21	2.0
21	YGL090W	LIF1	2.0
22	YLR047C	FRE8	2.0
23	YGR006W	PRP18	2.0
24	YDR437W	GPI19	2.0
25	YLR393W	ATP10	2.0
26	YLR245C	CDD1	2.0
27	YCR068W	ATG15	2.0
28	YIL085C	KTR7	2.0
29	YDR314C	RAD34	2.0
30	YAL048C	GEM1	2.0
31	YIL112W	HOS4	2.0
32	YAR042W	SWH1	2.0
33	YIL005W	EPS1	1.9
34	YCL004W	PGS1	1.9
35	YJR021C	REC107	1.9
36	YGL098W	USE1	1.9
37	YML118W	NGL3	1.9
38	YMR063W	RIM9	1.9
39	YLR399C	BDF1	1.9
40	YGL194C	HOS2	1.9
41	YBR223C	TDP1	1.9
42	YKL168C	KKQ8	1.9
43	YOR077W	RTS2	1.9
44	YDR169C	STB3	1.9
45	YER116C	SLX8	1.9
46	YOR083W	WHI5	1.9
47	YLR082C	SRL2	1.9
48	YMR213W	CEF1	1.9
49	YJL019W	MPS3	1.9
50	YBR102C	EXO84	1.9
51	YJR050W	ISY1	1.9
52	YNL158W	PGA1	1.9
53	YCR106W	RDS1	1.9
54	YDL160C	DHH1	1.9
55	YMR159C	ATG16	1.9
56	YPL064C	CWC27	1.9
57	YGL222C	EDC1	1.9
58	YIR023W	DAL81	1.9
59	YNL187W	SWT21	1.9
60	YGL240W	DOC1	1.9
61	YPL120W	VPS30	1.9
62	YFL013C	IES1	1.9
63	YOR030W	DFG16	1.9
64	YLR226W	BUR2	1.9
65	YHR090C	YNG2	1.9
66	YMR182C	RGM1	1.8
67	YDR076W	RAD55	1.8
68	YIL014W	MNT3	1.8
69	YPL233W	NSL1	1.8
70	YIR001C	SGN1	1.8
71	YDL087C	LUC7	1.8
72	YGL075C	MPS2	1.8
73	YBR237W	PRP5	1.8
74	YPL119C	DBP1	1.8
75	YGL045W	RIM8	1.8
76	YPL138C	SPP1	1.8
77	YER162C	RAD4	1.8
78	YDL222C	FMP45	1.8
79	YIL036W	CST6	1.8
80	YHR189W	PTH1	1.8
81	YDR475C	JIP4	1.8
82	YIR025W	MND2	1.8
83	YNL254C	RTC4	1.8
84	YJL156C	SSY5	1.8
85	YGL003C	CDH1	1.8
86	YLR024C	UBR2	1.8
87	YLR357W	RSC2	1.8
88	YDR485C	VPS72	1.8
89	YNL230C	ELA1	1.8
90	YKL028W	TFA1	1.8
91	YJR060W	CBF1	1.8
92	YOL028C	YAP7	1.8
93	YDL047W	SIT4	1.8
94	YGL197W	MDS3	1.8
95	YLR116W	MSL5	1.8
96	YDR448W	ADA2	1.8
97	YOL141W	PPM2	1.8
98	YDR432W	NPL3	1.8
99	YML095C	RAD10	1.8
100	YMR201C	RAD14	1.8
101	YNL215W	IES2	1.8
102	YIL071C	PCI8	1.8
103	YIL068C	SEC6	1.8
104	YAL031C	GIP4	1.8
105	YBR215W	HPC2	1.8
106	YDR054C	CDC34	1.8
107	YDR125C	ECM18	1.8
108	YNL197C	WHI3	1.8
109	YMR168C	CEP3	1.8
110	YLR035C	MLH2	1.8
111	YPL133C	RDS2	1.8
112	YIR010W	DSN1	1.8
113	YIL149C	MLP2	1.8
114	YOR113W	AZF1	1.8
115	YIL031W	ULP2	1.8
116	YHL009C	YAP3	1.8
117	YOR386W	PHR1	1.8
118	YMR204C	INP1	1.8
119	YIL126W	STH1	1.8
120	YER020W	GPA2	1.8
121	YMR094W	CTF13	1.8
122	YIR018W	YAP5	1.8
123	YIL132C	CSM2	1.8
124	YHR004C	NEM1	1.8
125	YFR034C	PHO4	1.8
126	YHR114W	BZZ1	1.8
127	YMR043W	MCM1	1.8
128	YJL165C	HAL5	1.8
129	YBL105C	PKC1	1.8
130	YIL122W	POG1	1.7
131	YNR045W	PET494	1.7
132	YGL131C	SNT2	1.7
133	YKL059C	MPE1	1.7
134	YOR060C	SLD7	1.7
135	YDL214C	PRR2	1.7
136	YNL167C	SKO1	1.7
137	YGR002C	SWC4	1.7
138	YGR268C	HUA1	1.7
139	YDR014W	RAD61	1.7
140	YFR008W	FAR7	1.7
141	YBR255W	MTC4	1.7
142	YIL147C	SLN1	1.7
143	YER059W	PCL6	1.7
144	YPL055C	LGE1	1.7
145	YIL128W	MET18	1.7
146	YER047C	SAP1	1.7
147	YBL052C	SAS3	1.7
148	YGL164C	YRB30	1.7
149	YHR178W	STB5	1.7
150	YNR008W	LRO1	1.7
151	YDR293C	SSD1	1.7
152	YIL097W	FYV10	1.7
153	YGL133W	ITC1	1.7
154	YDR329C	PEX3	1.7
155	YIL045W	PIG2	1.7
156	YDR466W	PKH3	1.7
157	YLL010C	PSR1	1.7
158	YBR279W	PAF1	1.7
159	YOL117W	RRI2	1.7
160	YMR154C	RIM13	1.7
161	YER098W	UBP9	1.7
162	YIR009W	MSL1	1.7
163	YPL166W	ATG29	1.7
164	YIL156W	UBP7	1.7
165	YNR069C	BSC5	1.7
166	YPL074W	YTA6	1.7
167	YIL046W	MET30	1.7
168	YKL064W	MNR2	1.7
169	YMR104C	YPK2	1.7
170	YHR168W	MTG2	1.7
171	YIL130W	ASG1	1.7
172	YER115C	SPR6	1.7
173	YLL018C-A	COX19	1.7
174	YOR177C	MPC54	1.7
175	YHR195W	NVJ1	1.7
176	YPR008W	HAA1	1.7
177	YGL254W	FZF1	1.7
178	YIL079C	AIR1	1.7
179	YIL135C	VHS2	1.7
180	YGR270W	YTA7	1.7
181	YHR150W	PEX28	1.7
182	YIL038C	NOT3	1.7
183	YMR311C	GLC8	1.7
184	YNL027W	CRZ1	1.7
185	YMR255W	GFD1	1.7
186	YDR176W	NGG1	1.7
187	YOL148C	SPT20	1.7
188	YMR135C	GID8	1.7
189	YPL140C	MKK2	1.7
190	YDL013W	SLX5	1.7
191	YER101C	AST2	1.7
192	YIL144W	NDC80	1.7
193	YDR181C	SAS4	1.7
194	YLL006W	MMM1	1.7
195	YNL282W	POP3	1.7
196	YDR255C	RMD5	1.7
197	YOR119C	RIO1	1.7
198	YDL139C	SCM3	1.7
199	YNL224C	SQS1	1.7
200	YKL197C	PEX1	1.7
201	YER093C	TSC11	1.7
202	YNL136W	EAF7	1.7
203	YNL076W	MKS1	1.7
204	YDL028C	MPS1	1.7
205	YJL154C	VPS35	1.7
206	YMR030W	RSF1	1.7
207	YDR422C	SIP1	1.7
208	YER114C	BOI2	1.7
209	YER038C	KRE29	1.7
210	YOR087W	YVC1	1.7
211	YKL092C	BUD2	1.7
212	YPL202C	AFT2	1.7
213	YOR179C	SYC1	1.7
214	YGR113W	DAM1	1.7
215	YDR200C	VPS64	1.7
216	YGL066W	SGF73	1.7
217	YAL010C	MDM10	1.7
218	YNL025C	SSN8	1.7
219	YBR290W	BSD2	1.7
220	YLR248W	RCK2	1.7
221	YLR425W	TUS1	1.7
222	YNL042W	BOP3	1.7
223	YBL066C	SEF1	1.7
224	YIL120W	QDR1	1.7
225	YHR146W	CRP1	1.7
226	YER041W	YEN1	1.7
227	YIL090W	ICE2	1.7
228	YLR457C	NBP1	1.7
229	YCR033W	SNT1	1.7
230	YER109C	FLO8	1.7
231	YDL197C	ASF2	1.7
232	YDR151C	CTH1	1.7
233	YDL115C	IWR1	1.7
234	YDR207C	UME6	1.7
235	YNL083W	SAL1	1.7
236	YMR165C	PAH1	1.7
237	YIL002C	INP51	1.7
238	YGL153W	PEX14	1.7
239	YLR135W	SLX4	1.7
240	YMR136W	GAT2	1.7
241	YGR258C	RAD2	1.7
