SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SMU2

Rank	Gene	Common	Score
Q	YIL161W	SMU2	
1	YGR072W	UPF3	1.8
2	YHR060W	VMA22	1.8
3	YKL082C	RRP14	1.7
4	YLR298C	YHC1	1.6
5	YIR004W	DJP1	1.6
6	YHR081W	LRP1	1.6
7	YIL127C	RRT14	1.6
8	YIL063C	YRB2	1.6
9	YER002W	NOP16	1.6
10	YGR275W	RTT102	1.6
11	YDR163W	CWC15	1.6
12	YMR269W	TMA23	1.5
13	YDR473C	PRP3	1.5
14	YNR024W	MPP6	1.5
15	YLR200W	YKE2	1.5
16	YOR189W	IES4	1.5
17	YDL213C	NOP6	1.5
18	YFR001W	LOC1	1.5
19	YDR179C	CSN9	1.5
20	YEL003W	GIM4	1.5
21	YMR077C	VPS20	1.5
22	YBR290W	BSD2	1.5
23	YIR024C	INA22	1.5
24	YDL065C	PEX19	1.5
25	YER030W	CHZ1	1.5
26	YOR194C	TOA1	1.5
27	YJR050W	ISY1	1.5
28	YDL099W	BUG1	1.5
29	YGR129W	SYF2	1.5
30	YIL008W	URM1	1.5
31	YNL133C	FYV6	1.5
32	YDR068W	DOS2	1.4
33	YDR088C	SLU7	1.4
34	YER112W	LSM4	1.4
35	YLR051C	FCF2	1.4
36	YNL050C	YNL050C	1.4
37	YGL029W	CGR1	1.4
38	YDR152W	GIR2	1.4
39	YHR090C	YNG2	1.4
40	YNL227C	JJJ1	1.4
41	YNL136W	EAF7	1.4
42	YPR143W	RRP15	1.4
43	YKL049C	CSE4	1.4
44	YDR468C	TLG1	1.4
45	YBR154C	RPB5	1.4
46	YLR068W	FYV7	1.4
47	YGR271C-A	EFG1	1.4
48	YDR469W	SDC1	1.4
49	YGR280C	PXR1	1.4
50	YCR016W	RBP95	1.4
51	YGR005C	TFG2	1.4
52	YDL115C	IWR1	1.4
53	YCL056C	PEX34	1.4
54	YDR532C	KRE28	1.4
55	YKL172W	EBP2	1.4
56	YOR078W	BUD21	1.4
57	YOR257W	CDC31	1.4
58	YLR145W	RMP1	1.4
59	YOR279C	RFM1	1.4
60	YKL041W	VPS24	1.4
61	YPL071C	YPL071C	1.4
62	YJL140W	RPB4	1.4
63	YCL031C	RRP7	1.4
64	YER029C	SMB1	1.4
65	YGL174W	BUD13	1.4
66	YDR308C	SRB7	1.4
67	YBR278W	DPB3	1.4
68	YDR289C	RTT103	1.4
69	YLR271W	CMG1	1.4
70	YFL013C	IES1	1.4
71	YPL051W	ARL3	1.4
72	YDR177W	UBC1	1.4
73	YNL153C	GIM3	1.4
74	YMR263W	SAP30	1.4
75	YMR294W	JNM1	1.3
76	YMR311C	GLC8	1.3
77	YIR010W	DSN1	1.3
78	YNL166C	BNI5	1.3
79	YJL179W	PFD1	1.3
80	YER127W	LCP5	1.3
