SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SUC2

Rank	Gene	Common	Score
Q	YIL162W	SUC2	
1	YDR516C	EMI2	3.0
2	YFR053C	HXK1	3.0
3	YDL079C	MRK1	2.8
4	YBR297W	MAL33	2.8
5	YGR289C	MAL11	2.7
6	YAL060W	BDH1	2.7
7	YMR081C	ISF1	2.6
8	YBR298C	MAL31	2.6
9	YHL032C	GUT1	2.5
10	YOR178C	GAC1	2.5
11	YHR092C	HXT4	2.5
12	YKL217W	JEN1	2.5
13	YBR299W	MAL32	2.5
14	YML120C	NDI1	2.5
15	YCL040W	GLK1	2.5
16	YOR374W	ALD4	2.5
17	YJL221C	IMA4	2.5
18	YFR015C	GSY1	2.5
19	YEL052W	AFG1	2.5
20	YMR105C	PGM2	2.5
21	YLR327C	TMA10	2.5
22	YDR342C	HXT7	2.4
23	YDR277C	MTH1	2.4
24	YKL093W	MBR1	2.4
25	YBL015W	ACH1	2.4
26	YIL033C	BCY1	2.4
27	YMR011W	HXT2	2.4
28	YPR030W	CSR2	2.4
29	YGR243W	MPC3	2.4
30	YBR230C	OM14	2.4
31	YPL134C	ODC1	2.4
32	YOR347C	PYK2	2.4
33	YKL148C	SDH1	2.4
34	YIL125W	KGD1	2.3
35	YDR517W	GRH1	2.3
36	YPR160W	GPH1	2.3
37	YGL253W	HXK2	2.3
38	YNR002C	ATO2	2.3
39	YDR343C	HXT6	2.3
40	YKL085W	MDH1	2.3
41	YDR178W	SDH4	2.3
42	YBR050C	REG2	2.3
43	YEL011W	GLC3	2.3
44	YJL066C	MPM1	2.3
45	YHR104W	GRE3	2.3
46	YBR222C	PCS60	2.3
47	YEL070W	DSF1	2.3
48	YLR258W	GSY2	2.3
49	YBR132C	AGP2	2.3
50	YKL035W	UGP1	2.3
51	YDL194W	SNF3	2.3
52	YHR043C	DOG2	2.3
53	YPR184W	GDB1	2.2
54	YDR216W	ADR1	2.2
55	YDR009W	GAL3	2.2
56	YFR049W	KGD4	2.2
57	YIL155C	GUT2	2.2
