SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: DJP1

Rank	Gene	Common	Score
Q	YIR004W	DJP1	
1	YOR194C	TOA1	2.9
2	YER048C	CAJ1	2.8
3	YIL063C	YRB2	2.7
4	YMR044W	IOC4	2.7
5	YER002W	NOP16	2.7
6	YFR001W	LOC1	2.7
7	YGR072W	UPF3	2.7
8	YGR229C	SMI1	2.7
9	YPR133C	SPN1	2.7
10	YDL065C	PEX19	2.7
11	YOR123C	LEO1	2.7
12	YIL098C	FMC1	2.6
13	YML062C	MFT1	2.6
14	YOR216C	RUD3	2.6
15	YNL215W	IES2	2.6
16	YGR005C	TFG2	2.6
17	YHR081W	LRP1	2.6
18	YDR473C	PRP3	2.6
19	YIL021W	RPB3	2.6
20	YNL188W	KAR1	2.6
21	YDR152W	GIR2	2.6
22	YMR294W	JNM1	2.6
23	YER161C	SPT2	2.6
24	YMR188C	MRPS17	2.6
25	YGL244W	RTF1	2.5
26	YGR276C	RNH70	2.5
27	YIL035C	CKA1	2.5
28	YBR279W	PAF1	2.5
29	YER029C	SMB1	2.5
30	YKL172W	EBP2	2.5
31	YKL082C	RRP14	2.5
32	YDR068W	DOS2	2.5
33	YEL018W	EAF5	2.5
34	YML105C	SEC65	2.5
35	YJL123C	MTC1	2.5
36	YDR429C	TIF35	2.5
37	YLR262C	YPT6	2.5
38	YIR010W	DSN1	2.5
39	YIL038C	NOT3	2.5
40	YPL181W	CTI6	2.5
41	YDR088C	SLU7	2.5
42	YOR281C	PLP2	2.5
43	YDR289C	RTT103	2.5
44	YNL308C	KRI1	2.5
45	YHR201C	PPX1	2.5
46	YDL153C	SAS10	2.5
47	YDL074C	BRE1	2.5
48	YIL149C	MLP2	2.5
49	YPR143W	RRP15	2.5
50	YDL002C	NHP10	2.5
51	YCL031C	RRP7	2.4
52	YLR309C	IMH1	2.4
53	YIL093C	RSM25	2.4
54	YNL166C	BNI5	2.4
55	YMR091C	NPL6	2.4
56	YLR221C	RSA3	2.4
57	YJL104W	PAM16	2.4
58	YOR232W	MGE1	2.4
59	YDR176W	NGG1	2.4
60	YDL115C	IWR1	2.4
61	YJL203W	PRP21	2.4
62	YBR290W	BSD2	2.4
63	YMR193W	MRPL24	2.4
64	YKR022C	NTR2	2.4
65	YDL099W	BUG1	2.4
66	YDR145W	TAF12	2.4
67	YML069W	POB3	2.4
68	YFL013C	IES1	2.4
69	YPL210C	SRP72	2.4
70	YBR155W	CNS1	2.4
71	YDL147W	RPN5	2.4
72	YER112W	LSM4	2.4
73	YDR194C	MSS116	2.4
74	YOR304W	ISW2	2.4
75	YMR311C	GLC8	2.4
76	YJR134C	SGM1	2.4
77	YDR316W	OMS1	2.4
78	YBR057C	MUM2	2.4
79	YJR050W	ISY1	2.4
80	YLR068W	FYV7	2.4
81	YNL110C	NOP15	2.4
82	YAL025C	MAK16	2.4
83	YDL044C	MTF2	2.4
84	YER127W	LCP5	2.4
85	YKL028W	TFA1	2.4
86	YOR078W	BUD21	2.4
87	YHR090C	YNG2	2.4
88	YJL124C	LSM1	2.3
89	YDL225W	SHS1	2.3
90	YGR196C	FYV8	2.3
91	YDR312W	SSF2	2.3
92	YNL039W	BDP1	2.3
93	YGL232W	TAN1	2.3
94	YCR035C	RRP43	2.3
95	YMR014W	BUD22	2.3
96	YLR298C	YHC1	2.3
97	YMR077C	VPS20	2.3
98	YHR066W	SSF1	2.3
99	YNL059C	ARP5	2.3
100	YGR009C	SEC9	2.3
101	YML074C	FPR3	2.3
102	YDR181C	SAS4	2.3
103	YPL243W	SRP68	2.3
104	YBR282W	MRPL27	2.3
105	YMR039C	SUB1	2.3
106	YLR015W	BRE2	2.3
107	YNL121C	TOM70	2.3
108	YPR101W	SNT309	2.3
109	YGR275W	RTT102	2.3
110	YOL006C	TOP1	2.3
111	YGL029W	CGR1	2.3
112	YPL043W	NOP4	2.3
113	YDR412W	RRP17	2.3
114	YNR024W	MPP6	2.3
115	YML097C	VPS9	2.3
116	YPL232W	SSO1	2.3
117	YLR033W	RSC58	2.3
118	YJR014W	TMA22	2.3
119	YDR515W	SLF1	2.3
120	YOR261C	RPN8	2.3
121	YDR153C	ENT5	2.3
122	YDR337W	MRPS28	2.3
123	YEL061C	CIN8	2.3
124	YER050C	RSM18	2.3
125	YMR061W	RNA14	2.3
126	YJL140W	RPB4	2.3
127	YHL013C	OTU2	2.3
128	YPL064C	CWC27	2.3
129	YNL154C	YCK2	2.3
130	YKL139W	CTK1	2.3
131	YPL051W	ARL3	2.3
132	YHR052W	CIC1	2.3
133	YCL059C	KRR1	2.3
134	YML093W	UTP14	2.3
135	YBR154C	RPB5	2.3
136	YOR089C	VPS21	2.3
137	YPR025C	CCL1	2.3
138	YKL122C	SRP21	2.3
139	YDL005C	MED2	2.3
140	YLR314C	CDC3	2.3
141	YOR244W	ESA1	2.3
142	YLR145W	RMP1	2.3
143	YGR084C	MRP13	2.3
144	YMR227C	TAF7	2.3
145	YER030W	CHZ1	2.3
146	YGR081C	SLX9	2.3
147	YOL145C	CTR9	2.3
148	YER126C	NSA2	2.3
149	YPL204W	HRR25	2.3
150	YOR158W	PET123	2.3
151	YDR494W	RSM28	2.3
152	YLR238W	FAR10	2.2
153	YPR072W	NOT5	2.2
154	YHR065C	RRP3	2.2
155	YNL136W	EAF7	2.2
156	YPL146C	NOP53	2.2
157	YHR060W	VMA22	2.2
158	YKL195W	MIA40	2.2
159	YJR002W	MPP10	2.2
160	YCL054W	SPB1	2.2
161	YDL007W	RPT2	2.2
162	YKL021C	MAK11	2.2
163	YKR095W	MLP1	2.2
164	YOL041C	NOP12	2.2
165	YGL164C	YRB30	2.2
166	YER148W	SPT15	2.2
167	YGR186W	TFG1	2.2
168	YHR196W	UTP9	2.2
169	YNL001W	DOM34	2.2
170	YGR119C	NUP57	2.2
171	YOL023W	IFM1	2.2
172	YGL153W	PEX14	2.2
173	YDL213C	NOP6	2.2
174	YOR106W	VAM3	2.2
175	YGL106W	MLC1	2.2
176	YOR279C	RFM1	2.2
177	YPL228W	CET1	2.2
178	YLL011W	SOF1	2.2
179	YNL084C	END3	2.2
180	YKL049C	CSE4	2.2
181	YGL086W	MAD1	2.2
182	YGL174W	BUD13	2.2
183	YER159C	BUR6	2.2
184	YIL019W	FAF1	2.2
185	YER133W	GLC7	2.2
186	YOR195W	SLK19	2.2
187	YKL041W	VPS24	2.2
188	YDR183W	PLP1	2.2
189	YBR095C	RXT2	2.2
190	YDR346C	SVF1	2.2
191	YGR280C	PXR1	2.2
