SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RPC17

Rank	Gene	Common	Score
Q	YJL011C	RPC17	
1	YKL009W	MRT4	4.1
2	YJR063W	RPA12	4.0
3	YLR435W	TSR2	3.9
4	YAL059W	ECM1	3.9
5	YJL148W	RPA34	3.8
6	YHR052W	CIC1	3.8
7	YLR009W	RLP24	3.8
8	YOL080C	REX4	3.7
9	YPL211W	NIP7	3.7
10	YNL113W	RPC19	3.7
11	YKL099C	UTP11	3.7
12	YLL011W	SOF1	3.7
13	YOL077C	BRX1	3.7
14	YNL075W	IMP4	3.7
15	YOR004W	UTP23	3.7
16	YBR154C	RPB5	3.7
17	YAL025C	MAK16	3.6
18	YHR085W	IPI1	3.6
19	YDR361C	BCP1	3.6
20	YLR051C	FCF2	3.6
21	YNL110C	NOP15	3.6
22	YDR087C	RRP1	3.6
23	YHR196W	UTP9	3.6
24	YLR221C	RSA3	3.6
25	YOR340C	RPA43	3.6
26	YGL029W	CGR1	3.6
27	YDL208W	NHP2	3.6
28	YER126C	NSA2	3.6
29	YNL002C	RLP7	3.5
30	YDR045C	RPC11	3.5
31	YHR148W	IMP3	3.5
32	YDR496C	PUF6	3.5
33	YDR449C	UTP6	3.5
34	YNL175C	NOP13	3.5
35	YLR186W	EMG1	3.5
36	YMR093W	UTP15	3.5
37	YMR239C	RNT1	3.5
38	YER127W	LCP5	3.5
39	YKL144C	RPC25	3.5
40	YJL122W	ALB1	3.5
41	YGR187C	HGH1	3.5
42	YNL151C	RPC31	3.5
43	YPR187W	RPO26	3.5
44	YGR271C-A	EFG1	3.5
45	YOL010W	RCL1	3.5
46	YNL248C	RPA49	3.5
47	YLR003C	CMS1	3.5
48	YGR081C	SLX9	3.5
49	YKR060W	UTP30	3.5
50	YLR276C	DBP9	3.4
51	YCL059C	KRR1	3.4
52	YKL172W	EBP2	3.4
53	YHR066W	SSF1	3.4
54	YDR412W	RRP17	3.4
55	YDR083W	RRP8	3.4
56	YOR294W	RRS1	3.4
57	YJL125C	GCD14	3.4
58	YML080W	DUS1	3.4
59	YOL124C	TRM11	3.4
60	YDR299W	BFR2	3.4
61	YFR001W	LOC1	3.4
62	YNL182C	IPI3	3.4
63	YLR222C	UTP13	3.4
64	YKR081C	RPF2	3.4
65	YHR144C	DCD1	3.4
66	YPR110C	RPC40	3.4
67	YDL201W	TRM8	3.4
68	YHR169W	DBP8	3.4
69	YHR170W	NMD3	3.4
70	YJR055W	HIT1	3.4
71	YGR128C	UTP8	3.4
72	YDR021W	FAL1	3.4
73	YOR252W	TMA16	3.4
74	YJR097W	JJJ3	3.3
75	YDL051W	LHP1	3.3
76	YIL103W	DPH1	3.3
77	YDL166C	FAP7	3.3
78	YHR143W-A	RPC10	3.3
79	YBR061C	TRM7	3.3
80	YPR137W	RRP9	3.3
81	YKL156W	RPS27A	3.3
82	YOR145C	PNO1	3.3
83	YIL110W	HPM1	3.3
