SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: KAR2

Rank	Gene	Common	Score
Q	YJL034W	KAR2	
1	YML130C	ERO1	3.7
2	YMR186W	HSC82	3.6
3	YCL043C	PDI1	3.5
4	YLL024C	SSA2	3.4
5	YPL240C	HSP82	3.4
6	YLR259C	HSP60	3.3
7	YLR216C	CPR6	3.3
8	YOR027W	STI1	3.3
9	YPL106C	SSE1	3.2
10	YNL007C	SIS1	3.2
11	YAL005C	SSA1	3.2
12	YJR045C	SSC1	3.1
13	YKL073W	LHS1	3.1
14	YOL031C	SIL1	3.1
15	YLL026W	HSP104	3.0
16	YNL064C	YDJ1	3.0
17	YJR117W	STE24	3.0
18	YMR214W	SCJ1	2.9
19	YDR214W	AHA1	2.9
20	YNL281W	HCH1	2.9
21	YGR284C	ERV29	2.9
22	YKL165C	MCD4	2.9
23	YER103W	SSA4	2.8
24	YAL023C	PMT2	2.8
25	YJL073W	JEM1	2.8
26	YOR007C	SGT2	2.8
27	YOR288C	MPD1	2.7
28	YDL095W	PMT1	2.7
29	YBR082C	UBC4	2.7
30	YGR142W	BTN2	2.7
31	YDL193W	NUS1	2.7
32	YHR104W	GRE3	2.6
33	YCL050C	APA1	2.6
34	YKL035W	UGP1	2.6
35	YDR171W	HSP42	2.6
36	YIL109C	SEC24	2.6
37	YBR101C	FES1	2.6
38	YDR518W	EUG1	2.6
39	YDR258C	HSP78	2.5
40	YBR169C	SSE2	2.5
41	YKL104C	GFA1	2.5
42	YLR378C	SEC61	2.5
43	YOR198C	BFR1	2.5
44	YMR184W	ADD37	2.5
45	YHR098C	SFB3	2.5
46	YHR179W	OYE2	2.5
47	YOR020C	HSP10	2.5
48	YCL057W	PRD1	2.5
49	YCL044C	MGR1	2.5
50	YJL002C	OST1	2.5
51	YER003C	PMI40	2.4
52	YLR028C	ADE16	2.4
53	YAL007C	ERP2	2.4
54	YJL001W	PRE3	2.4
55	YKL039W	PTM1	2.4
56	YJL167W	ERG20	2.4
57	YDR519W	FPR2	2.4
58	YER177W	BMH1	2.4
59	YPR181C	SEC23	2.4
60	YHR027C	RPN1	2.4
61	YJR046W	TAH11	2.4
62	YDL100C	GET3	2.4
63	YDR411C	DFM1	2.4
64	YML028W	TSA1	2.4
65	YFL016C	MDJ1	2.4
66	YKL213C	DOA1	2.4
67	YGR136W	LSB1	2.4
68	YCL040W	GLK1	2.4
69	YOL013C	HRD1	2.4
70	YDL126C	CDC48	2.4
71	YBR201W	DER1	2.4
72	YGL037C	PNC1	2.3
73	YJR065C	ARP3	2.3
74	YOR117W	RPT5	2.3
75	YOR099W	KTR1	2.3
76	YDR129C	SAC6	2.3
77	YDL097C	RPN6	2.3
78	YHR174W	ENO2	2.3
79	YGL048C	RPT6	2.3
80	YLR109W	AHP1	2.3
81	YGL011C	SCL1	2.3
82	YKL117W	SBA1	2.3
83	YJL035C	TAD2	2.3
84	YOR321W	PMT3	2.3
85	YFL037W	TUB2	2.3
86	YPR158W	CUR1	2.3
87	YKL126W	YPK1	2.3
88	YBR025C	OLA1	2.3
