SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: BNA3

Rank	Gene	Common	Score
Q	YJL060W	BNA3	
1	YJR010W	MET3	3.6
2	YFR030W	MET10	3.5
3	YPR167C	MET16	3.4
4	YIL074C	SER33	3.4
5	YLR303W	MET17	3.1
6	YIR017C	MET28	3.1
7	YHL036W	MUP3	3.1
8	YOL064C	MET22	3.1
9	YJR137C	MET5	3.1
10	YJR065C	ARP3	3.0
11	YLR092W	SUL2	3.0
12	YNL239W	LAP3	3.0
13	YKL103C	APE1	3.0
14	YKL001C	MET14	3.0
15	YNL277W	MET2	3.0
16	YKL035W	UGP1	2.9
17	YKR069W	MET1	2.9
18	YDL059C	RAD59	2.9
19	YOR142W	LSC1	2.9
20	YLL062C	MHT1	2.9
21	YAL012W	CYS3	2.9
22	YGL184C	STR3	2.9
23	YNL241C	ZWF1	2.8
24	YDR368W	YPR1	2.8
25	YBR149W	ARA1	2.8
26	YOL082W	ATG19	2.8
27	YGR019W	UGA1	2.8
28	YLR270W	DCS1	2.8
29	YPL154C	PEP4	2.8
30	YJL101C	GSH1	2.8
31	YMR110C	HFD1	2.8
32	YGR055W	MUP1	2.8
33	YDR502C	SAM2	2.8
34	YHR104W	GRE3	2.8
35	YIL088C	AVT7	2.7
36	YMR092C	AIP1	2.7
37	YIL034C	CAP2	2.7
38	YML057W	CMP2	2.7
39	YMR261C	TPS3	2.7
40	YBR234C	ARC40	2.7
41	YEL060C	PRB1	2.7
42	YJL172W	CPS1	2.7
43	YDR516C	EMI2	2.7
44	YER042W	MXR1	2.7
45	YHR016C	YSC84	2.7
46	YBR046C	ZTA1	2.7
47	YBR214W	SDS24	2.7
48	YLR178C	TFS1	2.7
49	YCL040W	GLK1	2.7
50	YHR037W	PUT2	2.7
51	YKR003W	OSH6	2.7
52	YEL072W	RMD6	2.7
53	YJL066C	MPM1	2.7
54	YJL164C	TPK1	2.6
55	YCL057W	PRD1	2.6
56	YER091C	MET6	2.6
57	YIL124W	AYR1	2.6
58	YKL218C	SRY1	2.6
59	YDR253C	MET32	2.6
60	YKL007W	CAP1	2.6
61	YDL072C	YET3	2.6
62	YGR255C	COQ6	2.6
63	YPL203W	TPK2	2.6
64	YNR001C	CIT1	2.6
65	YPL123C	RNY1	2.6
66	YML070W	DAK1	2.6
67	YPL274W	SAM3	2.6
68	YJR125C	ENT3	2.6
69	YDR032C	PST2	2.6
70	YCR004C	YCP4	2.6
71	YNL138W	SRV2	2.6
72	YGR204W	ADE3	2.6
73	YKL065C	YET1	2.6
74	YOR347C	PYK2	2.6
75	YKR076W	ECM4	2.6
76	YHR018C	ARG4	2.6
77	YDL022W	GPD1	2.6
78	YML004C	GLO1	2.6
79	YOL129W	VPS68	2.6
80	YGL037C	PNC1	2.6
81	YKL213C	DOA1	2.6
82	YFR049W	KGD4	2.6
83	YKL126W	YPK1	2.6
84	YOR374W	ALD4	2.6
85	YGL104C	VPS73	2.6
86	YBR126C	TPS1	2.6
87	YGR194C	XKS1	2.6
88	YIR038C	GTT1	2.5
89	YJR044C	VPS55	2.5
90	YPL206C	PGC1	2.5
91	YBR177C	EHT1	2.5
92	YDR358W	GGA1	2.5
93	YMR152W	YIM1	2.5
94	YPL188W	POS5	2.5
95	YPL004C	LSP1	2.5
96	YJL212C	OPT1	2.5
97	YER119C	AVT6	2.5
98	YIR034C	LYS1	2.5
99	YDR059C	UBC5	2.5
100	YMR250W	GAD1	2.5
101	YBR294W	SUL1	2.5
102	YMR173W	DDR48	2.5
103	YKL157W	APE2	2.5
104	YJR139C	HOM6	2.5
105	YPL087W	YDC1	2.5
106	YBR006W	UGA2	2.5
107	YLL026W	HSP104	2.5
108	YLL061W	MMP1	2.5
109	YDR148C	KGD2	2.5
110	YDR284C	DPP1	2.5
111	YBL064C	PRX1	2.5
112	YMR105C	PGM2	2.5
113	YJL053W	PEP8	2.5
114	YIL010W	DOT5	2.5
115	YNL274C	GOR1	2.5
116	YBR169C	SSE2	2.5
117	YMR139W	RIM11	2.5
118	YDL066W	IDP1	2.5
119	YKL193C	SDS22	2.5
120	YGL125W	MET13	2.5
121	YEL071W	DLD3	2.5
122	YHR028C	DAP2	2.5
123	YKL039W	PTM1	2.5
124	YCR069W	CPR4	2.5
125	YOR136W	IDH2	2.5
126	YHR176W	FMO1	2.5
127	YLR299W	ECM38	2.5
128	YDR435C	PPM1	2.5
129	YKL142W	MRP8	2.5
130	YOR155C	ISN1	2.5
131	YKL034W	TUL1	2.5
132	YER052C	HOM3	2.5
133	YJL155C	FBP26	2.5
134	YLR370C	ARC18	2.5
135	YDR001C	NTH1	2.5
136	YLR258W	GSY2	2.5
137	YGL026C	TRP5	2.5
138	YKL150W	MCR1	2.5
139	YGL062W	PYC1	2.5
140	YOR230W	WTM1	2.4
141	YDR204W	COQ4	2.4
142	YBR026C	ETR1	2.4
143	YNL183C	NPR1	2.4
144	YKL013C	ARC19	2.4
145	YLR203C	MSS51	2.4
146	YEL011W	GLC3	2.4
147	YBR035C	PDX3	2.4
148	YGR244C	LSC2	2.4
149	YML128C	MSC1	2.4
150	YBR269C	SDH8	2.4
151	YHR074W	QNS1	2.4
152	YGR080W	TWF1	2.4
153	YOR130C	ORT1	2.4
154	YGL156W	AMS1	2.4
155	YDR178W	SDH4	2.4
156	YFR024C-A	LSB3	2.4
157	YBR256C	RIB5	2.4
158	YCL052C	PBN1	2.4
159	YML110C	COQ5	2.4
160	YBL101C	ECM21	2.4
161	YKL148C	SDH1	2.4
162	YGR155W	CYS4	2.4
163	YIL116W	HIS5	2.4
164	YNL159C	ASI2	2.4
165	YHR029C	YHI9	2.4
166	YLR251W	SYM1	2.4
167	YOL119C	MCH4	2.4
168	YKL211C	TRP3	2.4
169	YDR513W	GRX2	2.4
170	YDL110C	TMA17	2.4
171	YDR258C	HSP78	2.4
172	YJR073C	OPI3	2.4
173	YML100W	TSL1	2.4
174	YCR030C	SYP1	2.4
175	YOR120W	GCY1	2.4
176	YAL060W	BDH1	2.4
177	YPR184W	GDB1	2.4
178	YMR170C	ALD2	2.4
179	YHR171W	ATG7	2.4
180	YCR088W	ABP1	2.4
181	YOR227W	HER1	2.4
182	YGL006W	PMC1	2.4
183	YMR297W	PRC1	2.4
184	YBR003W	COQ1	2.4
185	YOR185C	GSP2	2.4
186	YPL250C	ATG41	2.4
187	YER175C	TMT1	2.4
188	YDR074W	TPS2	2.4
189	YNL071W	LAT1	2.4
190	YFL021W	GAT1	2.4
191	YIL164C	NIT1	2.4
192	YHR161C	YAP1801	2.4
193	YIR036C	IRC24	2.4
194	YFL018C	LPD1	2.4
195	YFR044C	DUG1	2.4
196	YDL021W	GPM2	2.4
197	YJL002C	OST1	2.4
198	YOL058W	ARG1	2.3
199	YBL078C	ATG8	2.3
200	YNR035C	ARC35	2.3
201	YHL021C	AIM17	2.3
202	YMR237W	BCH1	2.3
203	YGR154C	GTO1	2.3
204	YOL060C	MAM3	2.3
205	YLL055W	YCT1	2.3
206	YMR020W	FMS1	2.3
207	YIL033C	BCY1	2.3
208	YJL082W	IML2	2.3
209	YHR106W	TRR2	2.3
210	YPL091W	GLR1	2.3
211	YBR036C	CSG2	2.3
212	YGR232W	NAS6	2.3
213	YDL054C	MCH1	2.3
214	YKR066C	CCP1	2.3
215	YKL067W	YNK1	2.3
216	YCR011C	ADP1	2.3
217	YML120C	NDI1	2.3
218	YOR184W	SER1	2.3
219	YLL041C	SDH2	2.3
220	YLR027C	AAT2	2.3
221	YGL202W	ARO8	2.3
222	YIR037W	HYR1	2.3
223	YDL029W	ARP2	2.3
224	YOR317W	FAA1	2.3
225	YHR008C	SOD2	2.3
226	YER053C	PIC2	2.3
227	YGL248W	PDE1	2.3
228	YER062C	GPP2	2.3
229	YJR109C	CPA2	2.3
230	YDR436W	PPZ2	2.3
231	YKR067W	GPT2	2.3
232	YKL085W	MDH1	2.3
233	YAR027W	UIP3	2.3
234	YOR117W	RPT5	2.3
235	YCL034W	LSB5	2.3
236	YJR001W	AVT1	2.3
237	YIL125W	KGD1	2.3
238	YOL049W	GSH2	2.3
239	YER136W	GDI1	2.3
240	YFR025C	HIS2	2.3
241	YOR173W	DCS2	2.3
242	YCR036W	RBK1	2.3
243	YDR481C	PHO8	2.3
244	YOR035C	SHE4	2.3
245	YBR052C	RFS1	2.3
246	YLR240W	VPS34	2.3
247	YJR121W	ATP2	2.3
248	YPL054W	LEE1	2.3
249	YFR047C	BNA6	2.3
250	YNL156C	NSG2	2.3
251	YIL046W	MET30	2.3
252	YLR133W	CKI1	2.3
253	YIL111W	COX5B	2.3
254	YKL140W	TGL1	2.3
255	YJR059W	PTK2	2.3
256	YGR044C	RME1	2.3
257	YJL057C	IKS1	2.3
258	YBR222C	PCS60	2.3
259	YNL104C	LEU4	2.3
260	YMR271C	URA10	2.3
261	YNL015W	PBI2	2.3
262	YGR008C	STF2	2.3
263	YER141W	COX15	2.3
264	YOR132W	VPS17	2.3
265	YPR026W	ATH1	2.3
266	YGR136W	LSB1	2.3
267	YDR453C	TSA2	2.3
268	YDR129C	SAC6	2.3
269	YJL093C	TOK1	2.3
270	YCL035C	GRX1	2.3
271	YFL010C	WWM1	2.3
272	YBR011C	IPP1	2.3
273	YKR046C	PLN1	2.3
274	YIR039C	YPS6	2.3
275	YLR304C	ACO1	2.3
276	YLR180W	SAM1	2.3
277	YFL030W	AGX1	2.3
278	YHR063C	PAN5	2.3
279	YGL059W	PKP2	2.3
280	YJR025C	BNA1	2.3
281	YCL030C	HIS4	2.3
282	YDR388W	RVS167	2.3
283	YHR190W	ERG9	2.3
284	YJL059W	YHC3	2.3
285	YGL053W	PRM8	2.3
286	YDL230W	PTP1	2.3
287	YBR230C	OM14	2.3
288	YLR364W	GRX8	2.3
289	YKL141W	SDH3	2.3
290	YJL048C	UBX6	2.2
291	YLR354C	TAL1	2.2
292	YGL161C	YIP5	2.2
293	YGL180W	ATG1	2.2
294	YDR099W	BMH2	2.2
295	YMR119W	ASI1	2.2
296	YNL160W	YGP1	2.2
297	YNL036W	NCE103	2.2
298	YDL169C	UGX2	2.2
299	YBR001C	NTH2	2.2
300	YMR009W	ADI1	2.2
301	YNL074C	MLF3	2.2
302	YKR091W	SRL3	2.2
303	YDL078C	MDH3	2.2
304	YJL020C	BBC1	2.2
305	YFR052W	RPN12	2.2
306	YPL152W	RRD2	2.2
307	YLR080W	EMP46	2.2
308	YKL127W	PGM1	2.2
309	YLL039C	UBI4	2.2
310	YDL198C	GGC1	2.2
311	YGR132C	PHB1	2.2
312	YER177W	BMH1	2.2
313	YPL006W	NCR1	2.2
314	YGR088W	CTT1	2.2
315	YGR161C	RTS3	2.2
316	YLR324W	PEX30	2.2
317	YGL224C	SDT1	2.2
318	YMR191W	SPG5	2.2
319	YGR284C	ERV29	2.2
320	YIL107C	PFK26	2.2
321	YGL250W	RMR1	2.2
322	YKR039W	GAP1	2.2
323	YJR122W	IBA57	2.2
324	YMR169C	ALD3	2.2
325	YOR386W	PHR1	2.2
326	YFR053C	HXK1	2.2
327	YNL243W	SLA2	2.2
328	YJL001W	PRE3	2.2
329	YLR438W	CAR2	2.2
330	YNL055C	POR1	2.2
331	YBR213W	MET8	2.2
332	YER026C	CHO1	2.2
333	YGL227W	VID30	2.2
334	YOR042W	CUE5	2.2
335	YDL046W	NPC2	2.2
336	YNL003C	PET8	2.2
337	YBR286W	APE3	2.2
338	YOL151W	GRE2	2.2
