SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: TAX4

Rank	Gene	Common	Score
Q	YJL083W	TAX4	
1	YAL034C	FUN19	2.7
2	YJR059W	PTK2	2.6
3	YLL019C	KNS1	2.6
4	YJR091C	JSN1	2.6
5	YMR140W	SIP5	2.6
6	YBR214W	SDS24	2.6
7	YIL033C	BCY1	2.6
8	YIL101C	XBP1	2.6
9	YPL119C	DBP1	2.6
10	YJL141C	YAK1	2.5
11	YLR116W	MSL5	2.5
12	YDR247W	VHS1	2.5
13	YOL060C	MAM3	2.5
14	YCR079W	PTC6	2.5
15	YDL222C	FMP45	2.5
16	YML013W	UBX2	2.5
17	YBR212W	NGR1	2.4
18	YJR019C	TES1	2.4
19	YJL020C	BBC1	2.4
20	YOR113W	AZF1	2.4
21	YNR047W	FPK1	2.4
22	YIL042C	PKP1	2.4
23	YLR219W	MSC3	2.4
24	YGL197W	MDS3	2.4
25	YPR154W	PIN3	2.4
26	YEL060C	PRB1	2.4
27	YIL006W	YIA6	2.4
28	YKL038W	RGT1	2.4
29	YKL093W	MBR1	2.4
30	YJL042W	MHP1	2.4
31	YKL168C	KKQ8	2.4
32	YKL198C	PTK1	2.4
33	YMR053C	STB2	2.4
34	YML029W	USA1	2.4
35	YNL321W	VNX1	2.4
36	YOR140W	SFL1	2.4
37	YGR023W	MTL1	2.4
38	YHL032C	GUT1	2.4
39	YOR035C	SHE4	2.3
40	YJR106W	ECM27	2.3
41	YJL082W	IML2	2.3
42	YGR268C	HUA1	2.3
43	YCR091W	KIN82	2.3
44	YDR436W	PPZ2	2.3
45	YGR143W	SKN1	2.3
46	YAL028W	FRT2	2.3
47	YMR109W	MYO5	2.3
48	YCL044C	MGR1	2.3
49	YMR104C	YPK2	2.3
50	YCR030C	SYP1	2.3
51	YJL084C	ALY2	2.3
52	YDR096W	GIS1	2.3
53	YKL204W	EAP1	2.3
54	YPL203W	TPK2	2.3
55	YDR409W	SIZ1	2.3
56	YBR280C	SAF1	2.3
57	YML120C	NDI1	2.3
58	YML100W	TSL1	2.3
59	YIL153W	RRD1	2.3
60	YCR068W	ATG15	2.3
61	YNL278W	CAF120	2.3
62	YOL084W	PHM7	2.3
63	YKL034W	TUL1	2.3
64	YOR156C	NFI1	2.3
65	YLR047C	FRE8	2.3
66	YJL103C	GSM1	2.3
67	YAL061W	BDH2	2.2
68	YMR165C	PAH1	2.2
69	YOR054C	VHS3	2.2
70	YBR223C	TDP1	2.2
71	YPR030W	CSR2	2.2
72	YBR001C	NTH2	2.2
73	YMR250W	GAD1	2.2
74	YOR347C	PYK2	2.2
75	YIR006C	PAN1	2.2
76	YLR258W	GSY2	2.2
77	YBR169C	SSE2	2.2
78	YNL241C	ZWF1	2.2
79	YCL040W	GLK1	2.2
80	YDR169C	STB3	2.2
81	YDL123W	SNA4	2.2
82	YDR074W	TPS2	2.2
83	YNL125C	ESBP6	2.2
84	YDL194W	SNF3	2.2
85	YPL004C	LSP1	2.2
86	YDL238C	GUD1	2.2
87	YBL101C	ECM21	2.2
88	YAL048C	GEM1	2.2
89	YPL190C	NAB3	2.2
90	YJL019W	MPS3	2.2
91	YML118W	NGL3	2.2
