SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SIP4

Rank	Gene	Common	Score
Q	YJL089W	SIP4	
1	YML042W	CAT2	3.6
2	YOR100C	CRC1	3.5
3	YAL054C	ACS1	3.3
4	YER024W	YAT2	3.3
5	YHR096C	HXT5	3.3
6	YLR174W	IDP2	3.3
7	YDL085W	NDE2	3.3
8	YLR267W	BOP2	3.2
9	YJR095W	SFC1	3.1
10	YER065C	ICL1	3.1
11	YNL117W	MLS1	3.1
12	YMR107W	SPG4	3.1
13	YKL217W	JEN1	3.1
14	YPR001W	CIT3	3.1
15	YLR377C	FBP1	3.0
16	YPR151C	SUE1	3.0
17	YPR026W	ATH1	2.9
18	YKR009C	FOX2	2.9
19	YDL223C	HBT1	2.9
20	YNR002C	ATO2	2.9
21	YKL188C	PXA2	2.9
22	YKL093W	MBR1	2.9
23	YBR169C	SSE2	2.9
24	YGR043C	NQM1	2.9
25	YFL030W	AGX1	2.9
26	YPL223C	GRE1	2.9
27	YCR010C	ADY2	2.9
28	YOL084W	PHM7	2.9
29	YER096W	SHC1	2.9
30	YKR076W	ECM4	2.9
31	YHL024W	RIM4	2.9
32	YIL099W	SGA1	2.9
33	YBL049W	MOH1	2.9
34	YOL126C	MDH2	2.8
35	YGL205W	POX1	2.8
36	YDR070C	FMP16	2.8
37	YJL103C	GSM1	2.8
38	YNL014W	HEF3	2.8
39	YPL054W	LEE1	2.8
40	YAR035W	YAT1	2.8
41	YKR097W	PCK1	2.8
42	YJL153C	INO1	2.8
43	YBR230C	OM14	2.8
44	YBR046C	ZTA1	2.8
45	YMR174C	PAI3	2.8
46	YDL169C	UGX2	2.8
47	YGL156W	AMS1	2.8
48	YDR059C	UBC5	2.8
49	YOR328W	PDR10	2.8
50	YNL009W	IDP3	2.8
51	YGL180W	ATG1	2.8
52	YBR117C	TKL2	2.8
53	YBR280C	SAF1	2.8
54	YIL136W	OM45	2.8
55	YIL160C	POT1	2.7
56	YMR175W	SIP18	2.7
57	YMR191W	SPG5	2.7
58	YPL222W	FMP40	2.7
59	YGR243W	MPC3	2.7
60	YBR072W	HSP26	2.7
61	YDL215C	GDH2	2.7
62	YHR160C	PEX18	2.7
63	YBL075C	SSA3	2.7
64	YDL204W	RTN2	2.7
65	YJL137C	GLG2	2.7
66	YGR236C	SPG1	2.7
67	YOR173W	DCS2	2.7
68	YNL125C	ESBP6	2.7
69	YPL147W	PXA1	2.7
70	YOR120W	GCY1	2.7
71	YBR006W	UGA2	2.7
72	YLR080W	EMP46	2.7
73	YGL121C	GPG1	2.7
74	YGR256W	GND2	2.7
75	YMR110C	HFD1	2.7
76	YML128C	MSC1	2.7
77	YDR223W	CRF1	2.7
78	YOL052C-A	DDR2	2.7
79	YBR050C	REG2	2.7
80	YBR047W	FMP23	2.7
81	YPL186C	UIP4	2.7
82	YER054C	GIP2	2.6
83	YIL101C	XBP1	2.6
84	YEL012W	UBC8	2.6
85	YDL024C	DIA3	2.6
86	YNL202W	SPS19	2.6
87	YGR248W	SOL4	2.6
88	YPR030W	CSR2	2.6
89	YLR307W	CDA1	2.6
90	YKL026C	GPX1	2.6
91	YBR132C	AGP2	2.6
92	YMR271C	URA10	2.6
93	YMR250W	GAD1	2.6
94	YAL062W	GDH3	2.6
95	YBL064C	PRX1	2.6
96	YKR049C	FMP46	2.6
97	YBR214W	SDS24	2.6
98	YML054C	CYB2	2.6
99	YBL015W	ACH1	2.6
100	YDL110C	TMA17	2.6
101	YNL237W	YTP1	2.6
102	YPR184W	GDB1	2.6
103	YNL093W	YPT53	2.6
104	YOR374W	ALD4	2.6
105	YHR139C	SPS100	2.6
106	YLL019C	KNS1	2.6
107	YMR280C	CAT8	2.6
108	YJL161W	FMP33	2.6
109	YPL017C	IRC15	2.6
110	YJL155C	FBP26	2.6
111	YDR256C	CTA1	2.6
112	YAL034C	FUN19	2.6
113	YKR046C	PLN1	2.6
114	YLR178C	TFS1	2.6
115	YGR088W	CTT1	2.6
116	YMR322C	SNO4	2.6
117	YPL119C	DBP1	2.6
118	YPL230W	USV1	2.5
119	YNL012W	SPO1	2.5
120	YHR171W	ATG7	2.5
121	YOR003W	YSP3	2.5
122	YDR001C	NTH1	2.5
123	YOR348C	PUT4	2.5
124	YLR284C	ECI1	2.5
125	YHR106W	TRR2	2.5
126	YIL107C	PFK26	2.5
127	YDR009W	GAL3	2.5
128	YBR045C	GIP1	2.5
129	YPR006C	ICL2	2.5
130	YMR169C	ALD3	2.5
131	YDR171W	HSP42	2.5
132	YHR087W	RTC3	2.5
133	YML118W	NGL3	2.5
134	YLR142W	PUT1	2.5
135	YFR049W	KGD4	2.5
136	YLR327C	TMA10	2.5
137	YDR536W	STL1	2.5
138	YDR380W	ARO10	2.5
139	YGR070W	ROM1	2.5
140	YIL155C	GUT2	2.5
141	YFL014W	HSP12	2.5
142	YEL060C	PRB1	2.5
143	YDR216W	ADR1	2.5
144	YBR212W	NGR1	2.5
145	YDR085C	AFR1	2.5
146	YMR041C	ARA2	2.5
147	YPR193C	HPA2	2.5
148	YJL057C	IKS1	2.5
149	YGL096W	TOS8	2.5
150	YLL039C	UBI4	2.5
151	YBL078C	ATG8	2.5
152	YIR039C	YPS6	2.5
153	YPR002W	PDH1	2.5
154	YER175C	TMT1	2.5
155	YPL156C	PRM4	2.5
156	YMR053C	STB2	2.5
157	YDL222C	FMP45	2.5
158	YPR061C	JID1	2.5
159	YDR313C	PIB1	2.5
160	YBR001C	NTH2	2.5
161	YER103W	SSA4	2.5
162	YOL119C	MCH4	2.5
163	YBL043W	ECM13	2.5
164	YER035W	EDC2	2.4
165	YMR170C	ALD2	2.4
166	YKL163W	PIR3	2.4
167	YKL124W	SSH4	2.4
168	YDL054C	MCH1	2.4
169	YEL011W	GLC3	2.4
170	YLR070C	XYL2	2.4
171	YPL123C	RNY1	2.4
172	YOR185C	GSP2	2.4
173	YBL101C	ECM21	2.4
174	YOR227W	HER1	2.4
175	YHR137W	ARO9	2.4
176	YHR209W	CRG1	2.4
177	YJL141C	YAK1	2.4
178	YER015W	FAA2	2.4
179	YNL104C	LEU4	2.4
180	YJL066C	MPM1	2.4
181	YKR067W	GPT2	2.4
182	YAL061W	BDH2	2.4
183	YIL097W	FYV10	2.4
184	YLR251W	SYM1	2.4
185	YJR130C	STR2	2.4
186	YIL146C	ATG32	2.4
