SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: TOK1

Rank	Gene	Common	Score
Q	YJL093C	TOK1	
1	YKL034W	TUL1	2.9
2	YKL146W	AVT3	2.7
3	YJL094C	KHA1	2.7
4	YJL141C	YAK1	2.6
5	YNL125C	ESBP6	2.6
6	YNL294C	RIM21	2.5
7	YBR036C	CSG2	2.5
8	YDR436W	PPZ2	2.5
9	YMR119W	ASI1	2.5
10	YGL104C	VPS73	2.5
11	YJR106W	ECM27	2.5
12	YJR126C	VPS70	2.5
13	YDR350C	ATP22	2.5
14	YKL039W	PTM1	2.5
15	YPL006W	NCR1	2.5
16	YJL155C	FBP26	2.5
17	YKL038W	RGT1	2.5
18	YJR005W	APL1	2.4
19	YJR001W	AVT1	2.4
20	YCR079W	PTC6	2.4
21	YLL019C	KNS1	2.4
22	YKL126W	YPK1	2.4
23	YOR035C	SHE4	2.4
24	YLR248W	RCK2	2.4
25	YJL128C	PBS2	2.4
26	YLR362W	STE11	2.4
27	YPL224C	MMT2	2.4
28	YPR026W	ATH1	2.4
29	YLR299W	ECM38	2.4
30	YJL103C	GSM1	2.4
31	YJL090C	DPB11	2.4
32	YBR222C	PCS60	2.4
33	YBR234C	ARC40	2.4
34	YLR240W	VPS34	2.4
35	YNL101W	AVT4	2.4
36	YLR144C	ACF2	2.4
37	YPL270W	MDL2	2.4
38	YJR040W	GEF1	2.4
39	YHR074W	QNS1	2.4
40	YKL168C	KKQ8	2.4
41	YML057W	CMP2	2.4
42	YPL214C	THI6	2.4
43	YJR065C	ARP3	2.3
44	YAL016W	TPD3	2.3
45	YPL203W	TPK2	2.3
46	YNL321W	VNX1	2.3
47	YOR363C	PIP2	2.3
48	YLR219W	MSC3	2.3
49	YMR170C	ALD2	2.3
50	YJL099W	CHS6	2.3
51	YGL006W	PMC1	2.3
52	YMR302C	YME2	2.3
53	YDL123W	SNA4	2.3
54	YGR143W	SKN1	2.3
55	YDR349C	YPS7	2.3
56	YNL159C	ASI2	2.3
57	YCR011C	ADP1	2.3
58	YGR223C	HSV2	2.3
59	YDR293C	SSD1	2.3
60	YHR028C	DAP2	2.3
61	YAL031C	GIP4	2.3
62	YER144C	UBP5	2.3
63	YML042W	CAT2	2.3
64	YIL099W	SGA1	2.3
65	YOR227W	HER1	2.3
66	YDL215C	GDH2	2.3
67	YPL154C	PEP4	2.3
68	YOR014W	RTS1	2.3
69	YLR266C	PDR8	2.3
70	YMR020W	FMS1	2.3
71	YPR023C	EAF3	2.3
72	YOR149C	SMP3	2.3
73	YGR141W	VPS62	2.3
74	YDR122W	KIN1	2.3
75	YDL230W	PTP1	2.3
76	YLR361C	DCR2	2.3
77	YMR110C	HFD1	2.3
78	YGL142C	GPI10	2.3
79	YJL047C	RTT101	2.3
80	YDR001C	NTH1	2.3
81	YJL057C	IKS1	2.3
82	YMR191W	SPG5	2.3
83	YIL017C	VID28	2.3
84	YDR231C	COX20	2.3
85	YOR142W	LSC1	2.3
86	YJL137C	GLG2	2.3
87	YJL060W	BNA3	2.3
88	YNR047W	FPK1	2.3
89	YLR246W	ERF2	2.3
90	YAL034C	FUN19	2.3
91	YDL128W	VCX1	2.3
92	YKL176C	LST4	2.3
93	YOL060C	MAM3	2.3
94	YLR270W	DCS1	2.3
95	YDR160W	SSY1	2.3
96	YIR039C	YPS6	2.3
97	YDR264C	AKR1	2.3
98	YJL059W	YHC3	2.3
99	YDR456W	NHX1	2.3
100	YDL234C	GYP7	2.3
101	YOR245C	DGA1	2.3
102	YOR138C	RUP1	2.3
103	YJR019C	TES1	2.3
104	YBL101C	ECM21	2.3
105	YJL101C	GSH1	2.3
106	YGR019W	UGA1	2.2
107	YIL125W	KGD1	2.2
108	YBR280C	SAF1	2.2
109	YLL015W	BPT1	2.2
110	YJL082W	IML2	2.2
111	YLR189C	ATG26	2.2
112	YCL038C	ATG22	2.2
113	YJR110W	YMR1	2.2
114	YIL146C	ATG32	2.2
115	YJR151C	DAN4	2.2
116	YDR255C	RMD5	2.2
117	YOR328W	PDR10	2.2
118	YOL025W	LAG2	2.2
119	YDR059C	UBC5	2.2
120	YML051W	GAL80	2.2
121	YKL035W	UGP1	2.2
122	YBR059C	AKL1	2.2
123	YDR422C	SIP1	2.2
124	YDL054C	MCH1	2.2
125	YOR380W	RDR1	2.2
126	YEL060C	PRB1	2.2
127	YNL127W	FAR11	2.2
128	YML117W	NAB6	2.2
129	YEL011W	GLC3	2.2
130	YLR371W	ROM2	2.2
131	YLR120C	YPS1	2.2
132	YAL017W	PSK1	2.2
133	YDL134C	PPH21	2.2
134	YER119C	AVT6	2.2
135	YHR171W	ATG7	2.2
136	YKL064W	MNR2	2.2
137	YKL220C	FRE2	2.2
138	YOR256C	TRE2	2.2
139	YDR205W	MSC2	2.2
140	YBR001C	NTH2	2.2
141	YLL029W	FRA1	2.2
142	YDL238C	GUD1	2.2
143	YMR297W	PRC1	2.2
144	YIL101C	XBP1	2.2
145	YKL121W	DGR2	2.2
146	YKR021W	ALY1	2.2
147	YOL013C	HRD1	2.2
148	YKL140W	TGL1	2.2
149	YMR200W	ROT1	2.2
150	YBR003W	COQ1	2.2
151	YFR022W	ROG3	2.2
152	YDR003W	RCR2	2.2
153	YCR069W	CPR4	2.2
154	YJL042W	MHP1	2.2
155	YCL052C	PBN1	2.2
156	YGR070W	ROM1	2.2
157	YLR098C	CHA4	2.2
158	YKR076W	ECM4	2.2
159	YMR261C	TPS3	2.2
160	YPL119C	DBP1	2.2
161	YIL088C	AVT7	2.2
162	YGL227W	VID30	2.2
163	YNL094W	APP1	2.2
164	YLR174W	IDP2	2.2
165	YBR212W	NGR1	2.2
166	YBR214W	SDS24	2.2
167	YDR178W	SDH4	2.2
168	YKL020C	SPT23	2.2
169	YBR269C	SDH8	2.2
170	YML016C	PPZ1	2.2
171	YJL112W	MDV1	2.2
172	YDL072C	YET3	2.2
173	YMR041C	ARA2	2.2
174	YNL223W	ATG4	2.2
175	YMR053C	STB2	2.2
176	YDL231C	BRE4	2.2
177	YIL023C	YKE4	2.2
178	YDR479C	PEX29	2.2
179	YGL003C	CDH1	2.2
180	YJL100W	LSB6	2.2
181	YGL156W	AMS1	2.2
182	YKL213C	DOA1	2.2
183	YLR375W	STP3	2.2
184	YMR237W	BCH1	2.2
185	YHR194W	MDM31	2.2
186	YNL156C	NSG2	2.2
187	YPR184W	GDB1	2.2
188	YPL152W	RRD2	2.2
189	YOL113W	SKM1	2.2
190	YML120C	NDI1	2.2
191	YGR194C	XKS1	2.2
192	YLR258W	GSY2	2.2
193	YLR178C	TFS1	2.2
194	YJL139C	YUR1	2.2
195	YKL157W	APE2	2.2
196	YIL048W	NEO1	2.2
197	YML013W	UBX2	2.2
198	YCR036W	RBK1	2.2
199	YGR032W	GSC2	2.2
200	YKR049C	FMP46	2.2
201	YMR092C	AIP1	2.2
202	YNR007C	ATG3	2.2
203	YIL107C	PFK26	2.2
204	YGL248W	PDE1	2.2
205	YKR046C	PLN1	2.2
206	YOR347C	PYK2	2.2
207	YKL065C	YET1	2.2
208	YKR050W	TRK2	2.2
209	YLR381W	CTF3	2.2
210	YOL081W	IRA2	2.2
211	YDL149W	ATG9	2.2
212	YDR028C	REG1	2.2
213	YBR046C	ZTA1	2.2
214	YOL129W	VPS68	2.2
215	YKL135C	APL2	2.2
216	YJL095W	BCK1	2.2
217	YJL164C	TPK1	2.2
218	YDR438W	THI74	2.2
219	YDR411C	DFM1	2.2
220	YNL237W	YTP1	2.2
221	YPL015C	HST2	2.2
222	YPL222W	FMP40	2.2
223	YBR169C	SSE2	2.2
224	YPR159W	KRE6	2.2
225	YKR009C	FOX2	2.2
226	YPR198W	SGE1	2.2
227	YOL082W	ATG19	2.2
228	YMR008C	PLB1	2.2
229	YMR037C	MSN2	2.2
230	YOR100C	CRC1	2.2
