SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: LSB6

Rank	Gene	Common	Score
Q	YJL100W	LSB6	
1	YLR205C	HMX1	2.9
2	YJL048C	UBX6	2.9
3	YML054C	CYB2	2.8
4	YLR219W	MSC3	2.8
5	YPR151C	SUE1	2.7
6	YDR003W	RCR2	2.7
7	YMR302C	YME2	2.7
8	YPR061C	JID1	2.7
9	YJL066C	MPM1	2.7
10	YOR023C	AHC1	2.7
11	YAL034C	FUN19	2.7
12	YML120C	NDI1	2.7
13	YJR059W	PTK2	2.6
14	YJL103C	GSM1	2.6
15	YKR089C	TGL4	2.6
16	YKR046C	PLN1	2.6
17	YNL237W	YTP1	2.6
18	YFL030W	AGX1	2.6
19	YMR068W	AVO2	2.6
20	YKL094W	YJU3	2.6
21	YMR110C	HFD1	2.6
22	YIL042C	PKP1	2.6
23	YDL110C	TMA17	2.6
24	YDR270W	CCC2	2.6
25	YPL054W	LEE1	2.5
26	YKL146W	AVT3	2.5
27	YNL156C	NSG2	2.5
28	YBR280C	SAF1	2.5
29	YBR230C	OM14	2.5
30	YLL019C	KNS1	2.5
31	YML042W	CAT2	2.5
32	YJL112W	MDV1	2.5
33	YJR019C	TES1	2.5
34	YJL141C	YAK1	2.5
35	YPL222W	FMP40	2.5
36	YNL125C	ESBP6	2.5
37	YIL036W	CST6	2.5
38	YJL057C	IKS1	2.5
39	YIL101C	XBP1	2.5
40	YKL093W	MBR1	2.5
41	YHR008C	SOD2	2.5
42	YIL155C	GUT2	2.5
43	YDR436W	PPZ2	2.5
44	YJL101C	GSH1	2.5
45	YJR036C	HUL4	2.5
46	YDL169C	UGX2	2.5
47	YHR195W	NVJ1	2.5
48	YKL038W	RGT1	2.5
49	YIL046W	MET30	2.5
50	YOL084W	PHM7	2.4
51	YIL146C	ATG32	2.4
52	YJL102W	MEF2	2.4
53	YLL029W	FRA1	2.4
54	YER020W	GPA2	2.4
55	YGL208W	SIP2	2.4
56	YDR358W	GGA1	2.4
57	YHR161C	YAP1801	2.4
58	YJL155C	FBP26	2.4
59	YBR183W	YPC1	2.4
60	YBR212W	NGR1	2.4
61	YPL004C	LSP1	2.4
62	YKL188C	PXA2	2.4
63	YKR067W	GPT2	2.4
64	YDR231C	COX20	2.4
65	YCL034W	LSB5	2.4
66	YPR026W	ATH1	2.4
67	YJR122W	IBA57	2.4
68	YER141W	COX15	2.4
69	YDR169C	STB3	2.4
70	YDR329C	PEX3	2.4
71	YJL137C	GLG2	2.4
72	YIL136W	OM45	2.4
73	YOR054C	VHS3	2.4
74	YOL060C	MAM3	2.4
75	YKL034W	TUL1	2.4
76	YIL017C	VID28	2.4
77	YNL173C	MDG1	2.4
78	YNR007C	ATG3	2.4
79	YAL061W	BDH2	2.4
