SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: MCO6

Rank	Gene	Common	Score
Q	YJL127C-B	MCO6	
1	YMR150C	IMP1	1.0
2	YJR101W	RSM26	1.0
3	YGR206W	MVB12	1.0
4	YKL003C	MRP17	0.9
5	YKR085C	MRPL20	0.9
6	YLL009C	COX17	0.9
7	YMR158W	MRPS8	0.9
8	YNL259C	ATX1	0.9
9	YDR374W-A	WIP1	0.9
10	YML009C	MRPL39	0.9
11	YKL006C-A	SFT1	0.9
12	YNL122C	MRP35	0.9
13	YJR034W	PET191	0.9
14	YBR262C	MIC12	0.9
15	YPL149W	ATG5	0.9
16	YLR093C	NYV1	0.9
17	YMR157C	AIM36	0.9
18	YDR322C-A	TIM11	0.9
19	YBL001C	ECM15	0.9
20	YER050C	RSM18	0.9
21	YJR099W	YUH1	0.9
22	YKL016C	ATP7	0.9
23	YPR199C	ARR1	0.9
24	YKL214C	YRA2	0.9
25	YJR102C	VPS25	0.9
26	YLL042C	ATG10	0.9
27	YMR233W	TRI1	0.9
28	YPL078C	ATP4	0.9
29	YMR098C	ATP25	0.8
30	YER046W	SPO73	0.8
31	YJL096W	MRPL49	0.8
32	YDR377W	ATP17	0.8
33	YJL004C	SYS1	0.8
34	YKL053C-A	MDM35	0.8
35	YIL009C-A	EST3	0.8
36	YJR100C	AIM25	0.8
37	YJL140W	RPB4	0.8
38	YDR320C-A	DAD4	0.8
39	YLR312W-A	MRPL15	0.8
40	YDR031W	MIX14	0.8
41	YJL003W	COX16	0.8
42	YDL008W	APC11	0.8
43	YJR133W	XPT1	0.8
44	YLR290C	COQ11	0.8
45	YLR016C	PML1	0.8
46	YDR493W	MZM1	0.8
47	YNL315C	ATP11	0.8
48	YJL104W	PAM16	0.8
49	YEL044W	IES6	0.8
50	YLR078C	BOS1	0.8
51	YBR268W	MRPL37	0.8
52	YNL081C	SWS2	0.8
53	YJR112W-A	YJR112W-A	0.8
54	YGL068W	MNP1	0.8
55	YAL033W	POP5	0.8
56	YOR148C	SPP2	0.8
57	YAR027W	UIP3	0.8
58	YFL027C	GYP8	0.8
59	YJR058C	APS2	0.8
60	YDR079C-A	TFB5	0.8
61	YBR278W	DPB3	0.8
62	YPL148C	PPT2	0.8
63	YDR511W	SDH7	0.8
64	YCR060W	TAH1	0.8
65	YJR067C	YAE1	0.8
66	YKL002W	DID4	0.8
67	YKL208W	CBT1	0.8
68	YLL014W	EMC6	0.8
69	YPL183W-A	RTC6	0.8
70	YER071C	TDA2	0.8
71	YCR003W	MRPL32	0.8
72	YBL018C	POP8	0.8
73	YPR166C	MRP2	0.8
74	YLR408C	BLS1	0.8
75	YHR110W	ERP5	0.8
76	YCL035C	GRX1	0.8
77	YLR262C-A	TMA7	0.8
78	YMR074C	SDD2	0.8
79	YKL091C	YKL091C	0.8
80	YGR132C	PHB1	0.8
81	YJL205C	NCE101	0.8
82	YLR022C	SDO1	0.8
83	YPR113W	PIS1	0.8
84	YMR180C	CTL1	0.8
85	YKL012W	PRP40	0.8
86	YKL069W	YKL069W	0.8
87	YKL067W	YNK1	0.8
88	YLR021W	IRC25	0.8
89	YMR071C	TVP18	0.8
90	YEL020W-A	TIM9	0.8
91	YGR147C	NAT2	0.8
92	YDR016C	DAD1	0.8
93	YLR011W	LOT6	0.8
94	YOL116W	MSN1	0.8
95	YMR035W	IMP2	0.8
96	YNL211C	MRX7	0.8
97	YLR010C	TEN1	0.8
98	YKL094W	YJU3	0.8
99	YKR021W	ALY1	0.8
100	YKL040C	NFU1	0.8
101	YLR251W	SYM1	0.8
102	YKR088C	TVP38	0.8
103	YGL247W	BRR6	0.8
104	YOR286W	RDL2	0.8
105	YJL037W	IRC18	0.8
106	YOR179C	SYC1	0.8
107	YNR037C	RSM19	0.8
108	YJL072C	PSF2	0.8
109	YKR006C	MRPL13	0.8
110	YMR132C	JLP2	0.8
111	YNL185C	MRPL19	0.8
112	YAL008W	FUN14	0.8
113	YMR286W	MRPL33	0.8
114	YPR134W	MSS18	0.8
115	YDR357C	CNL1	0.8
116	YKL176C	LST4	0.8
117	YML001W	YPT7	0.8
118	YJL126W	NIT2	0.8
119	YBR077C	SLM4	0.8
120	YDL160C-A	MHF2	0.8
121	YKL119C	VPH2	0.7
122	YJR135W-A	TIM8	0.7
123	YLR412W	BER1	0.7
124	YKR074W	AIM29	0.7
125	YPL268W	PLC1	0.7
126	YDR424C	DYN2	0.7
127	YLR105C	SEN2	0.7
128	YLR107W	REX3	0.7
129	YGR222W	PET54	0.7
130	YML129C	COX14	0.7
131	YKL138C	MRPL31	0.7
132	YDR529C	QCR7	0.7
133	YOR045W	TOM6	0.7
134	YBR194W	AIM4	0.7
135	YLR195C	NMT1	0.7
136	YLR418C	CDC73	0.7
137	YOR150W	MRPL23	0.7
138	YMR271C	URA10	0.7
139	YDR073W	SNF11	0.7
