SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SFH5

Rank	Gene	Common	Score
Q	YJL145W	SFH5	
1	YOL097C	WRS1	3.3
2	YPR118W	MRI1	3.3
3	YDR087C	RRP1	3.2
4	YDL051W	LHP1	3.2
5	YJR014W	TMA22	3.1
6	YJL177W	RPL17B	3.1
7	YOR046C	DBP5	3.1
8	YJR007W	SUI2	3.1
9	YKL021C	MAK11	3.1
10	YMR131C	RRB1	3.0
11	YOL139C	CDC33	3.0
12	YIR026C	YVH1	3.0
13	YOR095C	RKI1	3.0
14	YNL175C	NOP13	3.0
15	YLR060W	FRS1	3.0
16	YJR069C	HAM1	3.0
17	YHR013C	ARD1	3.0
18	YPR163C	TIF3	3.0
19	YNL255C	GIS2	3.0
20	YKL009W	MRT4	3.0
21	YDR361C	BCP1	3.0
22	YKR026C	GCN3	2.9
23	YLR197W	NOP56	2.9
24	YOL077C	BRX1	2.9
25	YJR070C	LIA1	2.9
26	YNR003C	RPC34	2.9
27	YLR449W	FPR4	2.9
28	YMR146C	TIF34	2.9
29	YJL148W	RPA34	2.9
30	YLR185W	RPL37A	2.9
31	YDR429C	TIF35	2.9
32	YOR276W	CAF20	2.9
33	YHR068W	DYS1	2.9
34	YOR340C	RPA43	2.9
35	YJL050W	MTR4	2.9
36	YPL211W	NIP7	2.9
37	YDR023W	SES1	2.9
38	YCL059C	KRR1	2.9
39	YJR072C	NPA3	2.9
40	YOR361C	PRT1	2.9
41	YJL124C	LSM1	2.9
42	YER007C-A	TMA20	2.9
43	YGR285C	ZUO1	2.9
44	YAL036C	RBG1	2.9
45	YPR060C	ARO7	2.9
46	YDL082W	RPL13A	2.9
47	YLR172C	DPH5	2.9
48	YJL125C	GCD14	2.9
49	YKL081W	TEF4	2.9
50	YGR185C	TYS1	2.9
51	YBL039C	URA7	2.9
52	YPR110C	RPC40	2.9
53	YDL201W	TRM8	2.9
54	YPL263C	KEL3	2.9
55	YOR168W	GLN4	2.9
56	YLR276C	DBP9	2.9
57	YGL147C	RPL9A	2.9
58	YNL151C	RPC31	2.8
59	YBR252W	DUT1	2.8
60	YBR121C	GRS1	2.8
61	YLR192C	HCR1	2.8
62	YDR165W	TRM82	2.8
63	YKL144C	RPC25	2.8
64	YLR175W	CBF5	2.8
65	YGR187C	HGH1	2.8
66	YMR290C	HAS1	2.8
67	YOR310C	NOP58	2.8
68	YML106W	URA5	2.8
69	YJL136C	RPS21B	2.8
70	YLR221C	RSA3	2.8
71	YKL099C	UTP11	2.8
72	YMR142C	RPL13B	2.8
73	YNL248C	RPA49	2.8
74	YNL292W	PUS4	2.8
75	YHR193C	EGD2	2.8
76	YJL111W	CCT7	2.8
77	YLR003C	CMS1	2.8
78	YLR435W	TSR2	2.8
79	YBR189W	RPS9B	2.8
80	YOR272W	YTM1	2.8
81	YML022W	APT1	2.8
82	YGR123C	PPT1	2.8
83	YJR002W	MPP10	2.8
84	YBL068W	PRS4	2.8
85	YHR144C	DCD1	2.8
86	YGR173W	RBG2	2.8
87	YML073C	RPL6A	2.8
88	YLR150W	STM1	2.8
89	YNL096C	RPS7B	2.8
90	YMR123W	PKR1	2.8
91	YGR103W	NOP7	2.8
