SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: HSP150

Rank	Gene	Common	Score
Q	YJL159W	HSP150	
1	YKL163W	PIR3	4.2
2	YDR077W	SED1	4.1
3	YKL164C	PIR1	3.7
4	YDR055W	PST1	3.5
5	YOR010C	TIR2	3.2
6	YGR189C	CRH1	3.1
7	YJL158C	CIS3	3.1
8	YEL060C	PRB1	3.1
9	YLR390W-A	CCW14	3.1
10	YPL154C	PEP4	2.9
11	YLR120C	YPS1	2.9
12	YKL104C	GFA1	2.9
13	YHR030C	SLT2	2.9
14	YNL322C	KRE1	2.9
15	YJL079C	PRY1	2.9
16	YNL160W	YGP1	2.8
17	YKR042W	UTH1	2.8
18	YKR091W	SRL3	2.8
19	YGR282C	BGL2	2.8
20	YCL043C	PDI1	2.8
21	YPL089C	RLM1	2.8
22	YCL040W	GLK1	2.7
23	YJR077C	MIR1	2.7
24	YBR214W	SDS24	2.7
25	YLR121C	YPS3	2.7
26	YLR110C	CCW12	2.7
27	YDR293C	SSD1	2.7
28	YNL241C	ZWF1	2.7
29	YOR208W	PTP2	2.7
30	YOR230W	WTM1	2.6
31	YHR209W	CRG1	2.6
32	YIL033C	BCY1	2.6
33	YKR046C	PLN1	2.6
34	YGR136W	LSB1	2.6
35	YDR388W	RVS167	2.6
36	YBR169C	SSE2	2.6
37	YJL151C	SNA3	2.6
38	YJL174W	KRE9	2.6
39	YJR065C	ARP3	2.6
40	YJL020C	BBC1	2.6
41	YKR013W	PRY2	2.6
42	YDR001C	NTH1	2.6
43	YKL096W-A	CWP2	2.5
44	YPR154W	PIN3	2.5
45	YBR036C	CSG2	2.5
46	YFL039C	ACT1	2.5
47	YLL019C	KNS1	2.5
48	YAL053W	FLC2	2.5
49	YJR121W	ATP2	2.5
50	YOR374W	ALD4	2.5
51	YLR178C	TFS1	2.5
52	YNL074C	MLF3	2.5
53	YLR258W	GSY2	2.5
54	YJL066C	MPM1	2.5
55	YGR254W	ENO1	2.5
56	YMR104C	YPK2	2.5
57	YAL034C	FUN19	2.5
58	YDL072C	YET3	2.5
59	YFL031W	HAC1	2.5
60	YJL141C	YAK1	2.5
61	YGL156W	AMS1	2.5
62	YDR085C	AFR1	2.5
63	YLR044C	PDC1	2.5
64	YBR126C	TPS1	2.5
65	YMR297W	PRC1	2.5
66	YDR155C	CPR1	2.5
67	YMR008C	PLB1	2.5
68	YJL082W	IML2	2.5
69	YMR250W	GAD1	2.5
70	YGR279C	SCW4	2.5
71	YER011W	TIR1	2.5
