SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: FMP33

Rank	Gene	Common	Score
Q	YJL161W	FMP33	
1	YOR173W	DCS2	4.9
2	YGR248W	SOL4	4.7
3	YLR178C	TFS1	4.5
4	YMR250W	GAD1	4.4
5	YIL136W	OM45	4.4
6	YML128C	MSC1	4.4
7	YPL186C	UIP4	4.3
8	YGR008C	STF2	4.3
9	YDR070C	FMP16	4.3
10	YDL204W	RTN2	4.3
11	YPL123C	RNY1	4.3
12	YGL121C	GPG1	4.3
13	YOR120W	GCY1	4.3
14	YGL037C	PNC1	4.3
15	YHR087W	RTC3	4.2
16	YMR105C	PGM2	4.2
17	YLR251W	SYM1	4.2
18	YBR169C	SSE2	4.1
19	YKR076W	ECM4	4.1
20	YNL274C	GOR1	4.0
21	YLR270W	DCS1	4.0
22	YBL064C	PRX1	4.0
23	YGR043C	NQM1	4.0
24	YKR049C	FMP46	4.0
25	YHR104W	GRE3	4.0
26	YML100W	TSL1	3.9
27	YPR184W	GDB1	3.9
28	YDL110C	TMA17	3.9
29	YDL021W	GPM2	3.9
30	YLR258W	GSY2	3.9
31	YCL040W	GLK1	3.9
32	YKL026C	GPX1	3.9
33	YKL142W	MRP8	3.9
34	YOL052C-A	DDR2	3.9
35	YGR088W	CTT1	3.8
36	YPL230W	USV1	3.8
37	YER053C	PIC2	3.8
38	YEL011W	GLC3	3.8
39	YMR169C	ALD3	3.8
40	YJL164C	TPK1	3.8
41	YJL066C	MPM1	3.8
42	YJL155C	FBP26	3.8
43	YGL156W	AMS1	3.8
44	YBR230C	OM14	3.7
45	YMR110C	HFD1	3.7
46	YFL014W	HSP12	3.7
47	YMR174C	PAI3	3.7
48	YKL065C	YET1	3.7
49	YOL082W	ATG19	3.7
50	YBR072W	HSP26	3.7
51	YPR026W	ATH1	3.7
52	YIL101C	XBP1	3.7
53	YER054C	GIP2	3.7
54	YGR019W	UGA1	3.7
55	YDL169C	UGX2	3.7
56	YDR001C	NTH1	3.7
57	YBR149W	ARA1	3.7
58	YKL150W	MCR1	3.7
59	YBR214W	SDS24	3.6
60	YPR160W	GPH1	3.6
61	YDL130W-A	STF1	3.6
62	YBL078C	ATG8	3.6
63	YMR271C	URA10	3.6
64	YAL061W	BDH2	3.6
65	YLR080W	EMP46	3.6
66	YDR171W	HSP42	3.6
67	YIR039C	YPS6	3.6
68	YBR269C	SDH8	3.6
69	YIR038C	GTT1	3.6
70	YIL107C	PFK26	3.6
71	YDR358W	GGA1	3.6
72	YHR209W	CRG1	3.6
73	YDR085C	AFR1	3.6
74	YER150W	SPI1	3.6
75	YEL039C	CYC7	3.5
76	YDR453C	TSA2	3.5
77	YKL091C	YKL091C	3.5
78	YDR074W	TPS2	3.5
79	YDR513W	GRX2	3.5
80	YNL015W	PBI2	3.5
81	YOL071W	SDH5	3.5
82	YLL026W	HSP104	3.5
