SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: AVT1

Rank	Gene	Common	Score
Q	YJR001W	AVT1	
1	YJL002C	OST1	3.1
2	YJR143C	PMT4	3.0
3	YDR284C	DPP1	2.9
4	YJL097W	PHS1	2.9
5	YJL062W	LAS21	2.9
6	YKR088C	TVP38	2.8
7	YGL084C	GUP1	2.8
8	YCR075C	ERS1	2.7
9	YIL088C	AVT7	2.7
10	YJL091C	GWT1	2.7
11	YNL263C	YIF1	2.7
12	YJL196C	ELO1	2.7
13	YLR209C	PNP1	2.7
14	YOL030W	GAS5	2.7
15	YJL134W	LCB3	2.7
16	YDR411C	DFM1	2.7
17	YKL034W	TUL1	2.7
18	YOR067C	ALG8	2.6
19	YNL283C	WSC2	2.6
20	YOR270C	VPH1	2.6
21	YMR215W	GAS3	2.6
22	YNR013C	PHO91	2.6
23	YIL109C	SEC24	2.6
24	YCR011C	ADP1	2.6
25	YNL321W	VNX1	2.6
26	YER119C	AVT6	2.6
27	YOR002W	ALG6	2.6
28	YNL130C	CPT1	2.6
29	YGR199W	PMT6	2.6
30	YGL161C	YIP5	2.6
31	YKL039W	PTM1	2.6
32	YDR100W	TVP15	2.6
33	YMR149W	SWP1	2.6
34	YBR234C	ARC40	2.5
35	YDR084C	TVP23	2.5
36	YKL035W	UGP1	2.5
37	YOL049W	GSH2	2.5
38	YJL001W	PRE3	2.5
39	YBR283C	SSH1	2.5
40	YDR456W	NHX1	2.5
41	YOR087W	YVC1	2.5
42	YLR459W	GAB1	2.5
43	YMR054W	STV1	2.5
44	YAL022C	FUN26	2.5
45	YEL002C	WBP1	2.5
46	YER023W	PRO3	2.5
47	YOL129W	VPS68	2.5
48	YDL095W	PMT1	2.5
49	YEL017W	GTT3	2.5
50	YGL225W	VRG4	2.5
51	YGR172C	YIP1	2.5
52	YML019W	OST6	2.5
53	YCR044C	PER1	2.5
54	YKL126W	YPK1	2.5
55	YJR139C	HOM6	2.5
56	YFR044C	DUG1	2.5
57	YCR017C	CWH43	2.5
58	YGL213C	SKI8	2.5
59	YOR085W	OST3	2.5
60	YBR036C	CSG2	2.5
61	YER019W	ISC1	2.5
62	YJL059W	YHC3	2.5
63	YHR123W	EPT1	2.5
64	YGL198W	YIP4	2.4
65	YOR321W	PMT3	2.4
66	YLR028C	ADE16	2.4
67	YGR284C	ERV29	2.4
68	YAL023C	PMT2	2.4
69	YHR074W	QNS1	2.4
70	YBR243C	ALG7	2.4
71	YJR117W	STE24	2.4
72	YNL280C	ERG24	2.4
73	YBR205W	KTR3	2.4
74	YLR351C	NIT3	2.4
75	YDL128W	VCX1	2.4
76	YML085C	TUB1	2.4
77	YJR044C	VPS55	2.4
78	YMR088C	VBA1	2.4
79	YJL093C	TOK1	2.4
80	YKL175W	ZRT3	2.4
81	YHR188C	GPI16	2.4
82	YIL123W	SIM1	2.4
83	YNR055C	HOL1	2.4
84	YGL027C	CWH41	2.4
85	YLR088W	GAA1	2.4
86	YKL146W	AVT3	2.4
87	YHR028C	DAP2	2.4
88	YPL091W	GLR1	2.4
89	YGL077C	HNM1	2.4
90	YDR105C	TMS1	2.4
91	YJR040W	GEF1	2.4
92	YMR119W	ASI1	2.4
93	YHR063C	PAN5	2.4
94	YGR038W	ORM1	2.4
95	YLL031C	GPI13	2.4
96	YCL057W	PRD1	2.4
97	YBR078W	ECM33	2.4
98	YGL186C	TPN1	2.4
99	YJR065C	ARP3	2.4
100	YNL330C	RPD3	2.4
101	YMR237W	BCH1	2.4
102	YKL219W	COS9	2.4
103	YDR107C	TMN2	2.4
104	YBR041W	FAT1	2.4
105	YBR015C	MNN2	2.4
106	YBR086C	IST2	2.4
107	YKL213C	DOA1	2.4
108	YLR113W	HOG1	2.4
109	YJL183W	MNN11	2.4
110	YLR034C	SMF3	2.4
111	YIL039W	TED1	2.4
112	YOR142W	LSC1	2.4
113	YDR119W	VBA4	2.4
114	YKL008C	LAC1	2.4
115	YJL172W	CPS1	2.4
116	YGL022W	STT3	2.4
117	YKL127W	PGM1	2.4
118	YKL140W	TGL1	2.3
119	YNR030W	ALG12	2.3
120	YAL007C	ERP2	2.3
121	YML067C	ERV41	2.3
122	YER083C	GET2	2.3
123	YBR286W	APE3	2.3
124	YFL037W	TUB2	2.3
125	YJL121C	RPE1	2.3
126	YPR181C	SEC23	2.3
127	YJR031C	GEA1	2.3
128	YPL028W	ERG10	2.3
129	YNL101W	AVT4	2.3
130	YGL067W	NPY1	2.3
131	YDL015C	TSC13	2.3
132	YML127W	RSC9	2.3
133	YNL307C	MCK1	2.3
134	YHR050W	SMF2	2.3
135	YAL042W	ERV46	2.3
136	YMR220W	ERG8	2.3
137	YLR353W	BUD8	2.3
138	YPL246C	RBD2	2.3
139	YIL034C	CAP2	2.3
140	YDR481C	PHO8	2.3
141	YJL060W	BNA3	2.3
142	YPR176C	BET2	2.3
143	YHR108W	GGA2	2.3
144	YLR089C	ALT1	2.3
145	YPL234C	VMA11	2.3
146	YLR378C	SEC61	2.3
147	YOL020W	TAT2	2.3
148	YML072C	TCB3	2.3
149	YDL103C	QRI1	2.3
150	YML126C	ERG13	2.3
151	YGR106C	VOA1	2.3
152	YLR083C	EMP70	2.3
153	YGL012W	ERG4	2.3
154	YCL043C	PDI1	2.3
155	YNL066W	SUN4	2.3
156	YML052W	SUR7	2.3
157	YBR265W	TSC10	2.3
158	YNL138W	SRV2	2.3
159	YAR002C-A	ERP1	2.3
160	YNR041C	COQ2	2.3
161	YNL003C	PET8	2.3
162	YJR105W	ADO1	2.3
163	YCR030C	SYP1	2.3
164	YKL080W	VMA5	2.3
165	YIL043C	CBR1	2.3
166	YNL239W	LAP3	2.3
167	YJR099W	YUH1	2.3
168	YLR299W	ECM38	2.3
169	YLR027C	AAT2	2.3
170	YOR175C	ALE1	2.3
171	YKL046C	DCW1	2.3
172	YGL001C	ERG26	2.3
173	YBR187W	GDT1	2.3
174	YHR039C	MSC7	2.3
175	YNL169C	PSD1	2.3
176	YGR295C	COS6	2.3
177	YPL059W	GRX5	2.3
178	YDR376W	ARH1	2.3
179	YEL063C	CAN1	2.3
180	YJL143W	TIM17	2.3
181	YDL145C	COP1	2.3
182	YLR450W	HMG2	2.3
183	YJL167W	ERG20	2.3
184	YPR028W	YOP1	2.2
185	YLR220W	CCC1	2.2
186	YKL165C	MCD4	2.2
187	YMR205C	PFK2	2.2
188	YJR131W	MNS1	2.2
189	YDR129C	SAC6	2.2
190	YJR013W	GPI14	2.2
191	YDL029W	ARP2	2.2
192	YJL186W	MNN5	2.2
193	YLR100W	ERG27	2.2
194	YPL031C	PHO85	2.2
195	YJL004C	SYS1	2.2
196	YML057W	CMP2	2.2
197	YIL124W	AYR1	2.2
198	YJR006W	POL31	2.2
199	YEL027W	VMA3	2.2
200	YMR092C	AIP1	2.2
201	YLL048C	YBT1	2.2
202	YHL003C	LAG1	2.2
203	YFR042W	KEG1	2.2
204	YHR181W	SVP26	2.2
205	YDR518W	EUG1	2.2
206	YJR103W	URA8	2.2
207	YBR221C	PDB1	2.2
208	YPL087W	YDC1	2.2
209	YPL206C	PGC1	2.2
210	YDL052C	SLC1	2.2
211	YLR153C	ACS2	2.2
