SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: NNF1

Rank	Gene	Common	Score
Q	YJR112W	NNF1	
1	YHR062C	RPP1	2.7
2	YKL172W	EBP2	2.6
3	YAL025C	MAK16	2.6
4	YLR316C	TAD3	2.6
5	YNL113W	RPC19	2.6
6	YNL151C	RPC31	2.6
7	YJL122W	ALB1	2.6
8	YGR280C	PXR1	2.6
9	YDL166C	FAP7	2.6
10	YOR078W	BUD21	2.6
11	YGR081C	SLX9	2.6
12	YKR081C	RPF2	2.6
13	YLR068W	FYV7	2.5
14	YAL059W	ECM1	2.5
15	YML080W	DUS1	2.5
16	YJR063W	RPA12	2.5
17	YBR252W	DUT1	2.5
18	YKR025W	RPC37	2.5
19	YER127W	LCP5	2.5
20	YDL208W	NHP2	2.5
21	YGR078C	PAC10	2.5
22	YOR004W	UTP23	2.5
23	YOR340C	RPA43	2.5
24	YDR412W	RRP17	2.5
25	YDR087C	RRP1	2.5
26	YNL110C	NOP15	2.5
27	YKL099C	UTP11	2.5
28	YHR144C	DCD1	2.5
29	YFR001W	LOC1	2.5
30	YOL093W	TRM10	2.5
31	YLR009W	RLP24	2.5
32	YNR054C	ESF2	2.5
33	YLR074C	BUD20	2.4
34	YGR187C	HGH1	2.4
35	YJL184W	GON7	2.4
36	YHR066W	SSF1	2.4
37	YDR121W	DPB4	2.4
38	YIL131C	FKH1	2.4
39	YGL029W	CGR1	2.4
40	YHR169W	DBP8	2.4
41	YCL054W	SPB1	2.4
42	YBR155W	CNS1	2.4
43	YJL148W	RPA34	2.4
44	YOL080C	REX4	2.4
45	YJR144W	MGM101	2.4
46	YPL211W	NIP7	2.4
47	YBR061C	TRM7	2.4
48	YOR236W	DFR1	2.4
49	YMR014W	BUD22	2.4
50	YOR252W	TMA16	2.4
51	YDR449C	UTP6	2.4
52	YPL255W	BBP1	2.4
53	YNL075W	IMP4	2.4
54	YOR294W	RRS1	2.4
55	YCR047C	BUD23	2.4
56	YBR154C	RPB5	2.4
57	YMR093W	UTP15	2.4
58	YML113W	DAT1	2.4
59	YJL125C	GCD14	2.4
60	YIL079C	AIR1	2.4
61	YLL011W	SOF1	2.4
62	YHR196W	UTP9	2.4
63	YHR148W	IMP3	2.4
64	YLR051C	FCF2	2.4
65	YKL144C	RPC25	2.4
66	YJL011C	RPC17	2.4
67	YML014W	TRM9	2.4
68	YLL022C	HIF1	2.4
69	YBR104W	YMC2	2.4
70	YJL183W	MNN11	2.4
71	YHL013C	OTU2	2.4
72	YNR024W	MPP6	2.4
73	YML093W	UTP14	2.4
74	YIL016W	SNL1	2.4
75	YKL082C	RRP14	2.4
76	YGL061C	DUO1	2.4
77	YJL208C	NUC1	2.4
78	YOR295W	UAF30	2.4
79	YNL182C	IPI3	2.4
80	YLR435W	TSR2	2.4
81	YGR158C	MTR3	2.3
82	YKL009W	MRT4	2.3
83	YOL077C	BRX1	2.3
84	YLR222C	UTP13	2.3
85	YMR269W	TMA23	2.3
86	YKL113C	RAD27	2.3
