SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: MCM22

Rank	Gene	Common	Score
Q	YJR135C	MCM22	
1	YOR319W	HSH49	2.5
2	YJR133W	XPT1	2.5
3	YJR067C	YAE1	2.5
4	YJL023C	PET130	2.5
5	YKL049C	CSE4	2.4
6	YJL179W	PFD1	2.4
7	YJL203W	PRP21	2.4
8	YDR179C	CSN9	2.4
9	YJR082C	EAF6	2.4
10	YHR156C	LIN1	2.4
11	YBR257W	POP4	2.3
12	YMR132C	JLP2	2.3
13	YJR136C	TTI2	2.3
14	YOR258W	HNT3	2.3
15	YDR183W	PLP1	2.3
16	YNL286W	CUS2	2.3
17	YJL006C	CTK2	2.3
18	YOR295W	UAF30	2.3
19	YKR022C	NTR2	2.3
20	YPR101W	SNT309	2.3
21	YMR294W	JNM1	2.3
22	YDR082W	STN1	2.3
23	YLR145W	RMP1	2.3
24	YJR032W	CPR7	2.3
25	YDR066C	RTR2	2.3
26	YGR057C	LST7	2.3
27	YJR050W	ISY1	2.3
28	YMR052W	FAR3	2.3
29	YJL140W	RPB4	2.3
30	YOR075W	UFE1	2.2
31	YOR115C	TRS33	2.2
32	YNL107W	YAF9	2.2
33	YMR077C	VPS20	2.2
34	YHR090C	YNG2	2.2
35	YGL243W	TAD1	2.2
36	YNL038W	GPI15	2.2
37	YLR010C	TEN1	2.2
38	YLR323C	CWC24	2.2
39	YMR097C	MTG1	2.2
40	YOR189W	IES4	2.2
41	YMR233W	TRI1	2.2
42	YJR134C	SGM1	2.2
43	YDR478W	SNM1	2.2
44	YJR055W	HIT1	2.2
45	YDR318W	MCM21	2.2
46	YOR244W	ESA1	2.2
47	YLR165C	PUS5	2.2
48	YJL031C	BET4	2.2
49	YDR167W	TAF10	2.2
50	YKL040C	NFU1	2.2
51	YJR099W	YUH1	2.2
52	YOR148C	SPP2	2.2
53	YDR181C	SAS4	2.2
54	YMR299C	DYN3	2.2
55	YDL002C	NHP10	2.2
56	YHR081W	LRP1	2.2
57	YMR025W	CSI1	2.2
58	YLR015W	BRE2	2.2
59	YDL107W	MSS2	2.2
60	YJR089W	BIR1	2.1
61	YLR275W	SMD2	2.1
62	YPL051W	ARL3	2.1
63	YPL233W	NSL1	2.1
64	YJL072C	PSF2	2.1
65	YNL133C	FYV6	2.1
66	YBR217W	ATG12	2.1
67	YPL138C	SPP1	2.1
68	YBR278W	DPB3	2.1
69	YMR112C	MED11	2.1
70	YDR163W	CWC15	2.1
71	YLL033W	IRC19	2.1
72	YJR068W	RFC2	2.1
73	YOL043C	NTG2	2.1
74	YMR283C	RIT1	2.1
75	YJR057W	CDC8	2.1
76	YOR279C	RFM1	2.1
77	YMR127C	SAS2	2.1
78	YPL148C	PPT2	2.1
79	YNL188W	KAR1	2.1
80	YPR046W	MCM16	2.1
81	YGR129W	SYF2	2.1
82	YBR167C	POP7	2.1
83	YGR275W	RTT102	2.1
84	YOR179C	SYC1	2.1
85	YIR005W	IST3	2.1
86	YMR138W	CIN4	2.1
87	YDL200C	MGT1	2.1
88	YHR134W	WSS1	2.1
89	YMR028W	TAP42	2.1
90	YIL004C	BET1	2.1
91	YLR298C	YHC1	2.1
92	YHR060W	VMA22	2.1
93	YML041C	VPS71	2.1
94	YDR068W	DOS2	2.1
95	YLR288C	MEC3	2.1
96	YDL065C	PEX19	2.1
97	YML011C	RAD33	2.1
98	YNR024W	MPP6	2.1
99	YER139C	RTR1	2.1
100	YGL136C	MRM2	2.1
101	YJL104W	PAM16	2.1
102	YDL069C	CBS1	2.1
103	YLR021W	IRC25	2.1
104	YDR289C	RTT103	2.1
105	YMR153W	NUP53	2.1
106	YDR308C	SRB7	2.1
107	YJL004C	SYS1	2.1
108	YJL124C	LSM1	2.1
109	YDR397C	NCB2	2.1
110	YOL149W	DCP1	2.1
111	YGL005C	COG7	2.1
112	YDR469W	SDC1	2.1
113	YPL213W	LEA1	2.1
114	YOR037W	CYC2	2.1
115	YIR009W	MSL1	2.1
116	YCR095C	OCA4	2.1
117	YKR063C	LAS1	2.1
118	YFR043C	IRC6	2.1
119	YKL208W	CBT1	2.1
120	YEL018W	EAF5	2.1
121	YLR119W	SRN2	2.1
122	YKL065C	YET1	2.1
123	YKR020W	VPS51	2.1
124	YFR001W	LOC1	2.1
125	YNL051W	COG5	2.1
126	YMR270C	RRN9	2.1
127	YFL046W	FMP32	2.1
128	YIL008W	URM1	2.0
129	YJR034W	PET191	2.0
130	YGR030C	POP6	2.0
131	YIR025W	MND2	2.0
132	YEL003W	GIM4	2.0
133	YFR046C	CNN1	2.0
134	YOR064C	YNG1	2.0
135	YBR282W	MRPL27	2.0
136	YNL164C	IBD2	2.0
137	YNR022C	MRPL50	2.0
138	YKL186C	MTR2	2.0
139	YJR101W	RSM26	2.0
140	YDR473C	PRP3	2.0
141	YLR117C	CLF1	2.0
142	YER002W	NOP16	2.0
143	YGR179C	OKP1	2.0
144	YLR102C	APC9	2.0
145	YOR078W	BUD21	2.0
146	YLR016C	PML1	2.0
147	YDR328C	SKP1	2.0
148	YPR056W	TFB4	2.0
149	YMR059W	SEN15	2.0
150	YKL089W	MIF2	2.0
151	YPL002C	SNF8	2.0
152	YGL090W	LIF1	2.0
153	YLR147C	SMD3	2.0
154	YDR532C	KRE28	2.0
155	YJL011C	RPC17	2.0
156	YDR067C	OCA6	2.0
157	YER050C	RSM18	2.0
158	YPR057W	BRR1	2.0
159	YNL215W	IES2	2.0
160	YOL146W	PSF3	2.0
161	YJR022W	LSM8	2.0
162	YGL098W	USE1	2.0
163	YPL038W	MET31	2.0
164	YMR255W	GFD1	2.0
165	YBR188C	NTC20	2.0
166	YML095C	RAD10	2.0
167	YDL115C	IWR1	2.0
168	YAL034W-A	MTW1	2.0
169	YML062C	MFT1	2.0
170	YDL108W	KIN28	2.0
171	YJL126W	NIT2	2.0
172	YJR130C	STR2	2.0
173	YJR043C	POL32	2.0
174	YKL067W	YNK1	2.0
175	YLR200W	YKE2	2.0
176	YNL032W	SIW14	2.0
