SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: DID4

Rank	Gene	Common	Score
Q	YKL002W	DID4	
1	YMR311C	GLC8	3.0
2	YKL007W	CAP1	3.0
3	YKL003C	MRP17	2.9
4	YOR036W	PEP12	2.9
5	YKR014C	YPT52	2.9
6	YLR093C	NYV1	2.9
7	YKL041W	VPS24	2.8
8	YGR167W	CLC1	2.8
9	YDR272W	GLO2	2.8
10	YBL050W	SEC17	2.8
11	YKL065C	YET1	2.8
12	YLR421C	RPN13	2.7
13	YBR111C	YSA1	2.7
14	YDR202C	RAV2	2.7
15	YJL003W	COX16	2.7
16	YOL108C	INO4	2.7
17	YNL215W	IES2	2.7
18	YEL012W	UBC8	2.6
19	YKL117W	SBA1	2.6
20	YLR025W	SNF7	2.6
21	YOR189W	IES4	2.6
22	YDL115C	IWR1	2.6
23	YMR197C	VTI1	2.6
24	YER048C	CAJ1	2.6
25	YDR486C	VPS60	2.6
26	YJL031C	BET4	2.6
27	YCL035C	GRX1	2.6
28	YNL084C	END3	2.6
29	YER050C	RSM18	2.6
30	YKR035W-A	DID2	2.6
31	YJR034W	PET191	2.6
32	YKL013C	ARC19	2.6
33	YKL160W	ELF1	2.5
34	YKL145W	RPT1	2.5
35	YLR165C	PUS5	2.5
36	YOR261C	RPN8	2.5
37	YOR089C	VPS21	2.5
38	YKL190W	CNB1	2.5
39	YFR003C	YPI1	2.5
40	YJL036W	SNX4	2.5
41	YPL096W	PNG1	2.5
42	YLR298C	YHC1	2.5
43	YKL142W	MRP8	2.5
44	YPL196W	OXR1	2.5
45	YJL140W	RPB4	2.5
46	YER030W	CHZ1	2.5
47	YKL195W	MIA40	2.5
48	YDR177W	UBC1	2.5
49	YKL012W	PRP40	2.5
50	YDR068W	DOS2	2.5
51	YOR257W	CDC31	2.5
52	YDL065C	PEX19	2.5
53	YOR357C	SNX3	2.4
54	YDR167W	TAF10	2.4
55	YAL055W	PEX22	2.4
56	YLR387C	REH1	2.4
57	YJL001W	PRE3	2.4
58	YDR328C	SKP1	2.4
59	YGL048C	RPT6	2.4
60	YBL038W	MRPL16	2.4
61	YNL265C	IST1	2.4
62	YKL094W	YJU3	2.4
63	YJR102C	VPS25	2.4
64	YOR042W	CUE5	2.4
65	YJL053W	PEP8	2.4
66	YKL049C	CSE4	2.4
67	YKL067W	YNK1	2.4
68	YFR004W	RPN11	2.4
69	YOL071W	SDH5	2.4
70	YFR049W	KGD4	2.4
71	YOL018C	TLG2	2.4
72	YDL147W	RPN5	2.4
73	YGL153W	PEX14	2.4
74	YER094C	PUP3	2.4
75	YLR170C	APS1	2.4
76	YBR035C	PDX3	2.4
77	YDR392W	SPT3	2.4
78	YJR099W	YUH1	2.4
79	YOR163W	DDP1	2.4
80	YKL208W	CBT1	2.4
81	YBR273C	UBX7	2.4
82	YLR097C	HRT3	2.4
83	YBR278W	DPB3	2.4
84	YGR186W	TFG1	2.4
85	YPL059W	GRX5	2.4
86	YMR071C	TVP18	2.4
87	YGR253C	PUP2	2.4
88	YDR041W	RSM10	2.4
89	YMR097C	MTG1	2.4
90	YDL135C	RDI1	2.4
91	YHR060W	VMA22	2.4
92	YNL081C	SWS2	2.4
93	YJR058C	APS2	2.4
94	YGR005C	TFG2	2.3
95	YBR052C	RFS1	2.3
96	YMR060C	SAM37	2.3
97	YIL062C	ARC15	2.3
98	YGR174C	CBP4	2.3
99	YKR029C	SET3	2.3
100	YPL100W	ATG21	2.3
101	YOR075W	UFE1	2.3
102	YGL191W	COX13	2.3
103	YIL098C	FMC1	2.3
104	YMR314W	PRE5	2.3
105	YJL104W	PAM16	2.3
106	YML004C	GLO1	2.3
