SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: TUL1

Rank	Gene	Common	Score
Q	YKL034W	TUL1	
1	YPL006W	NCR1	3.5
2	YKR067W	GPT2	3.3
3	YKL146W	AVT3	3.3
4	YCR011C	ADP1	3.3
5	YDR436W	PPZ2	3.2
6	YMR110C	HFD1	3.2
7	YPL203W	TPK2	3.2
8	YKL039W	PTM1	3.2
9	YPR026W	ATH1	3.2
10	YKL035W	UGP1	3.1
11	YJL164C	TPK1	3.1
12	YDR358W	GGA1	3.1
13	YKL121W	DGR2	3.1
14	YOL013C	HRD1	3.1
15	YPL123C	RNY1	3.1
16	YHR171W	ATG7	3.1
17	YCR030C	SYP1	3.1
18	YER119C	AVT6	3.1
19	YBR280C	SAF1	3.1
20	YMR119W	ASI1	3.1
21	YBR214W	SDS24	3.0
22	YPL087W	YDC1	3.0
23	YDR479C	PEX29	3.0
24	YLR258W	GSY2	3.0
25	YOR227W	HER1	3.0
26	YKL168C	KKQ8	3.0
27	YML057W	CMP2	3.0
28	YLR219W	MSC3	3.0
29	YOL082W	ATG19	3.0
30	YMR250W	GAD1	3.0
31	YGL227W	VID30	3.0
32	YOR035C	SHE4	3.0
33	YIL017C	VID28	3.0
34	YDL091C	UBX3	3.0
35	YKL065C	YET1	3.0
36	YJL155C	FBP26	3.0
37	YDR456W	NHX1	3.0
38	YAL017W	PSK1	3.0
39	YMR297W	PRC1	3.0
40	YLR270W	DCS1	2.9
41	YGL006W	PMC1	2.9
42	YJL093C	TOK1	2.9
43	YBR001C	NTH2	2.9
44	YCL040W	GLK1	2.9
45	YHR028C	DAP2	2.9
46	YPL154C	PEP4	2.9
47	YGL104C	VPS73	2.9
48	YML070W	DAK1	2.9
49	YJL042W	MHP1	2.9
50	YLR324W	PEX30	2.9
51	YJL057C	IKS1	2.9
52	YEL011W	GLC3	2.9
53	YOR245C	DGA1	2.9
54	YKL126W	YPK1	2.9
55	YHR016C	YSC84	2.9
56	YDR204W	COQ4	2.9
57	YMR170C	ALD2	2.9
58	YML100W	TSL1	2.9
59	YOR173W	DCS2	2.9
60	YGR019W	UGA1	2.9
61	YNL321W	VNX1	2.9
62	YGR194C	XKS1	2.9
63	YMR105C	PGM2	2.9
64	YKL213C	DOA1	2.9
65	YPR184W	GDB1	2.9
66	YIL107C	PFK26	2.9
67	YJL066C	MPM1	2.9
68	YLR240W	VPS34	2.9
69	YLR251W	SYM1	2.9
70	YJR044C	VPS55	2.9
71	YML029W	USA1	2.9
72	YLL015W	BPT1	2.9
73	YLR450W	HMG2	2.9
74	YMR139W	RIM11	2.9
75	YBR132C	AGP2	2.8
76	YNL183C	NPR1	2.8
77	YDR059C	UBC5	2.8
78	YJL141C	YAK1	2.8
79	YLL040C	VPS13	2.8
80	YPL206C	PGC1	2.8
81	YHR104W	GRE3	2.8
82	YKL064W	MNR2	2.8
83	YMR053C	STB2	2.8
84	YDR284C	DPP1	2.8
85	YJR126C	VPS70	2.8
86	YNL237W	YTP1	2.8
87	YNL159C	ASI2	2.8
88	YLL019C	KNS1	2.8
89	YMR304W	UBP15	2.8
90	YJR036C	HUL4	2.8
91	YIL036W	CST6	2.8
92	YDR122W	KIN1	2.8
93	YDL169C	UGX2	2.8
94	YMR261C	TPS3	2.8
95	YDR003W	RCR2	2.8
96	YLR178C	TFS1	2.8
97	YBR230C	OM14	2.8
98	YMR092C	AIP1	2.8
99	YKL140W	TGL1	2.8
100	YLR080W	EMP46	2.8
101	YDL110C	TMA17	2.8
102	YIL033C	BCY1	2.8
103	YKR076W	ECM4	2.8
104	YCR069W	CPR4	2.8
105	YCR079W	PTC6	2.8
106	YLR207W	HRD3	2.8
107	YKR066C	CCP1	2.8
108	YCL039W	GID7	2.8
109	YJR059W	PTK2	2.8
110	YIL088C	AVT7	2.8
111	YGR141W	VPS62	2.8
112	YKL010C	UFD4	2.8
113	YLL001W	DNM1	2.8
114	YGL208W	SIP2	2.8
115	YHR161C	YAP1801	2.8
