SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: AIM26

Rank	Gene	Common	Score
Q	YKL037W	AIM26	
1	YNL230C	ELA1	2.2
2	YDR204W	COQ4	2.1
3	YLR234W	TOP3	2.1
4	YNL241C	ZWF1	2.1
5	YMR085W	YMR085W	2.1
6	YBR209W	YBR209W	2.1
7	YHL042W	YHL042W	2.1
8	YAL042C-A	YAL042C-A	2.0
9	YOR318C	YOR318C	2.0
10	YKR104W	YKR104W	2.0
11	YLL059C	YLL059C	1.9
12	YNL128W	TEP1	1.9
13	YOR347C	PYK2	1.9
14	YMR154C	RIM13	1.9
15	YKL198C	PTK1	1.8
16	YOR186W	YOR186W	1.8
17	YNL318C	HXT14	1.8
18	YOR377W	ATF1	1.8
19	YKL221W	MCH2	1.8
20	YLR374C	YLR374C	1.8
21	YNL033W	YNL033W	1.8
22	YOR072W	YOR072W	1.8
23	YLR213C	CRR1	1.8
24	YDL220C	CDC13	1.8
25	YFL053W	DAK2	1.8
26	YPR003C	YPR003C	1.8
27	YNL072W	RNH201	1.7
28	YDR535C	YDR535C	1.7
29	YKL131W	YKL131W	1.7
30	YOR268C	YOR268C	1.5
31	YJR019C	TES1	1.4
32	YMR084W	YMR084W	1.4
33	YMR251W	GTO3	1.4
34	YBR214W	SDS24	1.3
35	YIR036C	IRC24	1.3
36	YPL054W	LEE1	1.3
37	YLR081W	GAL2	1.3
38	YNL223W	ATG4	1.3
39	YJR021C	REC107	1.3
40	YOR100C	CRC1	1.3
41	YNL305C	BXI1	1.3
42	YOR386W	PHR1	1.3
43	YIL099W	SGA1	1.3
44	YPL123C	RNY1	1.3
45	YKL035W	UGP1	1.3
46	YLR408C	BLS1	1.3
47	YIL007C	NAS2	1.3
48	YBR280C	SAF1	1.3
49	YJL027C	YJL027C	1.3
50	YIL101C	XBP1	1.3
51	YER039C	HVG1	1.3
52	YIL154C	IMP21	1.3
53	YDR106W	ARP10	1.3
54	YLR164W	SHH4	1.3
55	YAL028W	FRT2	1.3
56	YMR323W	ERR3	1.3
57	YJR008W	MHO1	1.3
58	YCR010C	ADY2	1.3
59	YOR068C	VAM10	1.3
60	YOL047C	LDS2	1.3
61	YHR126C	ANS1	1.3
62	YCL042W	YCL042W	1.3
63	YDL123W	SNA4	1.2
64	YPR151C	SUE1	1.2
65	YGL259W	YPS5	1.2
66	YLR356W	ATG33	1.2
67	YNR002C	ATO2	1.2
68	YGR110W	CLD1	1.2
69	YNL117W	MLS1	1.2
70	YJR094C	IME1	1.2
71	YGL126W	SCS3	1.2
72	YJL163C	YJL163C	1.2
73	YCR091W	KIN82	1.2
74	YFL003C	MSH4	1.2
75	YHR194W	MDM31	1.2
76	YCR079W	PTC6	1.2
77	YMR139W	RIM11	1.2
78	YDL222C	FMP45	1.2
79	YIR013C	GAT4	1.2
80	YNL279W	PRM1	1.2
81	YKR011C	FPT1	1.2
82	YDR255C	RMD5	1.2
