SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: TEF4

Rank	Gene	Common	Score
Q	YKL081W	TEF4	
1	YLL045C	RPL8B	4.5
2	YMR217W	GUA1	4.4
3	YGR214W	RPS0A	4.4
4	YLR448W	RPL6B	4.4
5	YML073C	RPL6A	4.4
6	YHR019C	DED81	4.4
7	YDL082W	RPL13A	4.4
8	YLR048W	RPS0B	4.3
9	YML056C	IMD4	4.3
10	YLR293C	GSP1	4.3
11	YMR116C	ASC1	4.3
12	YJL177W	RPL17B	4.3
13	YNL096C	RPS7B	4.3
14	YBR189W	RPS9B	4.3
15	YDL014W	NOP1	4.3
16	YMR142C	RPL13B	4.3
17	YOL097C	WRS1	4.3
18	YNL069C	RPL16B	4.3
19	YBR048W	RPS11B	4.3
20	YLR060W	FRS1	4.2
21	YLR432W	IMD3	4.2
22	YLR061W	RPL22A	4.2
23	YEL054C	RPL12A	4.2
24	YLR197W	NOP56	4.2
25	YBR121C	GRS1	4.2
26	YOL120C	RPL18A	4.2
27	YGR285C	ZUO1	4.2
28	YLR249W	YEF3	4.2
29	YLR340W	RPP0	4.1
30	YJL080C	SCP160	4.1
31	YHR064C	SSZ1	4.1
32	YHR068W	DYS1	4.1
33	YOR361C	PRT1	4.1
34	YOR310C	NOP58	4.1
35	YDR418W	RPL12B	4.1
36	YDR023W	SES1	4.1
37	YDL083C	RPS16B	4.1
38	YOR063W	RPL3	4.1
39	YHR128W	FUR1	4.1
40	YBL087C	RPL23A	4.1
41	YLR150W	STM1	4.1
42	YKL180W	RPL17A	4.1
43	YJL190C	RPS22A	4.0
44	YKL006W	RPL14A	4.0
45	YLR372W	ELO3	4.0
46	YIL133C	RPL16A	4.0
47	YGL076C	RPL7A	4.0
48	YDR025W	RPS11A	4.0
49	YGL147C	RPL9A	4.0
50	YHL033C	RPL8A	4.0
51	YFR031C-A	RPL2A	4.0
52	YIL018W	RPL2B	4.0
53	YPL131W	RPL5	4.0
54	YER131W	RPS26B	4.0
55	YOL040C	RPS15	4.0
56	YDR321W	ASP1	4.0
57	YER043C	SAH1	4.0
58	YNL209W	SSB2	3.9
59	YBR191W	RPL21A	3.9
60	YML063W	RPS1B	3.9
61	YOL039W	RPP2A	3.9
62	YLR344W	RPL26A	3.9
63	YLR441C	RPS1A	3.9
64	YNL301C	RPL18B	3.9
65	YMR146C	TIF34	3.9
66	YGL123W	RPS2	3.9
67	YJR123W	RPS5	3.9
68	YPL079W	RPL21B	3.9
69	YPL143W	RPL33A	3.9
70	YPR074C	TKL1	3.9
71	YMR290C	HAS1	3.9
72	YPR163C	TIF3	3.9
73	YDR064W	RPS13	3.9
74	YLR175W	CBF5	3.9
75	YMR242C	RPL20A	3.9
76	YLR185W	RPL37A	3.9
77	YBL027W	RPL19B	3.8
78	YBL072C	RPS8A	3.8
79	YML106W	URA5	3.8
80	YNL302C	RPS19B	3.8
81	YML026C	RPS18B	3.8
82	YDR012W	RPL4B	3.8
83	YLR264W	RPS28B	3.8
84	YOR096W	RPS7A	3.8
85	YER025W	GCD11	3.8
86	YDL130W	RPP1B	3.8
87	YLR388W	RPS29A	3.8
88	YOR234C	RPL33B	3.8
89	YGR185C	TYS1	3.8
90	YER074W	RPS24A	3.8
91	YKL056C	TMA19	3.8
92	YER102W	RPS8B	3.8
93	YJR145C	RPS4A	3.8
94	YJL138C	TIF2	3.8
95	YJR070C	LIA1	3.8
96	YGL031C	RPL24A	3.8
97	YHR025W	THR1	3.8
98	YPR033C	HTS1	3.8
99	YPR041W	TIF5	3.7
100	YLR029C	RPL15A	3.7
101	YDR471W	RPL27B	3.7
102	YOL127W	RPL25	3.7
103	YPL160W	CDC60	3.7
104	YPR110C	RPC40	3.7
105	YMR143W	RPS16A	3.7
106	YFL022C	FRS2	3.7
107	YBR084W	MIS1	3.7
108	YHR089C	GAR1	3.7
109	YML024W	RPS17A	3.7
110	YLR325C	RPL38	3.7
111	YCR031C	RPS14A	3.7
112	YER117W	RPL23B	3.7
113	YGR148C	RPL24B	3.7
114	YGR034W	RPL26B	3.7
115	YNL178W	RPS3	3.7
116	YLR333C	RPS25B	3.7
117	YOR293W	RPS10A	3.7
118	YPR010C	RPA135	3.7
119	YKR057W	RPS21A	3.7
120	YGR162W	TIF4631	3.7
121	YLR083C	EMP70	3.7
122	YDR382W	RPP2B	3.7
123	YHL001W	RPL14B	3.7
124	YBL039C	URA7	3.7
125	YIL069C	RPS24B	3.7
126	YOR312C	RPL20B	3.7
127	YJL136C	RPS21B	3.7
128	YLR367W	RPS22B	3.7
129	YLR449W	FPR4	3.7
130	YBL092W	RPL32	3.7
131	YJR143C	PMT4	3.7
132	YDR091C	RLI1	3.7
133	YER165W	PAB1	3.7
134	YDL081C	RPP1A	3.7
135	YNL067W	RPL9B	3.7
136	YIL078W	THS1	3.6
137	YBL076C	ILS1	3.6
138	YPR102C	RPL11A	3.6
139	YBR249C	ARO4	3.6
140	YHR010W	RPL27A	3.6
141	YAL003W	EFB1	3.6
142	YDR037W	KRS1	3.6
143	YCR053W	THR4	3.6
144	YNL248C	RPA49	3.6
145	YIL052C	RPL34B	3.6
146	YBL024W	NCL1	3.6
147	YOR224C	RPB8	3.6
148	YDR450W	RPS18A	3.6
149	YGR264C	MES1	3.6
150	YEL026W	SNU13	3.6
151	YMR131C	RRB1	3.6
