SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: YKL091C

Rank	Gene	Common	Score
Q	YKL091C	YKL091C	
1	YLR321C	SFH1	4.0
2	YOR173W	DCS2	3.9
3	YML128C	MSC1	3.9
4	YLR178C	TFS1	3.8
5	YGR248W	SOL4	3.8
6	YMR250W	GAD1	3.8
7	YDR074W	TPS2	3.8
8	YMR105C	PGM2	3.8
9	YGR008C	STF2	3.8
10	YMR110C	HFD1	3.8
11	YLR270W	DCS1	3.7
12	YLR251W	SYM1	3.7
13	YHR104W	GRE3	3.7
14	YIL136W	OM45	3.7
15	YBR126C	TPS1	3.7
16	YJL164C	TPK1	3.7
17	YEL011W	GLC3	3.7
18	YHL021C	AIM17	3.7
19	YGL037C	PNC1	3.7
20	YDR358W	GGA1	3.7
21	YLR258W	GSY2	3.6
22	YDL110C	TMA17	3.6
23	YNL274C	GOR1	3.6
24	YPL004C	LSP1	3.6
25	YCL040W	GLK1	3.6
26	YKL150W	MCR1	3.6
27	YHR087W	RTC3	3.6
28	YOR120W	GCY1	3.6
29	YPL123C	RNY1	3.5
30	YJL161W	FMP33	3.5
31	YML100W	TSL1	3.5
32	YPL203W	TPK2	3.5
33	YDL204W	RTN2	3.5
34	YML004C	GLO1	3.5
35	YKL142W	MRP8	3.5
36	YER053C	PIC2	3.4
37	YJL066C	MPM1	3.4
38	YDR513W	GRX2	3.4
39	YKL065C	YET1	3.4
40	YPL186C	UIP4	3.4
41	YBR169C	SSE2	3.4
42	YBL064C	PRX1	3.4
43	YBR230C	OM14	3.4
44	YDR001C	NTH1	3.4
45	YPL230W	USV1	3.4
46	YKL035W	UGP1	3.3
47	YBR214W	SDS24	3.3
48	YLL026W	HSP104	3.3
49	YDR171W	HSP42	3.3
50	YEL012W	UBC8	3.3
51	YHR016C	YSC84	3.3
52	YOL082W	ATG19	3.3
53	YKL067W	YNK1	3.3
54	YDR070C	FMP16	3.3
55	YKL093W	MBR1	3.3
56	YPL087W	YDC1	3.3
57	YAL061W	BDH2	3.3
58	YKL103C	APE1	3.3
59	YGR019W	UGA1	3.3
60	YKR076W	ECM4	3.3
61	YKL193C	SDS22	3.2
62	YBR052C	RFS1	3.2
63	YKR049C	FMP46	3.2
64	YGR088W	CTT1	3.2
65	YMR139W	RIM11	3.2
66	YGR194C	XKS1	3.2
67	YMR169C	ALD3	3.2
68	YBL078C	ATG8	3.2
69	YIL124W	AYR1	3.2
70	YBR149W	ARA1	3.2
71	YKL026C	GPX1	3.2
72	YFR053C	HXK1	3.2
73	YJL155C	FBP26	3.2
74	YBR269C	SDH8	3.2
75	YAL060W	BDH1	3.2
76	YDR204W	COQ4	3.2
77	YOR220W	RCN2	3.1
78	YCL035C	GRX1	3.1
79	YJL141C	YAK1	3.1
80	YKR058W	GLG1	3.1
81	YOR374W	ALD4	3.1
82	YPR026W	ATH1	3.1
83	YBR280C	SAF1	3.1
84	YPR184W	GDB1	3.1
85	YDR516C	EMI2	3.1
86	YPL196W	OXR1	3.1
87	YJL057C	IKS1	3.1
88	YOL032W	OPI10	3.1
89	YBR026C	ETR1	3.1
90	YDL072C	YET3	3.1
91	YBR183W	YPC1	3.1
92	YDL021W	GPM2	3.1
93	YKR067W	GPT2	3.1
94	YLR327C	TMA10	3.1
95	YER150W	SPI1	3.1
96	YDR003W	RCR2	3.1
97	YDR258C	HSP78	3.0
98	YER054C	GIP2	3.0
99	YIL107C	PFK26	3.0
100	YDL169C	UGX2	3.0
101	YIL155C	GUT2	3.0
102	YOL084W	PHM7	3.0
103	YDL022W	GPD1	3.0
