SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: GFA1

Rank	Gene	Common	Score
Q	YKL104C	GFA1	
1	YBR023C	CHS3	3.2
2	YGR189C	CRH1	3.0
3	YPR159W	KRE6	3.0
4	YIL109C	SEC24	3.0
5	YJL159W	HSP150	2.9
6	YNL192W	CHS1	2.8
7	YHR030C	SLT2	2.8
8	YEL058W	PCM1	2.8
9	YKR091W	SRL3	2.8
10	YIL117C	PRM5	2.8
11	YOL030W	GAS5	2.8
12	YHR142W	CHS7	2.8
13	YMR238W	DFG5	2.7
14	YLR120C	YPS1	2.7
15	YKL163W	PIR3	2.7
16	YKR013W	PRY2	2.7
17	YMR200W	ROT1	2.7
18	YAL023C	PMT2	2.6
19	YKL039W	PTM1	2.6
20	YDR293C	SSD1	2.6
21	YKR001C	VPS1	2.6
22	YJL082W	IML2	2.6
23	YKL157W	APE2	2.6
24	YKL127W	PGM1	2.6
25	YAL053W	FLC2	2.6
26	YOR014W	RTS1	2.6
27	YNL294C	RIM21	2.6
28	YDR077W	SED1	2.6
29	YOR208W	PTP2	2.6
30	YIL123W	SIM1	2.6
31	YPL110C	GDE1	2.6
32	YLR332W	MID2	2.6
33	YLR300W	EXG1	2.6
34	YNL085W	MKT1	2.6
35	YGR032W	GSC2	2.6
36	YEL060C	PRB1	2.5
37	YML117W	NAB6	2.5
38	YCL057W	PRD1	2.5
39	YJL034W	KAR2	2.5
40	YGR097W	ASK10	2.5
41	YEL013W	VAC8	2.5
42	YPL179W	PPQ1	2.5
43	YML016C	PPZ1	2.5
44	YPR181C	SEC23	2.5
45	YJR065C	ARP3	2.5
46	YFL037W	TUB2	2.5
47	YML057W	CMP2	2.5
48	YHR209W	CRG1	2.5
49	YOR127W	RGA1	2.5
50	YKR061W	KTR2	2.5
51	YLR378C	SEC61	2.5
52	YKL184W	SPE1	2.5
53	YKL189W	HYM1	2.5
54	YDR085C	AFR1	2.5
55	YLR342W	FKS1	2.5
56	YMR054W	STV1	2.5
57	YKL126W	YPK1	2.5
58	YLR121C	YPS3	2.5
59	YCL043C	PDI1	2.5
60	YGR092W	DBF2	2.4
61	YDR309C	GIC2	2.4
