SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SEG2

Rank	Gene	Common	Score
Q	YKL105C	SEG2	
1	YKL129C	MYO3	2.1
2	YMR086W	SEG1	1.8
3	YBR059C	AKL1	1.7
4	YJL042W	MHP1	1.7
5	YJR033C	RAV1	1.7
6	YJR059W	PTK2	1.6
7	YOL087C	DUF1	1.6
8	YGR270W	YTA7	1.6
9	YOR227W	HER1	1.6
10	YGL227W	VID30	1.6
11	YMR304W	UBP15	1.6
12	YDR122W	KIN1	1.6
13	YAL017W	PSK1	1.6
14	YKR096W	ESL2	1.6
15	YKL038W	RGT1	1.6
16	YOR086C	TCB1	1.6
17	YDL149W	ATG9	1.6
18	YLR219W	MSC3	1.6
19	YNL242W	ATG2	1.5
20	YKL121W	DGR2	1.5
21	YLR371W	ROM2	1.5
22	YJR091C	JSN1	1.5
23	YER033C	ZRG8	1.5
24	YOR329C	SCD5	1.5
25	YKL193C	SDS22	1.5
26	YJL005W	CYR1	1.5
27	YJR090C	GRR1	1.5
28	YLL040C	VPS13	1.5
29	YFR016C	AIP5	1.5
30	YDL019C	OSH2	1.5
31	YMR124W	EPO1	1.5
32	YPL249C	GYP5	1.5
33	YBL047C	EDE1	1.5
34	YDL223C	HBT1	1.5
35	YOL060C	MAM3	1.5
36	YKL010C	UFD4	1.5
37	YPR115W	RGC1	1.5
38	YCR030C	SYP1	1.5
39	YDR028C	REG1	1.5
40	YDR293C	SSD1	1.5
41	YMR261C	TPS3	1.5
42	YML100W	TSL1	1.5
43	YCL039W	GID7	1.5
44	YNL243W	SLA2	1.5
45	YLR206W	ENT2	1.5
46	YHR082C	KSP1	1.5
47	YPL084W	BRO1	1.5
48	YKR067W	GPT2	1.5
49	YOR275C	RIM20	1.5
50	YGR237C	YGR237C	1.5
51	YIR003W	AIM21	1.5
52	YBL007C	SLA1	1.5
53	YOR267C	HRK1	1.5
54	YHR080C	LAM4	1.5
55	YIL036W	CST6	1.4
56	YDR379W	RGA2	1.4
57	YKL101W	HSL1	1.4
58	YLR454W	FMP27	1.4
59	YOR113W	AZF1	1.4
60	YPR026W	ATH1	1.4
61	YOL138C	RTC1	1.4
62	YFL033C	RIM15	1.4
63	YDR150W	NUM1	1.4
64	YMR109W	MYO5	1.4
65	YGL093W	SPC105	1.4
66	YNR047W	FPK1	1.4
67	YLR248W	RCK2	1.4
68	YOR124C	UBP2	1.4
69	YPR184W	GDB1	1.4
70	YJR125C	ENT3	1.4
71	YBR169C	SSE2	1.4
72	YBR280C	SAF1	1.4
73	YKL103C	APE1	1.4
74	YPL123C	RNY1	1.4
75	YBR108W	AIM3	1.4
76	YLR382C	NAM2	1.4
77	YOL082W	ATG19	1.4
78	YKL195W	MIA40	1.4
79	YGR130C	YGR130C	1.4
80	YLR135W	SLX4	1.4
81	YLR039C	RIC1	1.4
82	YDR170C	SEC7	1.4
83	YJR035W	RAD26	1.4
84	YNL297C	MON2	1.4
85	YBL101C	ECM21	1.4
86	YLR270W	DCS1	1.4
87	YMR196W	YMR196W	1.4
88	YDR466W	PKH3	1.4
89	YKL034W	TUL1	1.4
90	YGR194C	XKS1	1.4
91	YJR036C	HUL4	1.4
92	YMR160W	CVM1	1.4
93	YHR016C	YSC84	1.4
94	YKL188C	PXA2	1.4
95	YMR250W	GAD1	1.4
96	YMR302C	YME2	1.4
97	YCR088W	ABP1	1.4
98	YGR184C	UBR1	1.4
99	YMR219W	ESC1	1.4
100	YKL054C	DEF1	1.4
101	YJL057C	IKS1	1.4
102	YMR089C	YTA12	1.4
103	YML117W	NAB6	1.4
104	YMR273C	ZDS1	1.4
105	YLR345W	YLR345W	1.4
106	YDR358W	GGA1	1.4
107	YPR185W	ATG13	1.4
108	YDR251W	PAM1	1.4
109	YMR164C	MSS11	1.4
110	YBR001C	NTH2	1.4
111	YML020W	YML020W	1.4
112	YJR151C	DAN4	1.4
113	YDR027C	VPS54	1.4
114	YJL070C	YJL070C	1.4
115	YLR337C	VRP1	1.4
116	YMR140W	SIP5	1.4
117	YOR304W	ISW2	1.4
118	YBR126C	TPS1	1.4
119	YKL215C	OXP1	1.4
120	YLR080W	EMP46	1.4
121	YOL036W	YOL036W	1.4
122	YLR425W	TUS1	1.4
123	YJL020C	BBC1	1.4
124	YMR190C	SGS1	1.4
125	YGL141W	HUL5	1.4
126	YGL156W	AMS1	1.4
127	YBR214W	SDS24	1.4
128	YNL271C	BNI1	1.4
