SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: PGM1

Rank	Gene	Common	Score
Q	YKL127W	PGM1	
1	YJR143C	PMT4	3.2
2	YMR215W	GAS3	3.1
3	YJL080C	SCP160	3.1
4	YER003C	PMI40	3.0
5	YFL037W	TUB2	3.0
6	YKL080W	VMA5	3.0
7	YML124C	TUB3	3.0
8	YJL002C	OST1	2.9
9	YKL081W	TEF4	2.9
10	YOL097C	WRS1	2.9
11	YAL023C	PMT2	2.9
12	YLR060W	FRS1	2.9
13	YOR247W	SRL1	2.9
14	YGL253W	HXK2	2.8
15	YDR144C	MKC7	2.8
16	YHR108W	GGA2	2.8
17	YBR205W	KTR3	2.8
18	YNL283C	WSC2	2.8
19	YLR153C	ACS2	2.8
20	YDL040C	NAT1	2.8
21	YEL040W	UTR2	2.8
22	YDL095W	PMT1	2.8
23	YJL145W	SFH5	2.8
24	YLR212C	TUB4	2.8
25	YIL123W	SIM1	2.8
26	YML126C	ERG13	2.8
27	YKL126W	YPK1	2.7
28	YER043C	SAH1	2.7
29	YAL007C	ERP2	2.7
30	YGL097W	SRM1	2.7
31	YKL128C	PMU1	2.7
32	YNR043W	MVD1	2.7
33	YHR019C	DED81	2.7
34	YBR162C	TOS1	2.7
35	YBR243C	ALG7	2.7
36	YER023W	PRO3	2.7
37	YLR183C	TOS4	2.7
38	YGL022W	STT3	2.7
39	YLR083C	EMP70	2.7
40	YGR124W	ASN2	2.7
41	YML085C	TUB1	2.7
42	YPR118W	MRI1	2.7
43	YDL226C	GCS1	2.7
44	YHR068W	DYS1	2.7
45	YOR239W	ABP140	2.7
46	YDR023W	SES1	2.7
47	YDR321W	ASP1	2.7
48	YHR064C	SSZ1	2.6
49	YBR187W	GDT1	2.6
50	YDL084W	SUB2	2.6
51	YGR264C	MES1	2.6
52	YLL018C	DPS1	2.6
53	YGL202W	ARO8	2.6
54	YLR180W	SAM1	2.6
55	YHR183W	GND1	2.6
56	YGR285C	ZUO1	2.6
57	YPL160W	CDC60	2.6
58	YPL246C	RBD2	2.6
59	YOR323C	PRO2	2.6
60	YFR051C	RET2	2.6
61	YBL032W	HEK2	2.6
62	YNL066W	SUN4	2.6
63	YBL076C	ILS1	2.6
64	YPR033C	HTS1	2.6
65	YBR121C	GRS1	2.6
66	YKR013W	PRY2	2.6
67	YJR105W	ADO1	2.6
68	YEL042W	GDA1	2.6
69	YKL104C	GFA1	2.6
70	YGL245W	GUS1	2.6
71	YDR518W	EUG1	2.6
72	YPL163C	SVS1	2.6
73	YGR094W	VAS1	2.6
74	YOR085W	OST3	2.6
75	YNR030W	ALG12	2.6
76	YOL049W	GSH2	2.6
77	YHR123W	EPT1	2.6
78	YMR305C	SCW10	2.6
79	YOR361C	PRT1	2.6
80	YOR301W	RAX1	2.6
81	YOR335C	ALA1	2.6
82	YHR025W	THR1	2.6
83	YJL167W	ERG20	2.6
84	YKL212W	SAC1	2.6
85	YGL001C	ERG26	2.6
86	YLR372W	ELO3	2.6
87	YLR185W	RPL37A	2.6
88	YGR185C	TYS1	2.6
89	YNR050C	LYS9	2.6
90	YIL109C	SEC24	2.5
91	YDR091C	RLI1	2.5
92	YGL027C	CWH41	2.5
93	YML008C	ERG6	2.5
94	YFL045C	SEC53	2.5
95	YMR307W	GAS1	2.5
96	YCR053W	THR4	2.5
97	YDL145C	COP1	2.5
98	YMR149W	SWP1	2.5
99	YBR234C	ARC40	2.5
100	YKR026C	GCN3	2.5
101	YJR069C	HAM1	2.5
102	YFL022C	FRS2	2.5
103	YFR009W	GCN20	2.5
104	YGL148W	ARO2	2.5
105	YHR013C	ARD1	2.5
106	YPR074C	TKL1	2.5
107	YMR079W	SEC14	2.5
108	YMR217W	GUA1	2.5
109	YLR209C	PNP1	2.5
110	YER118C	SHO1	2.5
111	YHR133C	NSG1	2.5
112	YLR378C	SEC61	2.5
113	YOR198C	BFR1	2.5
114	YHR163W	SOL3	2.5
115	YOR209C	NPT1	2.5
116	YBR189W	RPS9B	2.5
117	YBR078W	ECM33	2.5
118	YNL138W	SRV2	2.5
119	YPL028W	ERG10	2.5
120	YHR098C	SFB3	2.5
121	YLR432W	IMD3	2.5
122	YLR293C	GSP1	2.5
123	YCR034W	ELO2	2.5
124	YJL183W	MNN11	2.5
125	YGR214W	RPS0A	2.5
126	YMR318C	ADH6	2.5
127	YLR448W	RPL6B	2.5
128	YDR454C	GUK1	2.5
129	YNL246W	VPS75	2.5
130	YDR212W	TCP1	2.5
131	YJL158C	CIS3	2.5
132	YGL026C	TRP5	2.5
133	YGL225W	VRG4	2.5
134	YER086W	ILV1	2.5
135	YIL078W	THS1	2.5
136	YKL165C	MCD4	2.5
137	YBR263W	SHM1	2.5
138	YNL307C	MCK1	2.5
139	YLR359W	ADE13	2.5
140	YMR237W	BCH1	2.5
141	YPR069C	SPE3	2.5
142	YDR502C	SAM2	2.5
143	YJL121C	RPE1	2.5
144	YBR127C	VMA2	2.5
145	YEL002C	WBP1	2.5
146	YNL287W	SEC21	2.4
147	YML019W	OST6	2.4
148	YLR027C	AAT2	2.4
149	YIL039W	TED1	2.4
150	YMR241W	YHM2	2.4
