SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RPL17A

Rank	Gene	Common	Score
Q	YKL180W	RPL17A	
1	YJL177W	RPL17B	6.3
2	YML073C	RPL6A	5.7
3	YLR448W	RPL6B	5.7
4	YMR142C	RPL13B	5.7
5	YMR242C	RPL20A	5.7
6	YDR418W	RPL12B	5.7
7	YKL006W	RPL14A	5.6
8	YEL054C	RPL12A	5.6
9	YOL040C	RPS15	5.6
10	YBR189W	RPS9B	5.5
11	YLL045C	RPL8B	5.5
12	YDL082W	RPL13A	5.5
13	YBR191W	RPL21A	5.5
14	YDL083C	RPS16B	5.5
15	YLR048W	RPS0B	5.4
16	YPL143W	RPL33A	5.4
17	YGL031C	RPL24A	5.4
18	YOL120C	RPL18A	5.4
19	YGR214W	RPS0A	5.4
20	YLR061W	RPL22A	5.4
21	YLR441C	RPS1A	5.4
22	YJL190C	RPS22A	5.4
23	YBL027W	RPL19B	5.4
24	YOR096W	RPS7A	5.4
25	YBL092W	RPL32	5.3
26	YER131W	RPS26B	5.3
27	YNL069C	RPL16B	5.3
28	YPL079W	RPL21B	5.3
29	YML063W	RPS1B	5.3
30	YJR123W	RPS5	5.3
31	YML024W	RPS17A	5.3
32	YIL133C	RPL16A	5.3
33	YBL072C	RPS8A	5.3
34	YML026C	RPS18B	5.3
35	YER074W	RPS24A	5.2
36	YNL178W	RPS3	5.2
37	YOL127W	RPL25	5.2
38	YOR293W	RPS10A	5.2
39	YNL302C	RPS19B	5.2
40	YLR344W	RPL26A	5.2
41	YJR145C	RPS4A	5.2
42	YLR185W	RPL37A	5.2
43	YKR094C	RPL40B	5.1
44	YOR312C	RPL20B	5.1
45	YDR064W	RPS13	5.1
46	YLR388W	RPS29A	5.1
47	YGL189C	RPS26A	5.1
48	YHR010W	RPL27A	5.1
49	YDR471W	RPL27B	5.1
50	YJL136C	RPS21B	5.0
51	YPR102C	RPL11A	5.0
52	YFR031C-A	RPL2A	5.0
53	YBR048W	RPS11B	5.0
54	YPL131W	RPL5	5.0
55	YDL075W	RPL31A	5.0
56	YGR148C	RPL24B	5.0
57	YMR143W	RPS16A	5.0
58	YIL069C	RPS24B	5.0
59	YBL087C	RPL23A	5.0
60	YER102W	RPS8B	5.0
61	YDL130W	RPP1B	5.0
62	YLR150W	STM1	5.0
63	YHL033C	RPL8A	5.0
64	YIL018W	RPL2B	5.0
65	YGL103W	RPL28	5.0
66	YIL052C	RPL34B	5.0
67	YDR025W	RPS11A	5.0
68	YDL061C	RPS29B	4.9
69	YGL123W	RPS2	4.9
70	YPR043W	RPL43A	4.9
71	YER056C-A	RPL34A	4.9
72	YDR450W	RPS18A	4.9
73	YKR057W	RPS21A	4.9
74	YHL001W	RPL14B	4.9
75	YOR234C	RPL33B	4.9
76	YGR085C	RPL11B	4.9
77	YGL147C	RPL9A	4.9
78	YGR118W	RPS23A	4.8
79	YNL096C	RPS7B	4.8
80	YMR230W	RPS10B	4.8
81	YLR333C	RPS25B	4.8
82	YLR325C	RPL38	4.8
83	YHR021C	RPS27B	4.8
84	YER117W	RPL23B	4.8
85	YGL030W	RPL30	4.8
86	YGR027C	RPS25A	4.8
87	YGR034W	RPL26B	4.7
88	YPL090C	RPS6A	4.7
89	YMR116C	ASC1	4.7
90	YPR132W	RPS23B	4.7
91	YHL015W	RPS20	4.7
92	YIL148W	RPL40A	4.7
93	YNL162W	RPL42A	4.7
94	YBR084C-A	RPL19A	4.7
95	YHR203C	RPS4B	4.7
96	YNL067W	RPL9B	4.7
97	YOR369C	RPS12	4.7
98	YLR029C	RPL15A	4.7
99	YDR500C	RPL37B	4.7
100	YCR031C	RPS14A	4.6
101	YNL301C	RPL18B	4.6
102	YLR340W	RPP0	4.6
103	YGL076C	RPL7A	4.6
104	YDR382W	RPP2B	4.6
105	YLR167W	RPS31	4.6
106	YOL039W	RPP2A	4.6
107	YMR194W	RPL36A	4.6
108	YLR075W	RPL10	4.5
109	YJL189W	RPL39	4.5
110	YDL191W	RPL35A	4.5
111	YDR447C	RPS17B	4.5
112	YOR063W	RPL3	4.5
113	YBR181C	RPS6B	4.5
114	YLR264W	RPS28B	4.5
115	YDL081C	RPP1A	4.4
116	YOR167C	RPS28A	4.4
117	YPL220W	RPL1A	4.4
118	YOL121C	RPS19A	4.4
119	YLR406C	RPL31B	4.4
120	YLR367W	RPS22B	4.4
121	YJR094W-A	RPL43B	4.4
122	YGL135W	RPL1B	4.3
123	YHR141C	RPL42B	4.3
124	YNL209W	SSB2	4.3
125	YPL198W	RPL7B	4.2
126	YJL191W	RPS14B	4.2
127	YDR012W	RPL4B	4.1
128	YKL156W	RPS27A	4.1
129	YPL081W	RPS9A	4.1
130	YDL136W	RPL35B	4.1
131	YKL081W	TEF4	4.1
132	YPL249C-A	RPL36B	4.1
133	YPL037C	EGD1	4.0
134	YAL003W	EFB1	4.0
135	YKL056C	TMA19	4.0
136	YFR032C-A	RPL29	4.0
137	YBR031W	RPL4A	3.9
138	YLR249W	YEF3	3.9
139	YHR193C	EGD2	3.9
140	YOR182C	RPS30B	3.9
141	YML106W	URA5	3.9
142	YJL138C	TIF2	3.8
143	YEL026W	SNU13	3.8
144	YDR454C	GUK1	3.8
145	YLR197W	NOP56	3.8
146	YMR217W	GUA1	3.7
147	YOL139C	CDC33	3.7
148	YMR260C	TIF11	3.7
149	YLR293C	GSP1	3.7
150	YDR023W	SES1	3.7
151	YOR276W	CAF20	3.7
152	YBR121C	GRS1	3.7
153	YHR019C	DED81	3.7
154	YKL181W	PRS1	3.7
155	YML022W	APT1	3.6
156	YOR224C	RPB8	3.6
157	YNL255C	GIS2	3.6
158	YLR432W	IMD3	3.6
159	YLR372W	ELO3	3.5
160	YGR285C	ZUO1	3.5
161	YBR249C	ARO4	3.5
162	YLR175W	CBF5	3.5
163	YOL097C	WRS1	3.5
164	YOR310C	NOP58	3.5
165	YPR163C	TIF3	3.5
166	YHR089C	GAR1	3.5
167	YDL229W	SSB1	3.5
168	YBL039C	URA7	3.4
169	YOL077C	BRX1	3.4
170	YMR121C	RPL15B	3.4
171	YPR187W	RPO26	3.4
172	YJR070C	LIA1	3.4
173	YKR059W	TIF1	3.4
174	YDL014W	NOP1	3.4
175	YPR110C	RPC40	3.4
176	YMR146C	TIF34	3.4
177	YML056C	IMD4	3.4
178	YHR064C	SSZ1	3.4
179	YLR060W	FRS1	3.4
180	YOR361C	PRT1	3.3
181	YER043C	SAH1	3.3
182	YHR128W	FUR1	3.3
183	YMR290C	HAS1	3.3
184	YKL009W	MRT4	3.3
185	YLR172C	DPH5	3.3
186	YBR143C	SUP45	3.3
187	YDR226W	ADK1	3.3
188	YIL078W	THS1	3.3
189	YDR385W	EFT2	3.3
190	YLR449W	FPR4	3.3
191	YDL051W	LHP1	3.3
192	YLR287C-A	RPS30A	3.3
193	YDL208W	NHP2	3.2
194	YOR133W	EFT1	3.2
195	YOR095C	RKI1	3.2
196	YMR131C	RRB1	3.2
197	YHR068W	DYS1	3.2
198	YPR074C	TKL1	3.2
199	YPL211W	NIP7	3.2
200	YLR186W	EMG1	3.2
201	YPL160W	CDC60	3.2
202	YFL045C	SEC53	3.2
203	YNL248C	RPA49	3.2
204	YDL192W	ARF1	3.2
205	YDR037W	KRS1	3.2
206	YGL148W	ARO2	3.2
207	YGR264C	MES1	3.2
208	YJR105W	ADO1	3.2
209	YBR084W	MIS1	3.2
210	YDR429C	TIF35	3.2
211	YNL175C	NOP13	3.2
212	YPR033C	HTS1	3.2
213	YBL076C	ILS1	3.1
214	YPL237W	SUI3	3.1
215	YPR010C	RPA135	3.1
216	YGR094W	VAS1	3.1
217	YGR185C	TYS1	3.1
218	YBR025C	OLA1	3.1
219	YLR083C	EMP70	3.1
220	YER009W	NTF2	3.1
221	YKL216W	URA1	3.1
222	YOR340C	RPA43	3.1
223	YFL022C	FRS2	3.1
224	YJR063W	RPA12	3.1
225	YER165W	PAB1	3.1
226	YMR309C	NIP1	3.1
227	YHL011C	PRS3	3.1
228	YBR106W	SND3	3.1
229	YLR355C	ILV5	3.1
230	YFL034C-A	RPL22B	3.1
