SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: PRS1

Rank	Gene	Common	Score
Q	YKL181W	PRS1	
1	YNL248C	RPA49	4.4
2	YHL011C	PRS3	4.4
3	YMR217W	GUA1	4.4
4	YLR175W	CBF5	4.4
5	YMR131C	RRB1	4.4
6	YOL077C	BRX1	4.3
7	YPR110C	RPC40	4.3
8	YLR197W	NOP56	4.3
9	YHR170W	NMD3	4.2
10	YPL211W	NIP7	4.2
11	YOR310C	NOP58	4.2
12	YBL039C	URA7	4.2
13	YER006W	NUG1	4.2
14	YML022W	APT1	4.2
15	YDL014W	NOP1	4.2
16	YDR101C	ARX1	4.2
17	YOR095C	RKI1	4.2
18	YKL009W	MRT4	4.2
19	YPR010C	RPA135	4.2
20	YHR089C	GAR1	4.1
21	YJR070C	LIA1	4.1
22	YGL078C	DBP3	4.1
23	YML056C	IMD4	4.1
24	YMR290C	HAS1	4.1
25	YNL175C	NOP13	4.1
26	YGR123C	PPT1	4.1
27	YER025W	GCD11	4.1
28	YOR272W	YTM1	4.1
29	YNL061W	NOP2	4.1
30	YOR361C	PRT1	4.1
31	YKR081C	RPF2	4.0
32	YKL191W	DPH2	4.0
33	YLR196W	PWP1	4.0
34	YDR091C	RLI1	4.0
35	YDR465C	RMT2	4.0
36	YGR159C	NSR1	4.0
37	YDR165W	TRM82	4.0
38	YMR049C	ERB1	4.0
39	YJL148W	RPA34	4.0
40	YPL266W	DIM1	4.0
41	YJL050W	MTR4	4.0
42	YPR163C	TIF3	4.0
43	YGR264C	MES1	4.0
44	YLR409C	UTP21	4.0
45	YLR186W	EMG1	4.0
46	YPL226W	NEW1	4.0
47	YAL036C	RBG1	4.0
48	YML106W	URA5	4.0
49	YDL051W	LHP1	3.9
50	YOR243C	PUS7	3.9
51	YOR340C	RPA43	3.9
52	YJL109C	UTP10	3.9
53	YLR276C	DBP9	3.9
54	YBL068W	PRS4	3.9
55	YPL093W	NOG1	3.9
56	YNL132W	KRE33	3.9
57	YMR308C	PSE1	3.9
58	YNL141W	AAH1	3.9
59	YGR103W	NOP7	3.9
60	YGR128C	UTP8	3.9
61	YLR129W	DIP2	3.9
62	YPL086C	ELP3	3.9
63	YDL060W	TSR1	3.9
64	YOL097C	WRS1	3.9
65	YBR143C	SUP45	3.9
66	YLR009W	RLP24	3.8
67	YKL021C	MAK11	3.8
68	YLR222C	UTP13	3.8
69	YIR026C	YVH1	3.8
70	YBL024W	NCL1	3.8
71	YOR206W	NOC2	3.8
72	YEL026W	SNU13	3.8
73	YBR247C	ENP1	3.8
74	YER126C	NSA2	3.8
75	YLR060W	FRS1	3.8
76	YNL002C	RLP7	3.8
77	YDL082W	RPL13A	3.8
78	YLR432W	IMD3	3.8
79	YHR128W	FUR1	3.8
80	YOR341W	RPA190	3.8
81	YNL096C	RPS7B	3.8
82	YDR120C	TRM1	3.8
83	YDL201W	TRM8	3.8
84	YMR229C	RRP5	3.8
85	YGL099W	LSG1	3.8
86	YGR162W	TIF4631	3.8
87	YNL112W	DBP2	3.8
88	YBR084W	MIS1	3.8
89	YMR309C	NIP1	3.7
90	YLL008W	DRS1	3.7
91	YGL111W	NSA1	3.7
92	YPL012W	RRP12	3.7
93	YPR144C	NOC4	3.7
94	YGR200C	ELP2	3.7
95	YLR448W	RPL6B	3.7
96	YCL059C	KRR1	3.7
97	YGL171W	ROK1	3.7
98	YLR249W	YEF3	3.7
99	YJR002W	MPP10	3.7
100	YOL061W	PRS5	3.7
101	YAL059W	ECM1	3.7
102	YLR002C	NOC3	3.7
103	YLR083C	EMP70	3.7
104	YDR087C	RRP1	3.7
105	YKR092C	SRP40	3.7
106	YHR052W	CIC1	3.7
107	YLR449W	FPR4	3.7
108	YLR372W	ELO3	3.7
109	YMR093W	UTP15	3.7
110	YDR496C	PUF6	3.7
111	YHR197W	RIX1	3.7
112	YPR041W	TIF5	3.7
113	YJL177W	RPL17B	3.7
114	YER049W	TPA1	3.7
115	YNL151C	RPC31	3.7
116	YOR168W	GLN4	3.7
117	YDR361C	BCP1	3.7
118	YKL180W	RPL17A	3.7
119	YLR017W	MEU1	3.7
120	YPR033C	HTS1	3.7
121	YOR004W	UTP23	3.7
122	YGR214W	RPS0A	3.7
123	YPL126W	NAN1	3.7
124	YNL182C	IPI3	3.6
125	YDR471W	RPL27B	3.6
126	YLR048W	RPS0B	3.6
127	YDL208W	NHP2	3.6
128	YKL078W	DHR2	3.6
129	YNL255C	GIS2	3.6
130	YMR146C	TIF34	3.6
