SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: STE6

Rank	Gene	Common	Score
Q	YKL209C	STE6	
1	YFL026W	STE2	4.8
2	YIL015W	BAR1	4.6
3	YNL145W	MFA2	4.1
4	YGL032C	AGA2	3.8
5	YDR461W	MFA1	3.8
6	YLR452C	SST2	3.3
7	YJL157C	FAR1	3.2
8	YHR005C	GPA1	3.2
9	YJL170C	ASG7	3.1
10	YFL027C	GYP8	3.0
11	YOR212W	STE4	2.8
12	YCR097W	HMRA1	2.7
13	YHR084W	STE12	2.6
14	YNR044W	AGA1	2.6
15	YBL016W	FUS3	2.4
16	YCL027W	FUS1	2.4
17	YPR122W	AXL1	2.4
18	YBR083W	TEC1	2.4
19	YDR103W	STE5	2.2
20	YDR410C	STE14	2.2
21	YNL087W	TCB2	2.2
22	YML046W	PRP39	2.2
23	YEL040W	UTR2	2.1
24	YBR158W	AMN1	2.1
25	YIL009W	FAA3	2.1
26	YGR092W	DBF2	2.1
27	YOR151C	RPB2	2.1
28	YER155C	BEM2	2.1
29	YBL076C	ILS1	2.0
30	YPL160W	CDC60	2.0
31	YKL211C	TRP3	2.0
32	YCL055W	KAR4	2.0
33	YMR309C	NIP1	2.0
34	YKL205W	LOS1	2.0
35	YOR335C	ALA1	2.0
36	YNL298W	CLA4	2.0
37	YMR266W	RSN1	2.0
38	YNL042W	BOP3	2.0
39	YMR065W	KAR5	2.0
40	YKR028W	SAP190	2.0
41	YLR083C	EMP70	2.0
42	YMR012W	CLU1	2.0
43	YIL117C	PRM5	2.0
44	YBR115C	LYS2	2.0
45	YGR014W	MSB2	2.0
46	YNL238W	KEX2	2.0
47	YMR212C	EFR3	2.0
48	YDL040C	NAT1	2.0
49	YNL192W	CHS1	2.0
50	YGR044C	RME1	2.0
51	YLL048C	YBT1	2.0
52	YGR162W	TIF4631	2.0
53	YOR341W	RPA190	2.0
54	YLR189C	ATG26	2.0
55	YOR127W	RGA1	2.0
56	YNL123W	NMA111	2.0
57	YJR137C	MET5	2.0
58	YNL279W	PRM1	2.0
59	YBR073W	RDH54	2.0
60	YKL062W	MSN4	2.0
61	YKL043W	PHD1	2.0
62	YJL080C	SCP160	2.0
63	YLR084C	RAX2	1.9
64	YOR361C	PRT1	1.9
65	YLR384C	IKI3	1.9
66	YKL189W	HYM1	1.9
67	YOR153W	PDR5	1.9
68	YPL254W	HFI1	1.9
69	YNL066W	SUN4	1.9
70	YKL068W	NUP100	1.9
71	YDL227C	HO	1.9
72	YFL047W	RGD2	1.9
73	YGR116W	SPT6	1.9
74	YMR308C	PSE1	1.9
75	YGR264C	MES1	1.9
76	YFR009W	GCN20	1.9
77	YBL024W	NCL1	1.9
78	YPR119W	CLB2	1.9
79	YKL188C	PXA2	1.9
80	YJL200C	ACO2	1.9
81	YLL011W	SOF1	1.9
82	YDR326C	YSP2	1.9
83	YDL240W	LRG1	1.9
84	YNL085W	MKT1	1.9
85	YKL212W	SAC1	1.9
86	YPL226W	NEW1	1.9
87	YML042W	CAT2	1.9
88	YLR129W	DIP2	1.9
89	YOR051C	ETT1	1.9
90	YJR035W	RAD26	1.9
91	YKL135C	APL2	1.9
92	YMR125W	STO1	1.9
93	YPL273W	SAM4	1.9
94	YGL147C	RPL9A	1.9
95	YOR241W	MET7	1.9
96	YJR031C	GEA1	1.9
97	YOL021C	DIS3	1.9
98	YLR197W	NOP56	1.9
99	YDL145C	COP1	1.9
100	YNL078W	NIS1	1.9
101	YGR094W	VAS1	1.9
102	YPR033C	HTS1	1.9
103	YDR085C	AFR1	1.9
104	YLR398C	SKI2	1.9
105	YDL185W	VMA1	1.9
106	YGR200C	ELP2	1.9
107	YKR042W	UTH1	1.9
108	YIL017C	VID28	1.9
109	YJR001W	AVT1	1.9
110	YDR194C	MSS116	1.9
111	YNL267W	PIK1	1.9
112	YOR219C	STE13	1.9
113	YDR170C	SEC7	1.9
114	YOR326W	MYO2	1.9
115	YJL050W	MTR4	1.9
116	YGL116W	CDC20	1.9
117	YJL111W	CCT7	1.9
118	YHR023W	MYO1	1.9
119	YMR080C	NAM7	1.9
120	YBL061C	SKT5	1.9
121	YJL044C	GYP6	1.9
122	YDR309C	GIC2	1.9
123	YCR042C	TAF2	1.9
124	YMR062C	ARG7	1.9
125	YJR033C	RAV1	1.9
126	YOL051W	GAL11	1.9
127	YPL075W	GCR1	1.9
128	YFL025C	BST1	1.9
129	YKL213C	DOA1	1.9
130	YBR218C	PYC2	1.9
131	YIL078W	THS1	1.9
132	YMR285C	NGL2	1.9
133	YAR014C	BUD14	1.9
134	YJL076W	NET1	1.9
135	YGL028C	SCW11	1.8
136	YDR119W	VBA4	1.8
137	YKL064W	MNR2	1.8
138	YNL163C	RIA1	1.8
139	YLL021W	SPA2	1.8
140	YEL055C	POL5	1.8
141	YOL104C	NDJ1	1.8
142	YFL004W	VTC2	1.8
143	YOR168W	GLN4	1.8
144	YDR023W	SES1	1.8
145	YNL327W	EGT2	1.8
146	YPR010C	RPA135	1.8
147	YBL052C	SAS3	1.8
148	YOR360C	PDE2	1.8
149	YLR285W	NNT1	1.8
150	YKL014C	URB1	1.8
151	YLR371W	ROM2	1.8
152	YKL218C	SRY1	1.8
153	YLR291C	GCD7	1.8
154	YPR121W	THI22	1.8
155	YAL026C	DRS2	1.8
156	YOR270C	VPH1	1.8
157	YMR271C	URA10	1.8
158	YJL130C	URA2	1.8
159	YMR322C	SNO4	1.8
160	YGL241W	KAP114	1.8
161	YLR286C	CTS1	1.8
162	YPL214C	THI6	1.8
163	YJL014W	CCT3	1.8
164	YGL238W	CSE1	1.8
165	YPL126W	NAN1	1.8
166	YGL016W	KAP122	1.8
167	YKL072W	STB6	1.8
168	YJL197W	UBP12	1.8
169	YML104C	MDM1	1.8
170	YNR012W	URK1	1.8
171	YOR108W	LEU9	1.8
172	YMR093W	UTP15	1.8
173	YJR109C	CPA2	1.8
174	YDR060W	MAK21	1.8
175	YCR089W	FIG2	1.8
176	YJL109C	UTP10	1.8
177	YNL248C	RPA49	1.8
178	YHR063C	PAN5	1.8
179	YJR016C	ILV3	1.8
180	YEL032W	MCM3	1.8
181	YMR129W	POM152	1.8
182	YIL009C-A	EST3	1.8
183	YLR256W	HAP1	1.8
184	YKR039W	GAP1	1.8
185	YGL156W	AMS1	1.8
186	YDR127W	ARO1	1.8
187	YBR092C	PHO3	1.8
188	YMR246W	FAA4	1.8
189	YGL106W	MLC1	1.8
190	YDL231C	BRE4	1.8
191	YNL132W	KRE33	1.8
192	YBR293W	VBA2	1.8
193	YOR001W	RRP6	1.8
194	YNL142W	MEP2	1.8
195	YLR274W	MCM5	1.8
196	YKR026C	GCN3	1.8
197	YDR037W	KRS1	1.8
198	YKL132C	RMA1	1.8
199	YKL179C	COY1	1.8
200	YNL009W	IDP3	1.8
201	YJL186W	MNN5	1.8
202	YPL188W	POS5	1.8
203	YKR008W	RSC4	1.8
204	YJR143C	PMT4	1.8
205	YLR353W	BUD8	1.8
206	YDR172W	SUP35	1.8
207	YGL201C	MCM6	1.8
208	YLL012W	YEH1	1.8
209	YLR403W	SFP1	1.8
210	YKL081W	TEF4	1.8
211	YBL023C	MCM2	1.8
212	YDR091C	RLI1	1.8
213	YDL171C	GLT1	1.8
214	YLR432W	IMD3	1.8
215	YNR055C	HOL1	1.8
216	YDL112W	TRM3	1.8
217	YER024W	YAT2	1.8
218	YER025W	GCD11	1.8
219	YDL024C	DIA3	1.8
220	YGR143W	SKN1	1.8
221	YKR031C	SPO14	1.8
222	YNL154C	YCK2	1.8
223	YMR006C	PLB2	1.8
224	YNR050C	LYS9	1.8
225	YBR133C	HSL7	1.8
226	YGR240C	PFK1	1.8
227	YML059C	NTE1	1.8
228	YER162C	RAD4	1.8
229	YGL257C	MNT2	1.8
230	YDR242W	AMD2	1.8
231	YLR060W	FRS1	1.8
232	YLR409C	UTP21	1.8
233	YGL151W	NUT1	1.8
234	YKR093W	PTR2	1.8
235	YLR410W	VIP1	1.8
236	YPR001W	CIT3	1.8
237	YOR328W	PDR10	1.8
238	YKR082W	NUP133	1.8
239	YDR034C	LYS14	1.8
240	YOR067C	ALG8	1.8
241	YOR260W	GCD1	1.8
242	YNL121C	TOM70	1.8
243	YLR222C	UTP13	1.8
244	YLR266C	PDR8	1.8
245	YMR229C	RRP5	1.8
246	YIR039C	YPS6	1.8
247	YLR359W	ADE13	1.8
248	YOR080W	DIA2	1.8
249	YMR241W	YHM2	1.8
250	YOL097C	WRS1	1.8
251	YOR206W	NOC2	1.8
252	YOR310C	NOP58	1.8
253	YNR013C	PHO91	1.8
254	YOL025W	LAG2	1.8
255	YEL063C	CAN1	1.8
256	YNL201C	PSY2	1.8
257	YGL120C	PRP43	1.8
258	YOR249C	APC5	1.8
259	YER113C	TMN3	1.8
260	YPR145W	ASN1	1.8
261	YKL197C	PEX1	1.8
262	YDR379W	RGA2	1.8
263	YBR200W	BEM1	1.8
264	YNL256W	FOL1	1.8
265	YOR002W	ALG6	1.8
266	YHR186C	KOG1	1.8
267	YBR202W	MCM7	1.8
268	YOR207C	RET1	1.8
269	YNL129W	NRK1	1.8
270	YGL099W	LSG1	1.8
271	YKL185W	ASH1	1.8
272	YGL195W	GCN1	1.8
273	YBR084W	MIS1	1.8
274	YJR086W	STE18	1.8
275	YNL189W	SRP1	1.8
276	YOR128C	ADE2	1.8
277	YAL035W	FUN12	1.8
278	YPL242C	IQG1	1.8
279	YOR254C	SEC63	1.8
280	YKR064W	OAF3	1.8
281	YJR132W	NMD5	1.8
282	YDR292C	SRP101	1.8
283	YLL008W	DRS1	1.8
284	YKL129C	MYO3	1.8
285	YJL039C	NUP192	1.8
286	YMR033W	ARP9	1.8
287	YFR005C	SAD1	1.8
288	YLR319C	BUD6	1.8
289	YGR185C	TYS1	1.8
290	YOR043W	WHI2	1.8
291	YKL210W	UBA1	1.8
292	YJR127C	RSF2	1.8
293	YBR079C	RPG1	1.8
294	YOR177C	MPC54	1.8
295	YFR002W	NIC96	1.8
296	YBR067C	TIP1	1.8
297	YLR196W	PWP1	1.8
298	YLR096W	KIN2	1.8
299	YLR175W	CBF5	1.8
300	YHR201C	PPX1	1.8
301	YOR217W	RFC1	1.8
302	YGL248W	PDE1	1.8
303	YBR163W	EXO5	1.8
304	YJR002W	MPP10	1.8
305	YML075C	HMG1	1.8
306	YML047C	PRM6	1.8
307	YPL235W	RVB2	1.8
308	YDL239C	ADY3	1.8
309	YDR395W	SXM1	1.8
310	YOL119C	MCH4	1.8
311	YJL183W	MNN11	1.8
312	YPR159W	KRE6	1.8
313	YLR071C	RGR1	1.8
314	YJR040W	GEF1	1.8
315	YMR049C	ERB1	1.8
316	YGL021W	ALK1	1.7
317	YBR023C	CHS3	1.7
318	YAL041W	CDC24	1.7
319	YOL076W	MDM20	1.7
320	YGR199W	PMT6	1.7
321	YMR205C	PFK2	1.7
322	YGR258C	RAD2	1.7
323	YIL140W	AXL2	1.7
324	YDR234W	LYS4	1.7
325	YBR040W	FIG1	1.7
326	YPL217C	BMS1	1.7
327	YGR090W	UTP22	1.7
328	YAL029C	MYO4	1.7
329	YGR204W	ADE3	1.7
330	YLL004W	ORC3	1.7
331	YMR232W	FUS2	1.7
332	YCR057C	PWP2	1.7
333	YLR022C	SDO1	1.7
334	YFL050C	ALR2	1.7
335	YGR229C	SMI1	1.7
336	YMR064W	AEP1	1.7
337	YOR209C	NPT1	1.7
