SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SAC1

Rank	Gene	Common	Score
Q	YKL212W	SAC1	
1	YLR060W	FRS1	3.0
2	YPR033C	HTS1	3.0
3	YBR121C	GRS1	2.9
4	YMR308C	PSE1	2.9
5	YJL080C	SCP160	2.9
6	YOR254C	SEC63	2.8
7	YGR185C	TYS1	2.8
8	YOR361C	PRT1	2.8
9	YMR309C	NIP1	2.8
10	YPL160W	CDC60	2.8
11	YNL085W	MKT1	2.8
12	YNL016W	PUB1	2.8
13	YDR062W	LCB2	2.8
14	YDR023W	SES1	2.8
15	YPR074C	TKL1	2.8
16	YOR198C	BFR1	2.8
17	YHR068W	DYS1	2.7
18	YLR083C	EMP70	2.7
19	YIL078W	THS1	2.7
20	YHR064C	SSZ1	2.7
21	YLR372W	ELO3	2.7
22	YER043C	SAH1	2.7
23	YJR143C	PMT4	2.7
24	YKL081W	TEF4	2.7
25	YOR310C	NOP58	2.7
26	YBL076C	ILS1	2.7
27	YLR197W	NOP56	2.7
28	YDL145C	COP1	2.7
29	YDL040C	NAT1	2.6
30	YGR094W	VAS1	2.6
31	YAL023C	PMT2	2.6
32	YOL097C	WRS1	2.6
33	YOR209C	NPT1	2.6
34	YFL022C	FRS2	2.6
35	YOR239W	ABP140	2.6
36	YGR264C	MES1	2.6
37	YOR046C	DBP5	2.6
38	YKR026C	GCN3	2.6
39	YLR175W	CBF5	2.6
40	YGR162W	TIF4631	2.6
41	YBR143C	SUP45	2.6
42	YOR168W	GLN4	2.6
43	YGL245W	GUS1	2.6
44	YHR019C	DED81	2.6
45	YKL127W	PGM1	2.6
46	YDR395W	SXM1	2.6
47	YKL080W	VMA5	2.6
48	YDR091C	RLI1	2.5
49	YFR009W	GCN20	2.5
50	YGL137W	SEC27	2.5
51	YGL195W	GCN1	2.5
52	YAL035W	FUN12	2.5
53	YBL024W	NCL1	2.5
54	YJL002C	OST1	2.5
55	YKL046C	DCW1	2.5
56	YBR079C	RPG1	2.5
57	YKL181W	PRS1	2.5
58	YGL097W	SRM1	2.5
59	YNL287W	SEC21	2.5
60	YDL082W	RPL13A	2.5
61	YMR079W	SEC14	2.5
62	YGR285C	ZUO1	2.5
63	YLR378C	SEC61	2.5
64	YBR162C	TOS1	2.5
65	YLR153C	ACS2	2.5
66	YHR098C	SFB3	2.5
67	YLR429W	CRN1	2.5
68	YGL253W	HXK2	2.5
69	YKL211C	TRP3	2.5
70	YLR196W	PWP1	2.5
71	YLR432W	IMD3	2.5
72	YGL105W	ARC1	2.5
73	YPL145C	KES1	2.5
74	YCR053W	THR4	2.5
75	YNL096C	RPS7B	2.5
76	YJR105W	ADO1	2.5
77	YBR283C	SSH1	2.5
78	YKL128C	PMU1	2.4
79	YDL095W	PMT1	2.4
80	YMR012W	CLU1	2.4
81	YOR326W	MYO2	2.4
82	YOR270C	VPH1	2.4
83	YLR192C	HCR1	2.4
84	YMR296C	LCB1	2.4
85	YLR448W	RPL6B	2.4
86	YAL036C	RBG1	2.4
87	YML124C	TUB3	2.4
88	YER025W	GCD11	2.4
89	YKR001C	VPS1	2.4
90	YMR146C	TIF34	2.4
91	YBR084W	MIS1	2.4
92	YLR208W	SEC13	2.4
93	YDL236W	PHO13	2.4
94	YLR293C	GSP1	2.4
95	YPR110C	RPC40	2.4
96	YJR069C	HAM1	2.4
97	YDR238C	SEC26	2.4
98	YKL205W	LOS1	2.4
99	YOR323C	PRO2	2.4
100	YOL061W	PRS5	2.4
101	YOR341W	RPA190	2.4
102	YDL226C	GCS1	2.4
103	YML056C	IMD4	2.4
104	YEL040W	UTR2	2.4
105	YLR249W	YEF3	2.4
106	YJR007W	SUI2	2.4
107	YGL202W	ARO8	2.4
108	YER165W	PAB1	2.4
109	YBR017C	KAP104	2.4
110	YOR085W	OST3	2.4
111	YPR163C	TIF3	2.4
112	YJR016C	ILV3	2.4
113	YLL018C	DPS1	2.4
114	YKR082W	NUP133	2.4
115	YGR204W	ADE3	2.4
116	YDR190C	RVB1	2.4
117	YHR063C	PAN5	2.4
118	YOR063W	RPL3	2.4
119	YKL180W	RPL17A	2.4
120	YLR188W	MDL1	2.4
121	YOR335C	ALA1	2.3
122	YGL022W	STT3	2.3
123	YIL039W	TED1	2.3
124	YHR123W	EPT1	2.3
125	YPL263C	KEL3	2.3
126	YLR150W	STM1	2.3
127	YMR217W	GUA1	2.3
128	YKL104C	GFA1	2.3
129	YKR092C	SRP40	2.3
130	YMR208W	ERG12	2.3
131	YMR241W	YHM2	2.3
132	YJL177W	RPL17B	2.3
133	YHR042W	NCP1	2.3
134	YOL120C	RPL18A	2.3
135	YMR212C	EFR3	2.3
136	YLR342W	FKS1	2.3
137	YHR025W	THR1	2.3
138	YNR043W	MVD1	2.3
139	YCR034W	ELO2	2.3
140	YOR241W	MET7	2.3
141	YML073C	RPL6A	2.3
142	YAL007C	ERP2	2.3
143	YJL138C	TIF2	2.3
144	YKL210W	UBA1	2.3
145	YLR264W	RPS28B	2.3
146	YMR318C	ADH6	2.3
147	YER086W	ILV1	2.3
148	YDR037W	KRS1	2.3
149	YJL167W	ERG20	2.3
150	YLR048W	RPS0B	2.3
151	YDR300C	PRO1	2.3
152	YOR260W	GCD1	2.3
153	YLR291C	GCD7	2.3
154	YGR090W	UTP22	2.3
155	YLR061W	RPL22A	2.3
156	YDL084W	SUB2	2.3
157	YLR129W	DIP2	2.3
158	YGR128C	UTP8	2.3
159	YPL273W	SAM4	2.3
160	YMR142C	RPL13B	2.3
161	YDR292C	SRP101	2.3
162	YEL042W	GDA1	2.3
163	YLR359W	ADE13	2.3
164	YPR010C	RPA135	2.3
165	YGR214W	RPS0A	2.3
166	YGL026C	TRP5	2.3
167	YER110C	KAP123	2.3
168	YEL054C	RPL12A	2.3
169	YML115C	VAN1	2.3
170	YGL012W	ERG4	2.3
171	YLR088W	GAA1	2.3
172	YML126C	ERG13	2.3
173	YAL029C	MYO4	2.3
174	YBR189W	RPS9B	2.3
175	YNL154C	YCK2	2.3
176	YMR205C	PFK2	2.3
177	YKL068W	NUP100	2.3
178	YHR089C	GAR1	2.3
179	YDR170C	SEC7	2.3
180	YDR144C	MKC7	2.3
181	YMR307W	GAS1	2.3
182	YJL192C	SOP4	2.3
183	YIL123W	SIM1	2.3
184	YML106W	URA5	2.3
185	YCL037C	SRO9	2.3
186	YGL001C	ERG26	2.3
187	YJL183W	MNN11	2.3
188	YHR108W	GGA2	2.3
189	YDR172W	SUP35	2.3
190	YGL148W	ARO2	2.3
191	YKL054C	DEF1	2.3
192	YOR217W	RFC1	2.3
193	YKL213C	DOA1	2.3
194	YHR208W	BAT1	2.3
195	YPL143W	RPL33A	2.3
196	YMR235C	RNA1	2.3
197	YKL029C	MAE1	2.3
198	YNL248C	RPA49	2.3
199	YDR418W	RPL12B	2.3
200	YGL120C	PRP43	2.3
201	YBR080C	SEC18	2.3
202	YDL014W	NOP1	2.3
203	YNL189W	SRP1	2.3
204	YKL006W	RPL14A	2.3
205	YMR131C	RRB1	2.3
206	YLR285W	NNT1	2.3
207	YOR067C	ALG8	2.3
208	YGR124W	ASN2	2.3
209	YDR454C	GUK1	2.3
210	YGR175C	ERG1	2.3
211	YJR064W	CCT5	2.3
212	YDL143W	CCT4	2.3
213	YNL292W	PUS4	2.3
214	YPL037C	EGD1	2.3
215	YOR197W	MCA1	2.3
216	YKR028W	SAP190	2.3
217	YOR151C	RPB2	2.3
218	YLR420W	URA4	2.2
219	YPL237W	SUI3	2.2
220	YOL039W	RPP2A	2.2
221	YGL076C	RPL7A	2.2
222	YGR061C	ADE6	2.2
223	YOR224C	RPB8	2.2
224	YJL111W	CCT7	2.2
225	YOR276W	CAF20	2.2
226	YNL256W	FOL1	2.2
227	YML022W	APT1	2.2
228	YOR271C	FSF1	2.2
229	YPL079W	RPL21B	2.2
230	YLR441C	RPS1A	2.2
231	YLR180W	SAM1	2.2
232	YPR041W	TIF5	2.2
233	YLR367W	RPS22B	2.2
234	YER049W	TPA1	2.2
235	YNR026C	SEC12	2.2
236	YOR234C	RPL33B	2.2
237	YLL045C	RPL8B	2.2
238	YPR159W	KRE6	2.2
239	YBR205W	KTR3	2.2
240	YHR193C	EGD2	2.2
241	YDR211W	GCD6	2.2
242	YDR321W	ASP1	2.2
243	YJR075W	HOC1	2.2
244	YIL109C	SEC24	2.2
245	YDR119W	VBA4	2.2
246	YDL164C	CDC9	2.2
247	YEL055C	POL5	2.2
248	YBR263W	SHM1	2.2
249	YPL032C	SVL3	2.2
250	YOR312C	RPL20B	2.2
251	YGL016W	KAP122	2.2
252	YPL050C	MNN9	2.2
253	YML063W	RPS1B	2.2
254	YFR031C-A	RPL2A	2.2
255	YOR243C	PUS7	2.2
256	YHL033C	RPL8A	2.2
257	YBR191W	RPL21A	2.2
258	YDL055C	PSA1	2.2
259	YGL225W	VRG4	2.2
260	YMR305C	SCW10	2.2
261	YOL049W	GSH2	2.2
262	YLR195C	NMT1	2.2
263	YDL185W	VMA1	2.2
264	YNL069C	RPL16B	2.2
265	YNL301C	RPL18B	2.2
266	YGR123C	PPT1	2.2
267	YBL072C	RPS8A	2.2
268	YML019W	OST6	2.2
269	YOR206W	NOC2	2.2
270	YFL037W	TUB2	2.2
271	YBR015C	MNN2	2.2
272	YIL133C	RPL16A	2.2
273	YPL210C	SRP72	2.2
274	YGR118W	RPS23A	2.2
275	YDR226W	ADK1	2.2
276	YJR070C	LIA1	2.2
277	YNR030W	ALG12	2.2
278	YOR096W	RPS7A	2.2
279	YGR200C	ELP2	2.2
280	YLR172C	DPH5	2.2
281	YKR084C	HBS1	2.2
282	YBR127C	VMA2	2.2
283	YMR116C	ASC1	2.2
284	YLR354C	TAL1	2.2
285	YIL145C	PAN6	2.2
286	YNL291C	MID1	2.2
287	YJL014W	CCT3	2.2
288	YLR388W	RPS29A	2.2
289	YBL027W	RPL19B	2.2
290	YLR186W	EMG1	2.2
291	YGL092W	NUP145	2.2
292	YNL298W	CLA4	2.2
293	YHR144C	DCD1	2.2
294	YGR085C	RPL11B	2.2
295	YJR132W	NMD5	2.2
296	YNL209W	SSB2	2.2
297	YOL139C	CDC33	2.2
298	YGL238W	CSE1	2.2
299	YBR249C	ARO4	2.2
300	YBR048W	RPS11B	2.2
301	YLR146C	SPE4	2.2
302	YKL179C	COY1	2.2
303	YLR389C	STE23	2.2
304	YCR031C	RPS14A	2.2
305	YMR080C	NAM7	2.2
306	YGR155W	CYS4	2.2
307	YPL246C	RBD2	2.2
308	YMR177W	MMT1	2.2
309	YMR125W	STO1	2.2
310	YGR229C	SMI1	2.2
311	YER090W	TRP2	2.2
312	YOL103W	ITR2	2.2
313	YPL081W	RPS9A	2.2
314	YKL021C	MAK11	2.2
315	YJL200C	ACO2	2.2
316	YFR051C	RET2	2.2
317	YGR191W	HIP1	2.2
318	YER074W	RPS24A	2.2
319	YJL008C	CCT8	2.2
320	YER007C-A	TMA20	2.2
321	YPR069C	SPE3	2.2
322	YPR145W	ASN1	2.2
323	YLR447C	VMA6	2.2
324	YML026C	RPS18B	2.2
325	YGR240C	PFK1	2.2
326	YGL008C	PMA1	2.2
327	YNL132W	KRE33	2.2
328	YJL136C	RPS21B	2.2
329	YJL076W	NET1	2.2
330	YLR113W	HOG1	2.2
331	YDR164C	SEC1	2.2
332	YGR208W	SER2	2.2
333	YNL066W	SUN4	2.2
334	YPL226W	NEW1	2.2
335	YJR040W	GEF1	2.2
336	YPL235W	RVB2	2.2
337	YDR353W	TRR1	2.2
338	YMR290C	HAS1	2.2
339	YDL192W	ARF1	2.2
340	YER070W	RNR1	2.2
341	YMR214W	SCJ1	2.2
342	YJL109C	UTP10	2.2
343	YCR084C	TUP1	2.2
344	YER009W	NTF2	2.2
345	YJR123W	RPS5	2.1
346	YPL244C	HUT1	2.1
347	YBL061C	SKT5	2.1
348	YHL007C	STE20	2.1
349	YHL011C	PRS3	2.1
350	YOR133W	EFT1	2.1
351	YDL130W	RPP1B	2.1
352	YKL165C	MCD4	2.1
353	YGR083C	GCD2	2.1
354	YDR212W	TCP1	2.1
355	YGR148C	RPL24B	2.1
356	YMR108W	ILV2	2.1
357	YMR243C	ZRC1	2.1
358	YPL093W	NOG1	2.1
359	YBL039C	URA7	2.1
360	YDR158W	HOM2	2.1
361	YFL001W	DEG1	2.1
362	YLR384C	IKI3	2.1
363	YPL256C	CLN2	2.1
364	YPL227C	ALG5	2.1
365	YLR406C	RPL31B	2.1
366	YJR042W	NUP85	2.1
367	YHL001W	RPL14B	2.1
368	YML038C	YMD8	2.1
369	YDR400W	URH1	2.1
370	YPR181C	SEC23	2.1
371	YKR057W	RPS21A	2.1
372	YNR051C	BRE5	2.1
373	YGL147C	RPL9A	2.1
374	YIL094C	LYS12	2.1
375	YBR029C	CDS1	2.1
376	YGL020C	GET1	2.1
377	YJL190C	RPS22A	2.1
378	YHR013C	ARD1	2.1
379	YJL039C	NUP192	2.1
380	YPL086C	ELP3	2.1
381	YGL031C	RPL24A	2.1
382	YDL112W	TRM3	2.1
383	YDR502C	SAM2	2.1
384	YKR059W	TIF1	2.1
385	YNL067W	RPL9B	2.1
386	YKL216W	URA1	2.1
387	YJR065C	ARP3	2.1
388	YLR321C	SFH1	2.1
389	YKR094C	RPL40B	2.1
390	YKL057C	NUP120	2.1
391	YGR173W	RBG2	2.1
392	YNL178W	RPS3	2.1
393	YHR183W	GND1	2.1
394	YCL050C	APA1	2.1
395	YPR183W	DPM1	2.1
396	YNR053C	NOG2	2.1
397	YNR027W	BUD17	2.1
