SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: MCH2

Rank	Gene	Common	Score
Q	YKL221W	MCH2	
1	YNL128W	TEP1	2.7
2	YDL024C	DIA3	2.7
3	YFL053W	DAK2	2.6
4	YDR059C	UBC5	2.6
5	YDR403W	DIT1	2.6
6	YFR023W	PES4	2.6
7	YHR160C	PEX18	2.6
8	YGR256W	GND2	2.5
9	YLR213C	CRR1	2.5
10	YOR177C	MPC54	2.5
11	YBL049W	MOH1	2.5
12	YMR017W	SPO20	2.5
13	YGR043C	NQM1	2.5
14	YIL099W	SGA1	2.5
15	YGL156W	AMS1	2.5
16	YNL318C	HXT14	2.5
17	YLR070C	XYL2	2.5
18	YGR225W	AMA1	2.5
19	YMR271C	URA10	2.5
20	YJL037W	IRC18	2.5
21	YLR080W	EMP46	2.4
22	YGR213C	RTA1	2.4
23	YKR076W	ECM4	2.4
24	YPR007C	REC8	2.4
25	YML042W	CAT2	2.4
26	YNL093W	YPT53	2.4
27	YMR175W	SIP18	2.4
28	YPL223C	GRE1	2.4
29	YNL012W	SPO1	2.4
30	YMR306W	FKS3	2.4
31	YPL186C	UIP4	2.4
32	YMR154C	RIM13	2.4
33	YMR174C	PAI3	2.4
34	YJL038C	LOH1	2.4
35	YDL223C	HBT1	2.4
36	YDL085W	NDE2	2.4
37	YBR076W	ECM8	2.4
38	YKR049C	FMP46	2.4
39	YKL163W	PIR3	2.4
40	YDR204W	COQ4	2.4
41	YBR117C	TKL2	2.4
42	YHR209W	CRG1	2.3
43	YHR139C	SPS100	2.3
44	YNL202W	SPS19	2.3
45	YHR096C	HXT5	2.3
46	YGL121C	GPG1	2.3
47	YKL217W	JEN1	2.3
48	YIR039C	YPS6	2.3
49	YOL084W	PHM7	2.3
50	YER179W	DMC1	2.3
51	YPL171C	OYE3	2.3
52	YER096W	SHC1	2.3
53	YDR453C	TSA2	2.3
54	YGR236C	SPG1	2.3
55	YBR240C	THI2	2.3
56	YGL205W	POX1	2.3
