SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: VPS1

Rank	Gene	Common	Score
Q	YKR001C	VPS1	
1	YGL137W	SEC27	3.0
2	YKL210W	UBA1	3.0
3	YNL287W	SEC21	3.0
4	YCL057W	PRD1	2.9
5	YDR238C	SEC26	2.9
6	YNL085W	MKT1	2.8
7	YKL126W	YPK1	2.8
8	YMR237W	BCH1	2.8
9	YNL138W	SRV2	2.7
10	YHR027C	RPN1	2.7
11	YKL145W	RPT1	2.7
12	YDL103C	QRI1	2.7
13	YCR088W	ABP1	2.7
14	YKR003W	OSH6	2.6
15	YKL104C	GFA1	2.6
16	YGL207W	SPT16	2.6
17	YMR092C	AIP1	2.6
18	YOL049W	GSH2	2.6
19	YOR117W	RPT5	2.6
20	YKR002W	PAP1	2.6
21	YBR080C	SEC18	2.6
22	YNL071W	LAT1	2.6
23	YOR198C	BFR1	2.6
24	YDL029W	ARP2	2.6
25	YDL126C	CDC48	2.6
26	YHR074W	QNS1	2.6
27	YKL112W	ABF1	2.6
28	YER136W	GDI1	2.6
29	YLL001W	DNM1	2.6
30	YJR065C	ARP3	2.5
31	YER003C	PMI40	2.5
32	YKL140W	TGL1	2.5
33	YKL135C	APL2	2.5
34	YPR108W	RPN7	2.5
35	YNL121C	TOM70	2.5
36	YFL037W	TUB2	2.5
37	YFL018C	LPD1	2.5
38	YDL100C	GET3	2.5
39	YPL091W	GLR1	2.5
40	YML085C	TUB1	2.5
41	YAL016W	TPD3	2.5
42	YHR108W	GGA2	2.5
43	YFR024C-A	LSB3	2.5
44	YLR314C	CDC3	2.5
45	YKL213C	DOA1	2.5
46	YDR170C	SEC7	2.5
47	YDL145C	COP1	2.5
48	YMR012W	CLU1	2.5
49	YGL206C	CHC1	2.5
50	YKR084C	HBS1	2.5
51	YJR045C	SSC1	2.4
52	YFR051C	RET2	2.4
53	YNL189W	SRP1	2.4
54	YKL127W	PGM1	2.4
55	YKL212W	SAC1	2.4
56	YOR124C	UBP2	2.4
57	YAR007C	RFA1	2.4
58	YDL095W	PMT1	2.4
59	YPR103W	PRE2	2.4
60	YOR176W	HEM15	2.4
61	YDR129C	SAC6	2.4
62	YLR429W	CRN1	2.4
63	YFR010W	UBP6	2.4
64	YLR188W	MDL1	2.4
65	YPR029C	APL4	2.4
66	YHR098C	SFB3	2.4
67	YOR142W	LSC1	2.4
68	YOR014W	RTS1	2.4
69	YJR117W	STE24	2.4
70	YDL040C	NAT1	2.4
71	YDR099W	BMH2	2.4
72	YLR208W	SEC13	2.4
73	YIL075C	RPN2	2.4
74	YKL117W	SBA1	2.4
75	YER021W	RPN3	2.4
76	YKL034W	TUL1	2.4
77	YGR135W	PRE9	2.4
78	YDR189W	SLY1	2.4
79	YML070W	DAK1	2.4
80	YMR125W	STO1	2.4
81	YLR069C	MEF1	2.3
82	YJR076C	CDC11	2.3
83	YDR394W	RPT3	2.3
84	YOR259C	RPT4	2.3
85	YKL080W	VMA5	2.3
86	YOR165W	SEY1	2.3
87	YJL080C	SCP160	2.3
88	YML069W	POB3	2.3
89	YLR133W	CKI1	2.3
90	YGL022W	STT3	2.3
91	YBR234C	ARC40	2.3
92	YKL157W	APE2	2.3
93	YKL007W	CAP1	2.3
94	YLR330W	CHS5	2.3
95	YIL109C	SEC24	2.3
96	YJL014W	CCT3	2.3
97	YGR193C	PDX1	2.3
98	YDL007W	RPT2	2.3
99	YGL084C	GUP1	2.3
100	YLL031C	GPI13	2.3
101	YGL238W	CSE1	2.3
102	YGL048C	RPT6	2.3
103	YJL008C	CCT8	2.3
104	YOR326W	MYO2	2.3
105	YGR167W	CLC1	2.3
106	YHR117W	TOM71	2.3
107	YER023W	PRO3	2.3
108	YKR090W	PXL1	2.3
109	YDL084W	SUB2	2.3
110	YOR362C	PRE10	2.3
111	YBR127C	VMA2	2.3
112	YGL245W	GUS1	2.3
113	YNR035C	ARC35	2.3
114	YJR040W	GEF1	2.3
115	YDL132W	CDC53	2.3
116	YCR002C	CDC10	2.3
