SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: VPS51

Rank	Gene	Common	Score
Q	YKR020W	VPS51	
1	YJR050W	ISY1	2.5
2	YOR189W	IES4	2.5
3	YDL107W	MSS2	2.5
4	YIL138C	TPM2	2.5
5	YKL013C	ARC19	2.5
6	YDR202C	RAV2	2.4
7	YKR014C	YPT52	2.4
8	YPR180W	AOS1	2.4
9	YDR486C	VPS60	2.4
10	YMR197C	VTI1	2.4
11	YKR022C	NTR2	2.4
12	YMR028W	TAP42	2.4
13	YOL108C	INO4	2.4
14	YJL031C	BET4	2.4
15	YDL115C	IWR1	2.4
16	YDR289C	RTT103	2.4
17	YJL036W	SNX4	2.4
18	YDR392W	SPT3	2.3
19	YIL062C	ARC15	2.3
20	YMR311C	GLC8	2.3
21	YKL065C	YET1	2.3
22	YKL007W	CAP1	2.3
23	YDL065C	PEX19	2.3
24	YLR421C	RPN13	2.3
25	YMR097C	MTG1	2.3
26	YNL215W	IES2	2.3
27	YOL018C	TLG2	2.3
28	YIL010W	DOT5	2.3
29	YPR188C	MLC2	2.3
30	YDL108W	KIN28	2.3
31	YLR102C	APC9	2.3
32	YNL079C	TPM1	2.3
33	YOR075W	UFE1	2.3
34	YNL265C	IST1	2.3
35	YKL117W	SBA1	2.3
36	YKR083C	DAD2	2.3
37	YOR037W	CYC2	2.3
38	YDR272W	GLO2	2.3
39	YOR261C	RPN8	2.3
40	YLR025W	SNF7	2.3
41	YLR170C	APS1	2.3
42	YLR119W	SRN2	2.3
43	YLR011W	LOT6	2.3
44	YFR008W	FAR7	2.3
45	YDL147W	RPN5	2.3
46	YOR089C	VPS21	2.3
47	YKL196C	YKT6	2.3
48	YJR099W	YUH1	2.2
49	YLR370C	ARC18	2.2
50	YDR435C	PPM1	2.2
51	YMR029C	FAR8	2.2
52	YLR200W	YKE2	2.2
53	YAR027W	UIP3	2.2
54	YMR112C	MED11	2.2
55	YDL135C	RDI1	2.2
56	YLR250W	SSP120	2.2
57	YCR036W	RBK1	2.2
58	YBR290W	BSD2	2.2
59	YJL023C	PET130	2.2
60	YPL152W	RRD2	2.2
61	YLR165C	PUS5	2.2
62	YDL099W	BUG1	2.2
63	YMR201C	RAD14	2.2
64	YDR088C	SLU7	2.2
65	YIL098C	FMC1	2.2
66	YOR036W	PEP12	2.2
67	YKL041W	VPS24	2.2
68	YNL051W	COG5	2.2
69	YOR163W	DDP1	2.2
70	YDR162C	NBP2	2.2
71	YDL045C	FAD1	2.2
72	YNL133C	FYV6	2.2
73	YKR068C	BET3	2.2
74	YKL142W	MRP8	2.2
75	YLR307W	CDA1	2.2
76	YOR257W	CDC31	2.2
77	YKL049C	CSE4	2.2
78	YLR423C	ATG17	2.2
79	YNR010W	CSE2	2.2
80	YPL138C	SPP1	2.2
81	YJR034W	PET191	2.2
82	YMR022W	UBC7	2.2
83	YOL043C	NTG2	2.2
84	YLR298C	YHC1	2.2
85	YNL084C	END3	2.2
86	YBR278W	DPB3	2.2
87	YIR005W	IST3	2.2
88	YNL214W	PEX17	2.2
89	YJR022W	LSM8	2.1
90	YPR073C	LTP1	2.1
91	YER030W	CHZ1	2.1
92	YDL200C	MGT1	2.1
93	YGL018C	JAC1	2.1
94	YOL133W	HRT1	2.1
95	YMR314W	PRE5	2.1
96	YML055W	SPC2	2.1
97	YBR264C	YPT10	2.1
98	YMR025W	CSI1	2.1
99	YIL034C	CAP2	2.1
100	YLR093C	NYV1	2.1
101	YDR468C	TLG1	2.1
102	YDL007W	RPT2	2.1
103	YMR052W	FAR3	2.1
104	YMR255W	GFD1	2.1
105	YJL155C	FBP26	2.1
106	YEL005C	VAB2	2.1
107	YDR204W	COQ4	2.1
108	YKL159C	RCN1	2.1
109	YDR328C	SKP1	2.1
110	YCR009C	RVS161	2.1
111	YGR253C	PUP2	2.1
112	YIR009W	MSL1	2.1
113	YCL032W	STE50	2.1
114	YJL030W	MAD2	2.1
115	YER092W	IES5	2.1
116	YFR003C	YPI1	2.1
117	YKL002W	DID4	2.1
118	YPL196W	OXR1	2.1
119	YDL113C	ATG20	2.1
120	YDR183W	PLP1	2.1
121	YDR058C	TGL2	2.1
