SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: ALY1

Rank	Gene	Common	Score
Q	YKR021W	ALY1	
1	YKL020C	SPT23	2.8
2	YKL010C	UFD4	2.8
3	YNL183C	NPR1	2.7
4	YKL121W	DGR2	2.7
5	YLR240W	VPS34	2.7
6	YLR371W	ROM2	2.7
7	YLR425W	TUS1	2.7
8	YJL084C	ALY2	2.6
9	YKR089C	TGL4	2.6
10	YJL047C	RTT101	2.6
11	YLR189C	ATG26	2.6
12	YJR091C	JSN1	2.5
13	YLR247C	IRC20	2.5
14	YNL127W	FAR11	2.5
15	YOR329C	SCD5	2.5
16	YOL138C	RTC1	2.5
17	YOL063C	CRT10	2.5
18	YOR035C	SHE4	2.5
19	YBL101C	ECM21	2.4
20	YKL064W	MNR2	2.4
21	YML117W	NAB6	2.4
22	YJR138W	IML1	2.4
23	YJL141C	YAK1	2.4
24	YOR363C	PIP2	2.4
25	YOL100W	PKH2	2.4
26	YMR275C	BUL1	2.4
27	YLL015W	BPT1	2.4
28	YKL034W	TUL1	2.4
29	YOR227W	HER1	2.4
30	YJR090C	GRR1	2.4
31	YPR026W	ATH1	2.4
32	YLL019C	KNS1	2.4
33	YOR138C	RUP1	2.4
34	YLR246W	ERF2	2.4
35	YKL213C	DOA1	2.4
36	YKL124W	SSH4	2.4
37	YNL101W	AVT4	2.4
38	YIL146C	ATG32	2.4
39	YDR350C	ATP22	2.4
40	YKL017C	HCS1	2.4
41	YAL051W	OAF1	2.4
42	YLL029W	FRA1	2.4
43	YAL034C	FUN19	2.4
44	YLR362W	STE11	2.4
45	YER144C	UBP5	2.4
46	YMR278W	PRM15	2.4
47	YDR425W	SNX41	2.4
48	YLR219W	MSC3	2.4
49	YKL022C	CDC16	2.4
50	YOR256C	TRE2	2.4
51	YDR028C	REG1	2.4
52	YDR128W	MTC5	2.4
53	YMR064W	AEP1	2.3
54	YNL297C	MON2	2.3
55	YLR270W	DCS1	2.3
56	YKL188C	PXA2	2.3
57	YDR421W	ARO80	2.3
