SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: DAL80

Rank	Gene	Common	Score
Q	YKR034W	DAL80	
1	YJR152W	DAL5	3.1
2	YNL142W	MEP2	3.1
3	YIR027C	DAL1	3.0
4	YLR142W	PUT1	2.9
5	YIR032C	DAL3	2.9
6	YKR039W	GAP1	2.8
7	YIR028W	DAL4	2.8
8	YIR029W	DAL2	2.8
9	YIR031C	DAL7	2.7
10	YDL210W	UGA4	2.6
11	YDR242W	AMD2	2.5
12	YHL016C	DUR3	2.5
13	YOR348C	PUT4	2.5
14	YBL049W	MOH1	2.5
15	YPL054W	LEE1	2.4
16	YEL063C	CAN1	2.3
17	YFR023W	PES4	2.3
18	YFL021W	GAT1	2.3
19	YDL169C	UGX2	2.3
20	YDR218C	SPR28	2.3
21	YGL170C	SPO74	2.3
22	YLR299W	ECM38	2.3
23	YHR160C	PEX18	2.3
24	YJL037W	IRC18	2.3
25	YPR193C	HPA2	2.3
26	YJR078W	BNA2	2.3
27	YJL172W	CPS1	2.3
28	YPR194C	OPT2	2.3
29	YDL024C	DIA3	2.3
30	YAL062W	GDH3	2.3
31	YGL259W	YPS5	2.2
32	YMR107W	SPG4	2.2
33	YNL117W	MLS1	2.2
34	YLR246W	ERF2	2.2
35	YPR151C	SUE1	2.2
36	YGR087C	PDC6	2.2
37	YGR059W	SPR3	2.2
38	YIR030C	DCG1	2.2
39	YEL039C	CYC7	2.2
40	YGR161C	RTS3	2.2
41	YMR170C	ALD2	2.2
42	YOR003W	YSP3	2.2
43	YLL060C	GTT2	2.2
44	YBR294W	SUL1	2.2
45	YOL119C	MCH4	2.2
46	YHR015W	MIP6	2.2
47	YIL146C	ATG32	2.2
48	YNL101W	AVT4	2.2
49	YBL078C	ATG8	2.2
50	YMR088C	VBA1	2.2
51	YOR177C	MPC54	2.2
52	YML042W	CAT2	2.2
53	YKL062W	MSN4	2.2
54	YDR446W	ECM11	2.2
55	YPL223C	GRE1	2.2
56	YDR523C	SPS1	2.2
57	YGL121C	GPG1	2.2
58	YPL186C	UIP4	2.2
59	YJL038C	LOH1	2.2
60	YOR255W	OSW1	2.2
61	YBR076W	ECM8	2.1
62	YGL156W	AMS1	2.1
63	YNL183C	NPR1	2.1
64	YGL184C	STR3	2.1
65	YJR130C	STR2	2.1
66	YNL093W	YPT53	2.1
67	YOL128C	YGK3	2.1
68	YAR020C	PAU7	2.1
69	YKL218C	SRY1	2.1
70	YHR096C	HXT5	2.1
71	YHR028C	DAP2	2.1
72	YMR017W	SPO20	2.1
73	YCL048W	SPS22	2.1
74	YKR076W	ECM4	2.1
75	YGR121C	MEP1	2.1
76	YOR100C	CRC1	2.1
77	YLR004C	THI73	2.1
78	YLR205C	HMX1	2.1
79	YPL033C	SRL4	2.1
80	YGR019W	UGA1	2.1
81	YMR271C	URA10	2.1
82	YEL072W	RMD6	2.1
83	YDR481C	PHO8	2.1
84	YIL164C	NIT1	2.1
85	YDR533C	HSP31	2.1
86	YKL103C	APE1	2.1
87	YEL066W	HPA3	2.1
88	YDL085W	NDE2	2.1
89	YBR072W	HSP26	2.1
90	YGR248W	SOL4	2.1
91	YER054C	GIP2	2.1
92	YIL099W	SGA1	2.1
93	YDL021W	GPM2	2.1
94	YMR219W	ESC1	2.1
95	YNL128W	TEP1	2.1
96	YDR043C	NRG1	2.0
97	YMR195W	ICY1	2.0
98	YMR020W	FMS1	2.0
99	YPL213W	LEA1	2.0
100	YDL231C	BRE4	2.0
101	YLL046C	RNP1	2.0
102	YIL046W	MET30	2.0
103	YKR049C	FMP46	2.0
104	YPL027W	SMA1	2.0
105	YOL084W	PHM7	2.0
106	YKL086W	SRX1	2.0
107	YPL171C	OYE3	2.0
108	YJR095W	SFC1	2.0
109	YGR225W	AMA1	2.0
110	YLR307W	CDA1	2.0
111	YAL061W	BDH2	2.0
112	YHL028W	WSC4	2.0
113	YOR178C	GAC1	2.0
114	YNL318C	HXT14	2.0
115	YAR035W	YAT1	2.0
116	YGL258W	VEL1	2.0
117	YKL221W	MCH2	2.0
118	YDL239C	ADY3	2.0
119	YLR308W	CDA2	2.0
120	YGR236C	SPG1	2.0
121	YDL238C	GUD1	2.0
122	YDR403W	DIT1	2.0
123	YPR001W	CIT3	2.0
124	YEL035C	UTR5	2.0
125	YCL026C-A	FRM2	2.0
126	YHR176W	FMO1	2.0
127	YIR017C	MET28	2.0
128	YOR031W	CRS5	2.0
129	YER096W	SHC1	2.0
130	YJR155W	AAD10	2.0
131	YBR147W	RTC2	2.0
132	YEL060C	PRB1	2.0
133	YKL142W	MRP8	2.0
134	YIL111W	COX5B	2.0
135	YJL153C	INO1	2.0
136	YOR120W	GCY1	2.0
137	YKL163W	PIR3	2.0
138	YMR175W	SIP18	2.0
139	YOR313C	SPS4	2.0
140	YDL059C	RAD59	2.0
141	YOR032C	HMS1	2.0
142	YDR171W	HSP42	2.0
143	YER024W	YAT2	2.0
144	YHR029C	YHI9	2.0
145	YER106W	MAM1	2.0
146	YLL057C	JLP1	2.0
147	YBR240C	THI2	2.0
148	YJR158W	HXT16	2.0
149	YDR070C	FMP16	2.0
150	YOR173W	DCS2	2.0
151	YAL054C	ACS1	2.0
152	YIL037C	PRM2	2.0
153	YOL052C-A	DDR2	2.0
154	YOL132W	GAS4	2.0
155	YCL025C	AGP1	2.0
156	YNR002C	ATO2	2.0
157	YGR256W	GND2	2.0
158	YBR148W	YSW1	2.0
159	YGR043C	NQM1	2.0
160	YHR037W	PUT2	2.0
161	YIL045W	PIG2	2.0
162	YPL265W	DIP5	2.0
163	YDR059C	UBC5	2.0
164	YDL223C	HBT1	2.0
165	YKR021W	ALY1	2.0
166	YMR174C	PAI3	2.0
167	YIL136W	OM45	2.0
168	YPL123C	RNY1	2.0
169	YGL248W	PDE1	2.0
170	YKR046C	PLN1	2.0
171	YEL049W	PAU2	2.0
172	YHR139C	SPS100	2.0
173	YPR007C	REC8	2.0
174	YPL222W	FMP40	2.0
175	YBR006W	UGA2	2.0
176	YBR180W	DTR1	2.0
177	YLR054C	OSW2	2.0
178	YFR046C	CNN1	2.0
179	YNL125C	ESBP6	1.9
180	YHL036W	MUP3	1.9
181	YGL205W	POX1	1.9
182	YPL087W	YDC1	1.9
183	YHR185C	PFS1	1.9
184	YHL024W	RIM4	1.9
185	YDR402C	DIT2	1.9
186	YER037W	PHM8	1.9
187	YNR057C	BIO4	1.9
188	YNL196C	SLZ1	1.9
189	YML054C	CYB2	1.9
190	YJL089W	SIP4	1.9
191	YCR020C	PET18	1.9
192	YIL088C	AVT7	1.9
193	YOR237W	HES1	1.9
194	YIL160C	POT1	1.9
195	YDR001C	NTH1	1.9
196	YNL314W	DAL82	1.9
197	YLR213C	CRR1	1.9
198	YIL050W	PCL7	1.9
199	YPR061C	JID1	1.9
200	YBR169C	SSE2	1.9
201	YEL011W	GLC3	1.9
202	YJR150C	DAN1	1.9
203	YNL014W	HEF3	1.9
204	YCR083W	TRX3	1.9
205	YLL055W	YCT1	1.9
206	YBR040W	FIG1	1.9
207	YBL075C	SSA3	1.9
208	YBL064C	PRX1	1.9
209	YIL097W	FYV10	1.9
210	YML118W	NGL3	1.9
211	YFL030W	AGX1	1.9
212	YNL009W	IDP3	1.9
213	YFL014W	HSP12	1.9
214	YLR284C	ECI1	1.9
215	YAL034C	FUN19	1.9
216	YJL161W	FMP33	1.9
217	YKL159C	RCN1	1.9
218	YFL020C	PAU5	1.9
219	YLR189C	ATG26	1.9
220	YMR191W	SPG5	1.9
221	YDR253C	MET32	1.9
222	YCR104W	PAU3	1.9
223	YJL060W	BNA3	1.9
224	YML066C	SMA2	1.9
225	YPL130W	SPO19	1.9
226	YBR045C	GIP1	1.9
227	YPL187W	MF(ALPHA)1	1.9
228	YBR250W	SPO23	1.9
229	YOL082W	ATG19	1.9
230	YJR103W	URA8	1.9
231	YNL269W	BSC4	1.9
232	YPL177C	CUP9	1.9
233	YAL067C	SEO1	1.9
234	YPR167C	MET16	1.9
235	YGR032W	GSC2	1.9
236	YDL243C	AAD4	1.9
237	YDR540C	IRC4	1.9
238	YJR148W	BAT2	1.9
239	YNL223W	ATG4	1.9
240	YLR097C	HRT3	1.9
241	YGL045W	RIM8	1.9
242	YNL202W	SPS19	1.9
243	YPL214C	THI6	1.9
244	YKL124W	SSH4	1.9
245	YGL219C	MDM34	1.9
246	YPL154C	PEP4	1.9
247	YBR050C	REG2	1.9
248	YLR178C	TFS1	1.9
249	YOL126C	MDH2	1.9
250	YOR185C	GSP2	1.9
251	YDR522C	SPS2	1.9
252	YPL280W	HSP32	1.9
253	YLR267W	BOP2	1.9
254	YIL107C	PFK26	1.9
255	YIL155C	GUT2	1.9
256	YGL053W	PRM8	1.9
257	YMR280C	CAT8	1.9
258	YGL183C	MND1	1.9
259	YLR037C	PAU23	1.9
260	YJL155C	FBP26	1.9
261	YKR097W	PCK1	1.9
262	YLR461W	PAU4	1.9
263	YEL012W	UBC8	1.9
264	YDL204W	RTN2	1.9
265	YPL121C	MEI5	1.9
266	YIL071C	PCI8	1.9
267	YER150W	SPI1	1.9
268	YFR027W	ECO1	1.9
269	YMR322C	SNO4	1.9
270	YER053C	PIC2	1.9
271	YOL044W	PEX15	1.9
272	YDR358W	GGA1	1.9
273	YDL234C	GYP7	1.9
274	YFL011W	HXT10	1.9
275	YNL277W	MET2	1.9
276	YLR134W	PDC5	1.9
277	YMR101C	SRT1	1.9
278	YNL015W	PBI2	1.9
279	YCL052C	PBN1	1.9
280	YER162C	RAD4	1.9
281	YIR038C	GTT1	1.9
282	YMR169C	ALD3	1.9
283	YMR030W	RSF1	1.9
284	YDR461W	MFA1	1.9
285	YLR377C	FBP1	1.9
286	YKL189W	HYM1	1.9
287	YKL026C	GPX1	1.9
288	YLR438W	CAR2	1.9
289	YGR154C	GTO1	1.9
290	YOR036W	PEP12	1.9
291	YER103W	SSA4	1.8
