SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SPC34

Rank	Gene	Common	Score
Q	YKR037C	SPC34	
1	YGR099W	TEL2	2.5
2	YKR038C	KAE1	2.3
3	YJL173C	RFA3	2.3
4	YKL049C	CSE4	2.3
5	YPL127C	HHO1	2.2
6	YLR045C	STU2	2.2
7	YJR144W	MGM101	2.2
8	YOR026W	BUB3	2.2
9	YPL124W	SPC29	2.2
10	YKR068C	BET3	2.2
11	YKR087C	OMA1	2.2
12	YNL166C	BNI5	2.2
13	YGL174W	BUD13	2.2
14	YJL092W	SRS2	2.1
15	YML109W	ZDS2	2.1
16	YLR268W	SEC22	2.1
17	YMR048W	CSM3	2.1
18	YML112W	CTK3	2.1
19	YKL089W	MIF2	2.1
20	YOL149W	DCP1	2.1
21	YLL002W	RTT109	2.1
22	YJR076C	CDC11	2.1
23	YDR113C	PDS1	2.1
24	YOL102C	TPT1	2.1
25	YNL312W	RFA2	2.1
26	YKR101W	SIR1	2.1
27	YOL012C	HTZ1	2.1
28	YGL093W	SPC105	2.1
29	YDR480W	DIG2	2.1
30	YMR022W	UBC7	2.1
31	YHR110W	ERP5	2.1
32	YAR008W	SEN34	2.1
33	YOR368W	RAD17	2.1
34	YLR066W	SPC3	2.1
35	YMR112C	MED11	2.0
36	YKL112W	ABF1	2.0
37	YJL187C	SWE1	2.0
38	YJL024C	APS3	2.0
39	YBR010W	HHT1	2.0
40	YKR001C	VPS1	2.0
41	YOR075W	UFE1	2.0
42	YCR086W	CSM1	2.0
43	YKL119C	VPH2	2.0
44	YLR183C	TOS4	2.0
45	YLR078C	BOS1	2.0
46	YJR006W	POL31	2.0
47	YJR118C	ILM1	2.0
48	YOL088C	MPD2	2.0
49	YDL018C	ERP3	2.0
50	YOR039W	CKB2	2.0
51	YKR055W	RHO4	2.0
52	YKL045W	PRI2	2.0
53	YNL126W	SPC98	2.0
54	YML021C	UNG1	2.0
55	YKL206C	ADD66	2.0
56	YKL113C	RAD27	2.0
57	YLR376C	PSY3	2.0
58	YGR262C	BUD32	2.0
59	YDR016C	DAD1	2.0
60	YPR141C	KAR3	2.0
61	YDL101C	DUN1	2.0
62	YJR057W	CDC8	2.0
63	YLR288C	MEC3	2.0
64	YFL017C	GNA1	2.0
65	YPL227C	ALG5	2.0
66	YAL033W	POP5	2.0
67	YNL225C	CNM67	2.0
68	YKL130C	SHE2	2.0
69	YOR115C	TRS33	2.0
70	YKR004C	ECM9	2.0
71	YJL030W	MAD2	2.0
72	YLR103C	CDC45	2.0
73	YGR113W	DAM1	2.0
74	YNR010W	CSE2	2.0
75	YDR224C	HTB1	2.0
76	YBL003C	HTA2	2.0
77	YOR195W	SLK19	2.0
78	YNL222W	SSU72	2.0
79	YKR020W	VPS51	2.0
80	YPR120C	CLB5	2.0
81	YBR160W	CDC28	2.0
82	YMR077C	VPS20	2.0
83	YLR102C	APC9	2.0
84	YHR153C	SPO16	2.0
85	YEL061C	CIN8	2.0
86	YLR373C	VID22	2.0
87	YLR246W	ERF2	2.0
88	YMR228W	MTF1	1.9
89	YLL031C	GPI13	1.9
90	YLR424W	SPP382	1.9
91	YMR270C	RRN9	1.9
92	YJL013C	MAD3	1.9
93	YNL263C	YIF1	1.9
94	YNL051W	COG5	1.9
95	YNL330C	RPD3	1.9
96	YJR050W	ISY1	1.9
97	YOR284W	HUA2	1.9
98	YKL196C	YKT6	1.9
99	YMR055C	BUB2	1.9
100	YPL065W	VPS28	1.9
101	YLR105C	SEN2	1.9
102	YKL170W	MRPL38	1.9
103	YMR021C	MAC1	1.9
104	YKL168C	KKQ8	1.9
105	YOR016C	ERP4	1.9
106	YGL200C	EMP24	1.9
107	YBR243C	ALG7	1.9
108	YGR135W	PRE9	1.9
109	YDR201W	SPC19	1.9
110	YCL016C	DCC1	1.9
111	YBR088C	POL30	1.9
112	YIL131C	FKH1	1.9
113	YPR017C	DSS4	1.9
114	YJL091C	GWT1	1.9
115	YMR127C	SAS2	1.9
116	YBL002W	HTB2	1.9
117	YLR210W	CLB4	1.9
118	YLR272C	YCS4	1.9
119	YMR076C	PDS5	1.9
120	YDL003W	MCD1	1.9
121	YLL022C	HIF1	1.9
122	YKL058W	TOA2	1.9
123	YNL310C	ZIM17	1.9
124	YML012W	ERV25	1.9
125	YML041C	VPS71	1.9
126	YML085C	TUB1	1.9
127	YDL064W	UBC9	1.9
128	YAR007C	RFA1	1.9
129	YOL146W	PSF3	1.9
130	YKL040C	NFU1	1.9
131	YMR028W	TAP42	1.9
132	YML001W	YPT7	1.9
133	YDR356W	SPC110	1.9
134	YBL031W	SHE1	1.9
135	YML061C	PIF1	1.9
136	YMR029C	FAR8	1.9
137	YJL059W	YHC3	1.9
138	YIL063C	YRB2	1.9
139	YGR179C	OKP1	1.9
140	YMR236W	TAF9	1.9
141	YGL065C	ALG2	1.9
142	YLR360W	VPS38	1.9
143	YNL188W	KAR1	1.9
144	YNL031C	HHT2	1.9
145	YJR032W	CPR7	1.9
146	YKR010C	TOF2	1.9
147	YBL040C	ERD2	1.9
148	YBL063W	KIP1	1.9
149	YDR503C	LPP1	1.9
150	YKR002W	PAP1	1.9
151	YPL208W	RKM1	1.9
