SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: GLG1

Rank	Gene	Common	Score
Q	YKR058W	GLG1	
1	YEL011W	GLC3	4.1
2	YLR258W	GSY2	3.9
3	YER054C	GIP2	3.8
4	YPL186C	UIP4	3.8
5	YOR173W	DCS2	3.8
6	YMR105C	PGM2	3.7
7	YFR015C	GSY1	3.7
8	YJL141C	YAK1	3.7
9	YCR091W	KIN82	3.7
10	YIL136W	OM45	3.7
11	YPL230W	USV1	3.7
12	YDR358W	GGA1	3.7
13	YMR250W	GAD1	3.6
14	YOR120W	GCY1	3.6
15	YDL204W	RTN2	3.6
16	YGR008C	STF2	3.6
17	YGR248W	SOL4	3.6
18	YML100W	TSL1	3.6
19	YLR251W	SYM1	3.6
20	YPR026W	ATH1	3.5
21	YPR184W	GDB1	3.5
22	YML128C	MSC1	3.5
23	YOR178C	GAC1	3.5
24	YPL203W	TPK2	3.4
25	YDR074W	TPS2	3.4
26	YJL155C	FBP26	3.4
27	YPL123C	RNY1	3.4
28	YDR085C	AFR1	3.4
29	YBR214W	SDS24	3.4
30	YIL036W	CST6	3.4
31	YJL164C	TPK1	3.4
32	YKR076W	ECM4	3.4
33	YGR070W	ROM1	3.4
34	YDR171W	HSP42	3.4
35	YIL045W	PIG2	3.3
36	YMR081C	ISF1	3.3
37	YKR067W	GPT2	3.3
38	YER053C	PIC2	3.3
39	YDR096W	GIS1	3.3
40	YLR327C	TMA10	3.3
41	YIL017C	VID28	3.3
42	YJL161W	FMP33	3.3
43	YAL061W	BDH2	3.3
44	YBR298C	MAL31	3.3
45	YIL101C	XBP1	3.3
46	YDL110C	TMA17	3.3
47	YIL097W	FYV10	3.3
48	YJL057C	IKS1	3.3
49	YJR059W	PTK2	3.3
50	YPR160W	GPH1	3.3
51	YMR110C	HFD1	3.3
52	YHR195W	NVJ1	3.3
53	YBR169C	SSE2	3.3
54	YGR194C	XKS1	3.3
55	YKL124W	SSH4	3.2
56	YEL039C	CYC7	3.2
57	YGL037C	PNC1	3.2
58	YGR088W	CTT1	3.2
59	YGL227W	VID30	3.2
60	YLR178C	TFS1	3.2
61	YCL040W	GLK1	3.2
62	YJR036C	HUL4	3.2
63	YDR516C	EMI2	3.2
64	YKL093W	MBR1	3.2
65	YAL028W	FRT2	3.2
66	YAL034C	FUN19	3.2
67	YPL004C	LSP1	3.2
68	YIL107C	PFK26	3.2
69	YKL026C	GPX1	3.2
70	YLL026W	HSP104	3.2
71	YLR270W	DCS1	3.2
72	YIL113W	SDP1	3.2
73	YNL274C	GOR1	3.2
74	YDR070C	FMP16	3.1
75	YMR271C	URA10	3.1
76	YDR258C	HSP78	3.1
77	YNL173C	MDG1	3.1
78	YOL082W	ATG19	3.1
79	YKL188C	PXA2	3.1
80	YHR087W	RTC3	3.1
81	YKL091C	YKL091C	3.1
82	YBR280C	SAF1	3.1
83	YKL035W	UGP1	3.1
84	YOR054C	VHS3	3.1
85	YBR126C	TPS1	3.1
86	YDL169C	UGX2	3.1
87	YMR139W	RIM11	3.1
88	YDR231C	COX20	3.1
89	YOL084W	PHM7	3.1
90	YOR374W	ALD4	3.1
91	YNR002C	ATO2	3.1
92	YPL196W	OXR1	3.1
93	YML042W	CAT2	3.1
94	YLR219W	MSC3	3.1
95	YBR230C	OM14	3.0
96	YHL021C	AIM17	3.0
97	YMR169C	ALD3	3.0
98	YHR016C	YSC84	3.0
99	YML054C	CYB2	3.0
100	YBR183W	YPC1	3.0
101	YHR161C	YAP1801	3.0
102	YPR030W	CSR2	3.0
103	YOR386W	PHR1	3.0
104	YKL121W	DGR2	3.0
105	YGL096W	TOS8	3.0
106	YDR479C	PEX29	3.0
107	YKL142W	MRP8	3.0
108	YDR202C	RAV2	3.0
109	YDL079C	MRK1	3.0
110	YDR001C	NTH1	3.0
111	YMR053C	STB2	3.0
112	YLR080W	EMP46	3.0
113	YHR171W	ATG7	3.0
114	YNL223W	ATG4	3.0
115	YKL150W	MCR1	3.0
116	YML120C	NDI1	3.0
117	YIL155C	GUT2	3.0
118	YPL003W	ULA1	3.0
119	YKL168C	KKQ8	3.0
120	YKR049C	FMP46	3.0
121	YLR151C	PCD1	3.0
122	YBR147W	RTC2	3.0
123	YGR289C	MAL11	3.0
124	YHR104W	GRE3	3.0
125	YDL085W	NDE2	3.0
126	YKL193C	SDS22	3.0
127	YFR053C	HXK1	2.9
128	YKL065C	YET1	2.9
129	YGL059W	PKP2	2.9
130	YMR135C	GID8	2.9
131	YBR001C	NTH2	2.9
132	YAL060W	BDH1	2.9
133	YJL066C	MPM1	2.9
134	YPR155C	NCA2	2.9
135	YMR174C	PAI3	2.9
136	YDL021W	GPM2	2.9
137	YEL012W	UBC8	2.9
138	YDR436W	PPZ2	2.9
139	YLR284C	ECI1	2.9
140	YOL032W	OPI10	2.9
141	YDL194W	SNF3	2.9
142	YKL085W	MDH1	2.9
143	YMR104C	YPK2	2.9
144	YLL019C	KNS1	2.9
145	YGR043C	NQM1	2.9
146	YPL054W	LEE1	2.9
147	YFR014C	CMK1	2.9
148	YDR513W	GRX2	2.9
149	YJL103C	GSM1	2.9
150	YGL121C	GPG1	2.9
151	YGR019W	UGA1	2.9
152	YDR277C	MTH1	2.9
153	YDL091C	UBX3	2.9
154	YBL064C	PRX1	2.9
155	YOR036W	PEP12	2.9
156	YGL006W	PMC1	2.9
157	YDL234C	GYP7	2.9
158	YIL099W	SGA1	2.9
159	YNL159C	ASI2	2.9
160	YBL078C	ATG8	2.9
161	YMR152W	YIM1	2.9
162	YER020W	GPA2	2.9
163	YOL052C-A	DDR2	2.9
164	YIL124W	AYR1	2.9
165	YPR151C	SUE1	2.9
166	YGR243W	MPC3	2.9
167	YJL036W	SNX4	2.8
168	YCL052C	PBN1	2.8
169	YIL111W	COX5B	2.8
170	YNR007C	ATG3	2.8
171	YMR311C	GLC8	2.8
172	YOL117W	RRI2	2.8
173	YGL156W	AMS1	2.8
174	YPL100W	ATG21	2.8
175	YAL017W	PSK1	2.8
176	YKL189W	HYM1	2.8
177	YEL005C	VAB2	2.8
178	YKL062W	MSN4	2.8
179	YBR149W	ARA1	2.8
180	YDL223C	HBT1	2.8
181	YJL137C	GLG2	2.8
182	YDL019C	OSH2	2.8
183	YGL208W	SIP2	2.8
184	YGR143W	SKN1	2.8
185	YDR148C	KGD2	2.8
186	YDR003W	RCR2	2.8
187	YNL125C	ESBP6	2.8
188	YLR201C	COQ9	2.8
189	YPL147W	PXA1	2.8
190	YMR170C	ALD2	2.8
191	YLL041C	SDH2	2.8
192	YDL113C	ATG20	2.8
193	YBR132C	AGP2	2.8
194	YNR045W	PET494	2.8
195	YNL237W	YTP1	2.8
196	YDR255C	RMD5	2.8
197	YDR330W	UBX5	2.8
