SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: TFA2

Rank	Gene	Common	Score
Q	YKR062W	TFA2	
1	YLR250W	SSP120	2.5
2	YGL091C	NBP35	2.4
3	YKR014C	YPT52	2.3
4	YBR236C	ABD1	2.3
5	YMR197C	VTI1	2.3
6	YKL041W	VPS24	2.3
7	YKR084C	HBS1	2.3
8	YDR272W	GLO2	2.3
9	YBR272C	HSM3	2.2
10	YLR421C	RPN13	2.2
11	YKL007W	CAP1	2.2
12	YJL036W	SNX4	2.2
13	YOR261C	RPN8	2.2
14	YNL265C	IST1	2.2
15	YKL145W	RPT1	2.2
16	YBL050W	SEC17	2.2
17	YGL011C	SCL1	2.2
18	YGL048C	RPT6	2.2
19	YHR012W	VPS29	2.2
20	YKL094W	YJU3	2.2
21	YDR168W	CDC37	2.2
22	YOR244W	ESA1	2.1
23	YGR253C	PUP2	2.1
24	YMR029C	FAR8	2.1
25	YDL147W	RPN5	2.1
26	YKL012W	PRP40	2.1
27	YCR009C	RVS161	2.1
28	YBR290W	BSD2	2.1
29	YGL252C	RTG2	2.1
30	YOR089C	VPS21	2.1
31	YGR048W	UFD1	2.1
32	YDR460W	TFB3	2.1
33	YDR423C	CAD1	2.1
34	YDL097C	RPN6	2.1
35	YPR025C	CCL1	2.1
36	YOR036W	PEP12	2.1
37	YOR069W	VPS5	2.1
38	YKL040C	NFU1	2.1
39	YDL115C	IWR1	2.1
40	YFR010W	UBP6	2.1
41	YGL095C	VPS45	2.1
42	YMR097C	MTG1	2.1
43	YLR025W	SNF7	2.1
44	YBR200W	BEM1	2.1
45	YDR394W	RPT3	2.1
46	YMR028W	TAP42	2.1
47	YOR075W	UFE1	2.1
48	YMR004W	MVP1	2.1
49	YPR180W	AOS1	2.1
50	YLR387C	REH1	2.0
51	YJR099W	YUH1	2.0
52	YOR057W	SGT1	2.0
53	YNL215W	IES2	2.0
54	YDR289C	RTT103	2.0
55	YKR063C	LAS1	2.0
56	YCR036W	RBK1	2.0
57	YOR117W	RPT5	2.0
58	YFR004W	RPN11	2.0
59	YOL133W	HRT1	2.0
60	YBL041W	PRE7	2.0
61	YPL213W	LEA1	2.0
62	YOL044W	PEX15	2.0
63	YLR191W	PEX13	2.0
64	YNL084C	END3	2.0
65	YDR392W	SPT3	2.0
66	YGR028W	MSP1	2.0
67	YDR427W	RPN9	2.0
68	YDR202C	RAV2	2.0
69	YLR107W	REX3	2.0
70	YLR097C	HRT3	2.0
71	YOR035C	SHE4	2.0
72	YJL053W	PEP8	2.0
73	YJL155C	FBP26	2.0
74	YDL007W	RPT2	2.0
75	YKL065C	YET1	2.0
76	YJR050W	ISY1	2.0
77	YKL002W	DID4	2.0
78	YOR245C	DGA1	2.0
79	YJR068W	RFC2	2.0
80	YHR090C	YNG2	2.0
81	YIL010W	DOT5	2.0
82	YDL006W	PTC1	2.0
83	YER142C	MAG1	2.0
84	YKL196C	YKT6	2.0
85	YGL098W	USE1	2.0
86	YPL138C	SPP1	2.0
87	YGL058W	RAD6	2.0
88	YCL052C	PBN1	2.0
89	YKL190W	CNB1	2.0
90	YMR115W	MGR3	2.0
91	YDL113C	ATG20	2.0
92	YCR002C	CDC10	2.0
93	YMR255W	GFD1	2.0
94	YJR062C	NTA1	2.0
95	YEL012W	UBC8	2.0
96	YOR259C	RPT4	2.0
97	YDL103C	QRI1	2.0
98	YKR066C	CCP1	2.0
99	YPR086W	SUA7	2.0
100	YJL031C	BET4	2.0
101	YMR091C	NPL6	2.0
102	YKR068C	BET3	2.0
103	YIR011C	STS1	2.0
104	YLR309C	IMH1	2.0
105	YLR093C	NYV1	2.0
106	YJL003W	COX16	2.0
107	YKL114C	APN1	2.0
108	YGL248W	PDE1	2.0
109	YKL013C	ARC19	2.0
110	YDL045C	FAD1	2.0
111	YGL130W	CEG1	2.0
112	YPR178W	PRP4	2.0
113	YKL034W	TUL1	2.0
114	YKL142W	MRP8	2.0
115	YDR486C	VPS60	2.0
116	YMR314W	PRE5	2.0
117	YLR248W	RCK2	2.0
118	YMR039C	SUB1	2.0
119	YGR002C	SWC4	2.0
120	YOR042W	CUE5	2.0
121	YDR329C	PEX3	2.0
122	YER161C	SPT2	2.0
123	YDR204W	COQ4	2.0
124	YKL214C	YRA2	2.0
125	YER012W	PRE1	2.0
126	YBL078C	ATG8	2.0
127	YPL120W	VPS30	2.0
128	YOR367W	SCP1	2.0
129	YLR270W	DCS1	1.9
130	YOL018C	TLG2	1.9
131	YKR022C	NTR2	1.9
132	YJR125C	ENT3	1.9
133	YBR026C	ETR1	1.9
134	YCR019W	MAK32	1.9
135	YDR162C	NBP2	1.9
136	YMR020W	FMS1	1.9
137	YOL013C	HRD1	1.9
138	YKR020W	VPS51	1.9
139	YKL117W	SBA1	1.9
140	YJR051W	OSM1	1.9
141	YDL168W	SFA1	1.9
142	YBR273C	UBX7	1.9
143	YCL035C	GRX1	1.9
144	YHR110W	ERP5	1.9
145	YKR071C	DRE2	1.9
146	YOR124C	UBP2	1.9
147	YPL203W	TPK2	1.9
148	YPR023C	EAF3	1.9
149	YJR049C	UTR1	1.9
150	YER048C	CAJ1	1.9
151	YOR157C	PUP1	1.9
152	YDR463W	STP1	1.9
153	YKR064W	OAF3	1.9
154	YLL006W	MMM1	1.9
155	YLL039C	UBI4	1.9
156	YOR115C	TRS33	1.9
157	YNR007C	ATG3	1.9
158	YGL047W	ALG13	1.9
159	YKL179C	COY1	1.9
160	YDL065C	PEX19	1.9
161	YDR435C	PPM1	1.9
162	YKL218C	SRY1	1.9
163	YDR468C	TLG1	1.9
164	YPL091W	GLR1	1.9
165	YPR108W	RPN7	1.9
166	YBR111C	YSA1	1.9
167	YBR256C	RIB5	1.9
168	YBR057C	MUM2	1.9
169	YFR050C	PRE4	1.9
170	YLR102C	APC9	1.9
171	YOR257W	CDC31	1.9
172	YLR216C	CPR6	1.9
173	YGL002W	ERP6	1.9
174	YGR135W	PRE9	1.9
175	YKR002W	PAP1	1.9
176	YML070W	DAK1	1.9
177	YMR170C	ALD2	1.9
178	YDR054C	CDC34	1.9
179	YGR223C	HSV2	1.9
180	YOR132W	VPS17	1.9
181	YML121W	GTR1	1.9
182	YMR077C	VPS20	1.9
183	YMR052W	FAR3	1.9
184	YGR167W	CLC1	1.9
185	YGL004C	RPN14	1.9
186	YKL003C	MRP17	1.9
187	YNL310C	ZIM17	1.9
188	YMR021C	MAC1	1.9
189	YOL108C	INO4	1.9
190	YOR275C	RIM20	1.9
191	YMR188C	MRPS17	1.9
192	YBR199W	KTR4	1.9
193	YLR085C	ARP6	1.9
194	YKL064W	MNR2	1.9
195	YDL225W	SHS1	1.9
196	YBL058W	SHP1	1.9
197	YPL159C	PET20	1.9
198	YOR213C	SAS5	1.9
199	YKL159C	RCN1	1.9
200	YGR009C	SEC9	1.9
201	YDL002C	NHP10	1.9
202	YBR077C	SLM4	1.9
203	YBR151W	APD1	1.9
204	YOR171C	LCB4	1.9
205	YBR006W	UGA2	1.9
206	YKR030W	GMH1	1.9
207	YMR311C	GLC8	1.9
208	YAL015C	NTG1	1.9
209	YPR073C	LTP1	1.9
210	YKL126W	YPK1	1.9
211	YKL119C	VPH2	1.9
212	YHL002W	HSE1	1.9
213	YPR107C	YTH1	1.9
214	YMR156C	TPP1	1.9
215	YLR226W	BUR2	1.9
216	YDL098C	SNU23	1.9
217	YBR170C	NPL4	1.9
218	YIL036W	CST6	1.9
219	YGL174W	BUD13	1.9
220	YEL051W	VMA8	1.9
221	YKL149C	DBR1	1.9
222	YMR044W	IOC4	1.9
223	YDR294C	DPL1	1.9
224	YKR088C	TVP38	1.9
225	YER148W	SPT15	1.9
226	YJL057C	IKS1	1.9
227	YPL214C	THI6	1.9
228	YMR064W	AEP1	1.9
229	YDR059C	UBC5	1.9
230	YMR022W	UBC7	1.9
231	YGR267C	FOL2	1.9
232	YOL049W	GSH2	1.9
233	YMR283C	RIT1	1.9
234	YDL193W	NUS1	1.9
235	YER021W	RPN3	1.9
236	YOR189W	IES4	1.9
