SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: DRE2

Rank	Gene	Common	Score
Q	YKR071C	DRE2	
1	YKL120W	OAC1	3.2
2	YOR226C	ISU2	2.8
3	YMR108W	ILV2	2.7
4	YNL231C	PDR16	2.6
5	YPL239W	YAR1	2.6
6	YKL040C	NFU1	2.6
7	YHR208W	BAT1	2.5
8	YGL091C	NBP35	2.5
9	YER073W	ALD5	2.5
10	YPR048W	TAH18	2.5
11	YMR038C	CCS1	2.5
12	YKR026C	GCN3	2.5
13	YML116W	ATR1	2.5
14	YER148W	SPT15	2.5
15	YKL009W	MRT4	2.4
16	YKL106W	AAT1	2.4
17	YGL058W	RAD6	2.4
18	YNL064C	YDJ1	2.4
19	YML130C	ERO1	2.4
20	YJR046W	TAH11	2.4
21	YNL232W	CSL4	2.4
22	YHR179W	OYE2	2.4
23	YPL273W	SAM4	2.4
24	YGL009C	LEU1	2.4
25	YKR025W	RPC37	2.4
26	YJR016C	ILV3	2.4
27	YPR169W	JIP5	2.4
28	YDL168W	SFA1	2.4
29	YKL110C	KTI12	2.4
30	YPL202C	AFT2	2.4
31	YDR035W	ARO3	2.4
32	YBR256C	RIB5	2.4
33	YKL114C	APN1	2.3
34	YNL075W	IMP4	2.3
35	YKL021C	MAK11	2.3
36	YOL064C	MET22	2.3
37	YOR260W	GCD1	2.3
38	YLR276C	DBP9	2.3
39	YPR086W	SUA7	2.3
40	YJL014W	CCT3	2.3
41	YOR271C	FSF1	2.3
42	YBR068C	BAP2	2.3
43	YOR108W	LEU9	2.3
44	YOL119C	MCH4	2.3
45	YBL033C	RIB1	2.3
46	YOL097C	WRS1	2.3
47	YDR037W	KRS1	2.3
48	YHR069C	RRP4	2.3
49	YDR280W	RRP45	2.3
50	YKR060W	UTP30	2.3
51	YPL086C	ELP3	2.3
52	YDR165W	TRM82	2.3
53	YNL001W	DOM34	2.3
54	YER127W	LCP5	2.3
55	YPR060C	ARO7	2.3
56	YPR145W	ASN1	2.3
57	YPL237W	SUI3	2.3
58	YDR151C	CTH1	2.3
59	YHR148W	IMP3	2.3
60	YHR170W	NMD3	2.3
61	YBR155W	CNS1	2.3
62	YJR007W	SUI2	2.3
63	YGR267C	FOL2	2.2
64	YKL082C	RRP14	2.2
65	YJR032W	CPR7	2.2
66	YER049W	TPA1	2.2
67	YOL028C	YAP7	2.2
68	YKR081C	RPF2	2.2
69	YBR101C	FES1	2.2
70	YLR387C	REH1	2.2
71	YLR216C	CPR6	2.2
72	YER126C	NSA2	2.2
73	YPR110C	RPC40	2.2
74	YKL128C	PMU1	2.2
75	YDR184C	ATC1	2.2
76	YMR131C	RRB1	2.2
77	YMR177W	MMT1	2.2
78	YIL003W	CFD1	2.2
79	YLR003C	CMS1	2.2
80	YNL281W	HCH1	2.2
81	YIR011C	STS1	2.2
82	YLR074C	BUD20	2.2
83	YJL148W	RPA34	2.2
84	YLL011W	SOF1	2.2
85	YGR280C	PXR1	2.2
86	YHL011C	PRS3	2.2
87	YGR211W	ZPR1	2.2
88	YGL111W	NSA1	2.2
89	YLR435W	TSR2	2.2
90	YDR361C	BCP1	2.2
91	YLR175W	CBF5	2.2
92	YDL166C	FAP7	2.2
93	YDR087C	RRP1	2.2
94	YJL125C	GCD14	2.2
95	YPL117C	IDI1	2.2
96	YHR088W	RPF1	2.2
97	YLL060C	GTT2	2.2
98	YPL106C	SSE1	2.2
99	YJL050W	MTR4	2.2
100	YKL139W	CTK1	2.2
101	YML080W	DUS1	2.2
102	YEL046C	GLY1	2.2
103	YPR041W	TIF5	2.2
104	YJR052W	RAD7	2.2
105	YIL020C	HIS6	2.2
106	YNL006W	LST8	2.2
107	YFR001W	LOC1	2.2
108	YOR007C	SGT2	2.2
109	YLR022C	SDO1	2.2
110	YDL111C	RRP42	2.2
111	YNL175C	NOP13	2.2
112	YKR063C	LAS1	2.2
113	YKR072C	SIS2	2.2
114	YDR211W	GCD6	2.2
115	YDL020C	RPN4	2.2
116	YBR104W	YMC2	2.2
117	YGL224C	SDT1	2.2
118	YHR052W	CIC1	2.2
119	YMR161W	HLJ1	2.2
120	YOR095C	RKI1	2.2
121	YLR009W	RLP24	2.2
122	YOL136C	PFK27	2.2
123	YML097C	VPS9	2.2
124	YDR353W	TRR1	2.2
125	YER002W	NOP16	2.2
126	YDR465C	RMT2	2.2
127	YHR196W	UTP9	2.2
128	YPR025C	CCL1	2.2
129	YDR152W	GIR2	2.2
130	YPL250C	ATG41	2.2
131	YFL028C	CAF16	2.2
132	YBL068W	PRS4	2.2
133	YER006W	NUG1	2.2
134	YDL007W	RPT2	2.2
135	YBR154C	RPB5	2.1
136	YML125C	PGA3	2.1
137	YNR051C	BRE5	2.1
138	YPR167C	MET16	2.1
