SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: MTD1

Rank	Gene	Common	Score
Q	YKR080W	MTD1	
1	YMR120C	ADE17	4.2
2	YAR015W	ADE1	4.2
3	YLR058C	SHM2	4.1
4	YLR359W	ADE13	4.0
5	YOR128C	ADE2	4.0
6	YDR019C	GCV1	3.9
7	YMR300C	ADE4	3.8
8	YMR189W	GCV2	3.7
9	YNL220W	ADE12	3.4
10	YAL044C	GCV3	3.4
11	YGR208W	SER2	3.2
12	YER061C	CEM1	3.1
13	YOR184W	SER1	3.0
14	YDR408C	ADE8	3.0
15	YGR061C	ADE6	2.8
16	YDR399W	HPT1	2.8
17	YGL234W	ADE57	2.8
18	YPL092W	SSU1	2.8
19	YER056C	FCY2	2.7
20	YGL186C	TPN1	2.6
21	YER055C	HIS1	2.6
22	YIL116W	HIS5	2.6
23	YBR248C	HIS7	2.6
24	YML116W	ATR1	2.6
25	YOR340C	RPA43	2.6
26	YKL029C	MAE1	2.5
27	YCL030C	HIS4	2.5
28	YMR131C	RRB1	2.5
29	YPL211W	NIP7	2.5
30	YKR081C	RPF2	2.5
31	YOL097C	WRS1	2.5
32	YLR175W	CBF5	2.5
33	YOL077C	BRX1	2.5
34	YPR110C	RPC40	2.5
35	YBR291C	CTP1	2.5
36	YLR009W	RLP24	2.5
37	YLR196W	PWP1	2.5
38	YKL009W	MRT4	2.4
39	YJL050W	MTR4	2.4
40	YNL096C	RPS7B	2.4
41	YOR310C	NOP58	2.4
42	YKL021C	MAK11	2.4
43	YJL208C	NUC1	2.4
44	YJL200C	ACO2	2.4
45	YMR290C	HAS1	2.4
46	YNL110C	NOP15	2.4
47	YDL051W	LHP1	2.4
48	YLR432W	IMD3	2.4
49	YJL148W	RPA34	2.4
50	YOR243C	PUS7	2.4
51	YNL175C	NOP13	2.4
52	YLR435W	TSR2	2.4
53	YHL011C	PRS3	2.4
54	YLR276C	DBP9	2.4
55	YIL094C	LYS12	2.4
56	YMR093W	UTP15	2.4
57	YOR095C	RKI1	2.4
58	YIL074C	SER33	2.4
59	YPR145W	ASN1	2.4
60	YLR420W	URA4	2.4
61	YGR159C	NSR1	2.4
62	YOR361C	PRT1	2.4
63	YKL181W	PRS1	2.4
64	YMR049C	ERB1	2.4
65	YJL122W	ALB1	2.4
66	YBL039C	URA7	2.4
67	YLR197W	NOP56	2.4
68	YBR142W	MAK5	2.4
69	YNL141W	AAH1	2.4
70	YLR003C	CMS1	2.4
71	YNL151C	RPC31	2.4
72	YPL086C	ELP3	2.4
73	YKL082C	RRP14	2.4
74	YGR187C	HGH1	2.4
75	YPR035W	GLN1	2.3
76	YKL218C	SRY1	2.3
77	YNL075W	IMP4	2.3
78	YKR092C	SRP40	2.3
79	YLR186W	EMG1	2.3
80	YNL061W	NOP2	2.3
81	YPL012W	RRP12	2.3
82	YOR168W	GLN4	2.3
83	YKL120W	OAC1	2.3
84	YNL002C	RLP7	2.3
85	YNL248C	RPA49	2.3
86	YDR037W	KRS1	2.3
87	YKL081W	TEF4	2.3
88	YHR052W	CIC1	2.3
89	YKL099C	UTP11	2.3
90	YMR096W	SNZ1	2.3
91	YDL201W	TRM8	2.3
92	YER006W	NUG1	2.3
93	YGR128C	UTP8	2.3
94	YDL014W	NOP1	2.3
95	YOR004W	UTP23	2.3
96	YDR165W	TRM82	2.3
97	YBR154C	RPB5	2.3
98	YGR204W	ADE3	2.3
99	YOL124C	TRM11	2.3
100	YBR104W	YMC2	2.3
101	YLR074C	BUD20	2.3
102	YLR372W	ELO3	2.3
103	YLR130C	ZRT2	2.3
104	YHR170W	NMD3	2.3
105	YLR060W	FRS1	2.3
106	YGR123C	PPT1	2.3
107	YCL059C	KRR1	2.3
108	YPL081W	RPS9A	2.3
109	YOR341W	RPA190	2.3
110	YML080W	DUS1	2.3
