SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SPO75

Rank	Gene	Common	Score
Q	YLL005C	SPO75	
1	YFR023W	PES4	2.3
2	YNL318C	HXT14	2.2
3	YOL132W	GAS4	2.2
4	YGL170C	SPO74	2.2
5	YGR059W	SPR3	2.2
6	YER106W	MAM1	2.2
7	YDR522C	SPS2	2.2
8	YPL027W	SMA1	2.1
9	YJL038C	LOH1	2.1
10	YBR180W	DTR1	2.1
11	YDR218C	SPR28	2.1
12	YBR076W	ECM8	2.1
13	YLR308W	CDA2	2.1
14	YOR255W	OSW1	2.1
15	YLR341W	SPO77	2.0
16	YOR190W	SPR1	2.0
17	YCL048W	SPS22	2.0
18	YBR045C	GIP1	2.0
19	YBR148W	YSW1	2.0
20	YDR317W	HIM1	2.0
21	YOL091W	SPO21	2.0
22	YPL165C	SET6	1.9
23	YBR250W	SPO23	1.9
24	YOR298W	MUM3	1.9
25	YNL128W	TEP1	1.9
26	YHR185C	PFS1	1.9
27	YJL037W	IRC18	1.9
28	YLR227C	ADY4	1.9
29	YPL033C	SRL4	1.9
30	YKR103W	NFT1	1.9
31	YHR015W	MIP6	1.9
32	YPR054W	SMK1	1.9
33	YLR307W	CDA1	1.9
34	YGL192W	IME4	1.9
35	YPL192C	PRM3	1.9
36	YNL210W	MER1	1.9
37	YML066C	SMA2	1.9
38	YGL249W	ZIP2	1.9
39	YMR017W	SPO20	1.9
40	YJL214W	HXT8	1.9
41	YOL015W	IRC10	1.8
42	YLL006W	MMM1	1.8
43	YPL130W	SPO19	1.8
44	YLR054C	OSW2	1.8
45	YOR313C	SPS4	1.8
46	YHL043W	ECM34	1.8
47	YCL026C-A	FRM2	1.8
48	YDR523C	SPS1	1.8
49	YMR133W	REC114	1.8
50	YLR368W	MDM30	1.8
51	YDL247W	MPH2	1.8
52	YLR343W	GAS2	1.8
53	YNL196C	SLZ1	1.8
54	YDR104C	SPO71	1.8
55	YJR036C	HUL4	1.8
56	YLL057C	JLP1	1.8
57	YAL067C	SEO1	1.8
58	YDR402C	DIT2	1.8
59	YJL105W	SET4	1.7
60	YOR177C	MPC54	1.7
61	YLR371W	ROM2	1.7
62	YNL204C	SPS18	1.7
63	YLR240W	VPS34	1.7
64	YIL037C	PRM2	1.7
65	YAL048C	GEM1	1.7
66	YLR213C	CRR1	1.7
67	YDR446W	ECM11	1.7
