SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: TPO1

Rank	Gene	Common	Score
Q	YLL028W	TPO1	
1	YDR011W	SNQ2	2.5
2	YMR272C	SCS7	2.5
3	YOR153W	PDR5	2.5
4	YGR281W	YOR1	2.5
5	YOR273C	TPO4	2.5
6	YDR406W	PDR15	2.5
7	YIL056W	VHR1	2.4
8	YKR042W	UTH1	2.4
9	YOL151W	GRE2	2.4
10	YKL051W	SFK1	2.4
11	YNL231C	PDR16	2.4
12	YDR533C	HSP31	2.4
13	YNL125C	ESBP6	2.4
14	YLL012W	YEH1	2.3
15	YPR149W	NCE102	2.3
16	YPL058C	PDR12	2.3
17	YLR237W	THI7	2.3
18	YNL160W	YGP1	2.3
19	YOR267C	HRK1	2.3
20	YKL043W	PHD1	2.3
21	YBR177C	EHT1	2.3
22	YGR161C	RTS3	2.2
23	YJL082W	IML2	2.2
24	YKR093W	PTR2	2.2
25	YBR068C	BAP2	2.2
26	YOL030W	GAS5	2.2
27	YAL040C	CLN3	2.2
28	YOR303W	CPA1	2.2
29	YOR049C	RSB1	2.2
30	YNR013C	PHO91	2.2
31	YLR099C	ICT1	2.2
32	YLR034C	SMF3	2.2
33	YGR279C	SCW4	2.2
34	YCR048W	ARE1	2.2
35	YKL163W	PIR3	2.2
36	YJR046W	TAH11	2.1
37	YDR345C	HXT3	2.1
38	YBR054W	YRO2	2.1
39	YKL062W	MSN4	2.1
40	YLR307W	CDA1	2.1
41	YMR108W	ILV2	2.1
42	YDR033W	MRH1	2.1
43	YGR143W	SKN1	2.1
44	YEL063C	CAN1	2.1
45	YER035W	EDC2	2.1
46	YNL066W	SUN4	2.1
47	YNL065W	AQR1	2.1
48	YMR136W	GAT2	2.1
49	YER001W	MNN1	2.1
50	YNL268W	LYP1	2.1
51	YJR127C	RSF2	2.1
52	YLR347C	KAP95	2.1
53	YNL322C	KRE1	2.1
54	YNL042W	BOP3	2.1
55	YER037W	PHM8	2.1
56	YDL020C	RPN4	2.1
57	YDR072C	IPT1	2.1
58	YHR179W	OYE2	2.1
59	YPR138C	MEP3	2.1
60	YKR046C	PLN1	2.1
61	YBL005W	PDR3	2.1
62	YML116W	ATR1	2.1
63	YDR077W	SED1	2.1
64	YMR008C	PLB1	2.1
65	YNL142W	MEP2	2.1
66	YHR042W	NCP1	2.1
67	YGL026C	TRP5	2.1
68	YLR019W	PSR2	2.1
69	YOR204W	DED1	2.1
70	YLR134W	PDC5	2.1
71	YLL026W	HSP104	2.1
72	YBR105C	VID24	2.1
73	YGL202W	ARO8	2.1
74	YAL061W	BDH2	2.1
75	YML075C	HMG1	2.1
76	YMR205C	PFK2	2.1
77	YEL060C	PRB1	2.1
78	YEL040W	UTR2	2.1
79	YJL159W	HSP150	2.0
80	YBR169C	SSE2	2.0
81	YMR015C	ERG5	2.0
82	YKR039W	GAP1	2.0
83	YKL109W	HAP4	2.0
84	YJR016C	ILV3	2.0
85	YOR161C	PNS1	2.0
86	YOL136C	PFK27	2.0
87	YJL026W	RNR2	2.0
88	YIL023C	YKE4	2.0
89	YLR248W	RCK2	2.0
90	YGR138C	TPO2	2.0
91	YPR065W	ROX1	2.0
92	YDR508C	GNP1	2.0
93	YPL250C	ATG41	2.0
94	YOR306C	MCH5	2.0
95	YOR010C	TIR2	2.0
96	YGL215W	CLG1	2.0
97	YBR183W	YPC1	2.0
98	YHL027W	RIM101	2.0
99	YPL154C	PEP4	2.0
100	YHR094C	HXT1	2.0
101	YBL075C	SSA3	2.0
102	YLR299W	ECM38	2.0
103	YIL113W	SDP1	2.0
104	YPL274W	SAM3	2.0
105	YBR086C	IST2	2.0
106	YKR038C	KAE1	2.0
107	YPR156C	TPO3	2.0
108	YPL226W	NEW1	2.0
109	YHR049W	FSH1	2.0
110	YLR056W	ERG3	2.0
111	YGR240C	PFK1	2.0
112	YJL172W	CPS1	2.0
113	YOL119C	MCH4	2.0
114	YMR266W	RSN1	2.0
115	YKR066C	CCP1	2.0
116	YHL028W	WSC4	2.0
117	YER011W	TIR1	2.0
118	YOR311C	DGK1	2.0
119	YDL123W	SNA4	2.0
120	YDL022W	GPD1	2.0
121	YPR159W	KRE6	2.0
122	YFL026W	STE2	2.0
123	YHR092C	HXT4	2.0
124	YLR153C	ACS2	2.0
125	YKL029C	MAE1	2.0
126	YDL039C	PRM7	2.0
127	YBR067C	TIP1	2.0
128	YML130C	ERO1	2.0
129	YNR055C	HOL1	2.0
130	YLL029W	FRA1	2.0
131	YLR461W	PAU4	2.0
132	YCR021C	HSP30	2.0
133	YJL223C	PAU1	2.0
134	YLR304C	ACO1	2.0
135	YPL095C	EEB1	2.0
136	YDR001C	NTH1	2.0
137	YKL104C	GFA1	2.0
138	YER103W	SSA4	2.0
139	YOR028C	CIN5	2.0
140	YOR047C	STD1	2.0
141	YKL039W	PTM1	2.0
142	YJL079C	PRY1	2.0
143	YGR175C	ERG1	2.0
144	YDR171W	HSP42	2.0
145	YKL175W	ZRT3	2.0
146	YGL186C	TPN1	2.0
147	YBR072W	HSP26	2.0
148	YOL084W	PHM7	2.0
149	YPR154W	PIN3	2.0
150	YKL191W	DPH2	2.0
151	YPL061W	ALD6	2.0
152	YBR078W	ECM33	2.0
153	YAL034C	FUN19	2.0
154	YBR218C	PYC2	2.0
155	YLR109W	AHP1	2.0
156	YDR388W	RVS167	1.9
157	YBL030C	PET9	1.9
158	YFL021W	GAT1	1.9
159	YNL124W	NAF1	1.9
160	YKR071C	DRE2	1.9
161	YJR117W	STE24	1.9
162	YML126C	ERG13	1.9
163	YIL121W	QDR2	1.9
164	YIL143C	SSL2	1.9
165	YLL052C	AQY2	1.9
166	YBR214W	SDS24	1.9
167	YNL239W	LAP3	1.9
168	YLR180W	SAM1	1.9
169	YOR092W	ECM3	1.9
170	YNL169C	PSD1	1.9
171	YIL123W	SIM1	1.9
172	YOR043W	WHI2	1.9
173	YGR097W	ASK10	1.9
174	YEL046C	GLY1	1.9
175	YER141W	COX15	1.9
176	YOR027W	STI1	1.9
177	YOR360C	PDE2	1.9
178	YDL054C	MCH1	1.9
179	YLR037C	PAU23	1.9
180	YJL078C	PRY3	1.9
181	YOR230W	WTM1	1.9
182	YGR060W	ERG25	1.9
183	YER052C	HOM3	1.9
184	YJL196C	ELO1	1.9
185	YFL018C	LPD1	1.9
186	YDL048C	STP4	1.9
187	YOL068C	HST1	1.9
188	YNR044W	AGA1	1.9
189	YPL015C	HST2	1.9
190	YOR032C	HMS1	1.9
191	YNL288W	CAF40	1.9
192	YDR035W	ARO3	1.9
193	YGR197C	SNG1	1.9
194	YLR110C	CCW12	1.9
195	YKL035W	UGP1	1.9
196	YMR195W	ICY1	1.9
197	YLR203C	MSS51	1.9
198	YOR009W	TIR4	1.9
199	YGR260W	TNA1	1.9
200	YLR355C	ILV5	1.9
201	YPL057C	SUR1	1.9
202	YIL119C	RPI1	1.9
203	YNL064C	YDJ1	1.9
204	YOR065W	CYT1	1.9
205	YOL020W	TAT2	1.9
206	YIL011W	TIR3	1.9
207	YKL103C	APE1	1.9
208	YJR103W	URA8	1.9
209	YLR027C	AAT2	1.9
210	YKL008C	LAC1	1.9
211	YER070W	RNR1	1.9
212	YER053C	PIC2	1.9
213	YOR178C	GAC1	1.9
214	YLL024C	SSA2	1.9
215	YGR191W	HIP1	1.9
216	YOL060C	MAM3	1.9
217	YER150W	SPI1	1.9
218	YMR043W	MCM1	1.9
219	YGL077C	HNM1	1.9
220	YLR332W	MID2	1.9
221	YDL170W	UGA3	1.9
222	YIL101C	XBP1	1.9
223	YGL209W	MIG2	1.9
224	YJL134W	LCB3	1.9
225	YJL130C	URA2	1.9
226	YNL074C	MLF3	1.9
227	YGR180C	RNR4	1.9
228	YPL004C	LSP1	1.9
229	YDR309C	GIC2	1.9
230	YGR055W	MUP1	1.9
231	YLR300W	EXG1	1.9
232	YBR114W	RAD16	1.9
233	YNR034W	SOL1	1.9
234	YOR137C	SIA1	1.9
235	YIL111W	COX5B	1.9
236	YOR317W	FAA1	1.9
237	YHR071W	PCL5	1.9
238	YGL125W	MET13	1.9
239	YBL101C	ECM21	1.9
240	YNL123W	NMA111	1.9
241	YBR283C	SSH1	1.9
242	YJR147W	HMS2	1.9
243	YNL241C	ZWF1	1.9
244	YPL089C	RLM1	1.9
245	YLR120C	YPS1	1.9
246	YMR016C	SOK2	1.9
247	YJR143C	PMT4	1.9
248	YPL221W	FLC1	1.9
249	YDR481C	PHO8	1.9
250	YPL265W	DIP5	1.9
251	YBR234C	ARC40	1.9
252	YNR019W	ARE2	1.9
253	YOR108W	LEU9	1.9
254	YML052W	SUR7	1.9
255	YDL128W	VCX1	1.9
256	YOR229W	WTM2	1.9
257	YJR001W	AVT1	1.9
258	YOR323C	PRO2	1.9
259	YLR260W	LCB5	1.9
260	YDR055W	PST1	1.9
261	YLR219W	MSC3	1.9
262	YCR084C	TUP1	1.9
263	YDR091C	RLI1	1.9
264	YDR270W	CCC2	1.9
265	YHR137W	ARO9	1.9
266	YPL106C	SSE1	1.9
267	YJL034W	KAR2	1.9
268	YMR243C	ZRC1	1.9
269	YFR055W	IRC7	1.9
270	YNL007C	SIS1	1.9
271	YLR375W	STP3	1.9
272	YHR030C	SLT2	1.9
273	YGR204W	ADE3	1.9
274	YBL102W	SFT2	1.9
275	YDL171C	GLT1	1.9
276	YOR226C	ISU2	1.9
277	YOR260W	GCD1	1.9
278	YGR086C	PIL1	1.9
279	YDL168W	SFA1	1.9
280	YLR142W	PUT1	1.9
281	YPL135W	ISU1	1.9
282	YML100W	TSL1	1.9
283	YLL010C	PSR1	1.9
284	YMR220W	ERG8	1.9
285	YML054C	CYB2	1.9
286	YHR007C	ERG11	1.9
287	YLR259C	HSP60	1.9
288	YOL137W	BSC6	1.9
289	YEL039C	CYC7	1.9
290	YIL117C	PRM5	1.9
291	YER095W	RAD51	1.9
292	YPR198W	SGE1	1.9
293	YNL077W	APJ1	1.9
294	YHR008C	SOD2	1.9
295	YML056C	IMD4	1.9
296	YMR042W	ARG80	1.9
297	YOL130W	ALR1	1.9
298	YMR319C	FET4	1.9
299	YPR010C	RPA135	1.9
300	YGR023W	MTL1	1.9
301	YCL038C	ATG22	1.9
302	YER169W	RPH1	1.9
303	YPR181C	SEC23	1.9
304	YPL032C	SVL3	1.9
305	YBR092C	PHO3	1.9
306	YOL059W	GPD2	1.9
307	YDR456W	NHX1	1.9
308	YDL019C	OSH2	1.9
309	YMR088C	VBA1	1.9
310	YLR378C	SEC61	1.9
311	YGL096W	TOS8	1.9
312	YNL251C	NRD1	1.9
313	YKL046C	DCW1	1.9
314	YDR214W	AHA1	1.9
315	YLR390W-A	CCW14	1.9
316	YAL022C	FUN26	1.9
317	YBR263W	SHM1	1.9
318	YCL017C	NFS1	1.9
319	YJL116C	NCA3	1.9
320	YGR248W	SOL4	1.9
321	YNR043W	MVD1	1.9
322	YLR216C	CPR6	1.9
323	YIR038C	GTT1	1.9
324	YDL047W	SIT4	1.9
325	YKR072C	SIS2	1.9
326	YDR293C	SSD1	1.9
327	YPR145W	ASN1	1.9
328	YNL321W	VNX1	1.9
329	YBR286W	APE3	1.9
330	YLL055W	YCT1	1.9
331	YLR293C	GSP1	1.9
332	YER056C	FCY2	1.9
333	YDR284C	DPP1	1.8
334	YIL107C	PFK26	1.8
335	YNL197C	WHI3	1.8
336	YBR162C	TOS1	1.8
337	YHR029C	YHI9	1.8
338	YLL019C	KNS1	1.8
339	YCR065W	HCM1	1.8
340	YGR177C	ATF2	1.8
341	YLL060C	GTT2	1.8
342	YMR006C	PLB2	1.8
343	YJR109C	CPA2	1.8
344	YNL104C	LEU4	1.8
345	YBR008C	FLR1	1.8
346	YGR088W	CTT1	1.8
347	YGL178W	MPT5	1.8
348	YGR052W	FMP48	1.8
349	YDR059C	UBC5	1.8
350	YJR004C	SAG1	1.8
351	YPL252C	YAH1	1.8
352	YCL009C	ILV6	1.8
353	YNL280C	ERG24	1.8
354	YDR349C	YPS7	1.8
355	YLL018C	DPS1	1.8
356	YBR005W	RCR1	1.8
357	YLL027W	ISA1	1.8
358	YKR091W	SRL3	1.8
359	YIL099W	SGA1	1.8
360	YNL240C	NAR1	1.8
361	YHR037W	PUT2	1.8
362	YLR258W	GSY2	1.8
363	YLR089C	ALT1	1.8
364	YLR342W	FKS1	1.8
365	YMR290C	HAS1	1.8
366	YHL036W	MUP3	1.8
367	YDR151C	CTH1	1.8
368	YMR049C	ERB1	1.8
369	YHR151C	MTC6	1.8
370	YOL011W	PLB3	1.8
371	YCL030C	HIS4	1.8
372	YFL016C	MDJ1	1.8
373	YJR045C	SSC1	1.8
