SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: BRE2

Rank	Gene	Common	Score
Q	YLR015W	BRE2	
1	YLR276C	DBP9	3.1
2	YKR063C	LAS1	3.1
3	YKL143W	LTV1	3.1
4	YJR002W	MPP10	3.0
5	YBR155W	CNS1	3.0
6	YDL153C	SAS10	3.0
7	YLR336C	SGD1	3.0
8	YMR014W	BUD22	3.0
9	YDR021W	FAL1	3.0
10	YFL023W	BUD27	3.0
11	YML093W	UTP14	3.0
12	YGR145W	ENP2	3.0
13	YER127W	LCP5	3.0
14	YNL308C	KRI1	3.0
15	YKL099C	UTP11	2.9
16	YKL082C	RRP14	2.9
17	YKL021C	MAK11	2.9
18	YPL043W	NOP4	2.9
19	YHR066W	SSF1	2.9
20	YNL227C	JJJ1	2.9
21	YMR239C	RNT1	2.9
22	YDR496C	PUF6	2.9
23	YJL033W	HCA4	2.9
24	YDR312W	SSF2	2.9
25	YPR112C	MRD1	2.9
26	YLL011W	SOF1	2.9
27	YER082C	UTP7	2.9
28	YDL148C	NOP14	2.9
29	YHR088W	RPF1	2.9
30	YOL144W	NOP8	2.9
31	YLR196W	PWP1	2.9
32	YGL111W	NSA1	2.9
33	YOL080C	REX4	2.9
34	YLR068W	FYV7	2.8
35	YLL008W	DRS1	2.8
36	YKL172W	EBP2	2.8
37	YLR129W	DIP2	2.8
38	YIL019W	FAF1	2.8
39	YOR056C	NOB1	2.8
40	YBR142W	MAK5	2.8
41	YKL078W	DHR2	2.8
42	YBR257W	POP4	2.8
43	YLR074C	BUD20	2.8
44	YKR024C	DBP7	2.8
45	YNL110C	NOP15	2.8
46	YER002W	NOP16	2.8
47	YLR003C	CMS1	2.8
48	YLR323C	CWC24	2.8
49	YCL054W	SPB1	2.8
50	YGL029W	CGR1	2.8
51	YHR065C	RRP3	2.8
52	YDR083W	RRP8	2.8
53	YPL146C	NOP53	2.8
54	YML080W	DUS1	2.8
55	YDR087C	RRP1	2.8
56	YPL126W	NAN1	2.8
57	YML065W	ORC1	2.8
58	YLR409C	UTP21	2.8
59	YKR081C	RPF2	2.8
60	YFR001W	LOC1	2.8
61	YLR009W	RLP24	2.8
62	YLR002C	NOC3	2.8
63	YMR128W	ECM16	2.8
64	YLR221C	RSA3	2.7
65	YOL041C	NOP12	2.7
66	YNL164C	IBD2	2.7
67	YHR069C	RRP4	2.7
68	YGL171W	ROK1	2.7
69	YPL193W	RSA1	2.7
70	YOR119C	RIO1	2.7
71	YLR222C	UTP13	2.7
72	YDR449C	UTP6	2.7
73	YIL104C	SHQ1	2.7
74	YJL125C	GCD14	2.7
75	YOR206W	NOC2	2.7
76	YOR272W	YTM1	2.7
77	YPR143W	RRP15	2.7
78	YNL299W	TRF5	2.7
79	YDR412W	RRP17	2.7
80	YOR078W	BUD21	2.7
81	YHR081W	LRP1	2.7
82	YPR190C	RPC82	2.7
83	YDL060W	TSR1	2.7
84	YNR024W	MPP6	2.7
85	YNL061W	NOP2	2.7
86	YLL034C	RIX7	2.7
87	YNL023C	FAP1	2.7
88	YNL163C	RIA1	2.7
89	YHR170W	NMD3	2.7
90	YAL025C	MAK16	2.7
91	YBR247C	ENP1	2.7
92	YNL175C	NOP13	2.7
93	YDL150W	RPC53	2.7
94	YDR299W	BFR2	2.7
95	YJL148W	RPA34	2.7
96	YLR014C	PPR1	2.7
97	YDL031W	DBP10	2.7
98	YHR196W	UTP9	2.7
99	YLR449W	FPR4	2.7
100	YNL151C	RPC31	2.7
101	YJR072C	NPA3	2.7
102	YDR324C	UTP4	2.7
103	YGL099W	LSG1	2.7
104	YNL207W	RIO2	2.7
105	YGR072W	UPF3	2.7
106	YGR128C	UTP8	2.7
107	YGR083C	GCD2	2.7
108	YOR252W	TMA16	2.7
109	YJL050W	MTR4	2.7
110	YDR120C	TRM1	2.7
111	YAL059W	ECM1	2.6
112	YNL075W	IMP4	2.6
113	YNL182C	IPI3	2.6
114	YGR245C	SDA1	2.6
115	YCL059C	KRR1	2.6
116	YGR103W	NOP7	2.6
117	YGR271C-A	EFG1	2.6
118	YMR153W	NUP53	2.6
119	YJL098W	SAP185	2.6
120	YDR121W	DPB4	2.6
121	YPR144C	NOC4	2.6
122	YGR187C	HGH1	2.6
123	YLR051C	FCF2	2.6
124	YHL013C	OTU2	2.6
125	YNR003C	RPC34	2.6
126	YCR057C	PWP2	2.6
127	YIL079C	AIR1	2.6
128	YKR060W	UTP30	2.6
129	YLR435W	TSR2	2.6
130	YOR091W	TMA46	2.6
131	YHR040W	BCD1	2.6
132	YGR200C	ELP2	2.6
133	YDL213C	NOP6	2.6
134	YOR294W	RRS1	2.6
135	YKR025W	RPC37	2.6
136	YPL012W	RRP12	2.6
137	YNL119W	NCS2	2.6
138	YFL002C	SPB4	2.6
139	YMR131C	RRB1	2.6
140	YMR269W	TMA23	2.6
141	YPL086C	ELP3	2.6
142	YER006W	NUG1	2.6
143	YGL078C	DBP3	2.6
144	YER126C	NSA2	2.6
