SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: NFG1

Rank	Gene	Common	Score
Q	YLR042C	NFG1	
1	YKR013W	PRY2	1.8
2	YPL163C	SVS1	1.8
3	YDR309C	GIC2	1.8
4	YLR040C	AFB1	1.7
5	YCL027W	FUS1	1.7
6	YGR014W	MSB2	1.6
7	YGL032C	AGA2	1.6
8	YNR044W	AGA1	1.6
9	YMR305C	SCW10	1.6
10	YOL019W	TOS7	1.5
11	YIL015W	BAR1	1.5
12	YLR452C	SST2	1.5
13	YJL108C	PRM10	1.5
14	YIL117C	PRM5	1.5
15	YJL157C	FAR1	1.5
16	YBL016W	FUS3	1.5
17	YCL055W	KAR4	1.5
18	YGR040W	KSS1	1.4
19	YOR247W	SRL1	1.4
20	YHR005C	GPA1	1.4
21	YFL026W	STE2	1.4
22	YNL283C	WSC2	1.4
23	YDL127W	PCL2	1.4
24	YKL209C	STE6	1.4
25	YHR084W	STE12	1.4
26	YBR083W	TEC1	1.4
27	YDR262W	YDR262W	1.4
28	YNL279W	PRM1	1.4
29	YKR061W	KTR2	1.4
30	YIL140W	AXL2	1.4
31	YOR212W	STE4	1.3
32	YNL145W	MFA2	1.3
33	YER118C	SHO1	1.3
34	YNL300W	TOS6	1.3
35	YMR199W	CLN1	1.3
36	YKR091W	SRL3	1.3
37	YGR144W	THI4	1.3
38	YLR414C	PUN1	1.3
39	YKL189W	HYM1	1.3
40	YBR023C	CHS3	1.3
41	YLR084C	RAX2	1.3
42	YDR410C	STE14	1.3
43	YDR317W	HIM1	1.3
44	YOR315W	SFG1	1.3
45	YCR043C	YCR043C	1.3
46	YLR332W	MID2	1.3
47	YPL256C	CLN2	1.3
48	YDR461W	MFA1	1.3
49	YGR189C	CRH1	1.3
50	YJR025C	BNA1	1.3
51	YGR043C	NQM1	1.3
52	YJL170C	ASG7	1.3
53	YGR229C	SMI1	1.3
54	YOL104C	NDJ1	1.3
55	YJR054W	KCH1	1.3
56	YLR121C	YPS3	1.3
57	YBR073W	RDH54	1.3
58	YOR236W	DFR1	1.3
59	YDR249C	YDR249C	1.3
60	YKR046C	PLN1	1.3
61	YNL192W	CHS1	1.3
62	YKL178C	STE3	1.2
63	YJL107C	YJL107C	1.2
64	YBR088C	POL30	1.2
65	YHR097C	PAL2	1.2
66	YKL104C	GFA1	1.2
67	YLR037C	PAU23	1.2
68	YDR507C	GIN4	1.2
69	YLR050C	EMA19	1.2
70	YFL014W	HSP12	1.2
71	YCR018C	SRD1	1.2
72	YJL158C	CIS3	1.2
73	YPL223C	GRE1	1.2
74	YMR169C	ALD3	1.2
75	YLR212C	TUB4	1.2
76	YDR085C	AFR1	1.2
77	YGR221C	TOS2	1.2
78	YEL040W	UTR2	1.2
79	YLR107W	REX3	1.2
80	YOL007C	CSI2	1.2
81	YFR026C	ULI1	1.2
82	YIL123W	SIM1	1.2
83	YIL158W	AIM20	1.2
84	YLR104W	LCL2	1.2
85	YGL157W	ARI1	1.2
86	YNL289W	PCL1	1.2
87	YBR293W	VBA2	1.2
88	YGR152C	RSR1	1.2
89	YER062C	GPP2	1.2
90	YMR003W	AIM34	1.2
91	YOL011W	PLB3	1.2
92	YFL047W	RGD2	1.2
93	YBR096W	YBR096W	1.2
94	YDL214C	PRR2	1.2
95	YBR162C	TOS1	1.2
96	YHR049W	FSH1	1.2
97	YML047C	PRM6	1.2
98	YJL193W	YJL193W	1.2
99	YNR018W	RCF2	1.2
100	YNR009W	NRM1	1.2
101	YDR503C	LPP1	1.2
102	YLR250W	SSP120	1.2
103	YPL159C	PET20	1.2
104	YJL116C	NCA3	1.2
105	YER053C	PIC2	1.2
106	YKL141W	SDH3	1.2
107	YCR089W	FIG2	1.2
108	YNL111C	CYB5	1.2
109	YMR173W	DDR48	1.2
110	YPR005C	HAL1	1.2
111	YPL088W	YPL088W	1.2
112	YJR004C	SAG1	1.2
113	YNL036W	NCE103	1.2
114	YPL255W	BBP1	1.2
115	YNL142W	MEP2	1.2
116	YHR128W	FUR1	1.2
117	YKL101W	HSL1	1.2
118	YDL227C	HO	1.2
119	YKR060W	UTP30	1.2
120	YDL024C	DIA3	1.2
121	YLR353W	BUD8	1.2
122	YJL073W	JEM1	1.1
123	YJL122W	ALB1	1.1
124	YOR340C	RPA43	1.1
125	YGR066C	GID10	1.1
126	YLR372W	ELO3	1.1
