SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SIC1

Rank	Gene	Common	Score
Q	YLR079W	SIC1	
1	YOR264W	DSE3	3.0
2	YKL185W	ASH1	2.7
3	YDL179W	PCL9	2.7
4	YMR311C	GLC8	2.7
5	YNL173C	MDG1	2.5
6	YKL164C	PIR1	2.5
7	YGR086C	PIL1	2.5
8	YNL078W	NIS1	2.5
9	YNL215W	IES2	2.4
10	YNL327W	EGT2	2.4
11	YLR330W	CHS5	2.4
12	YOR042W	CUE5	2.4
13	YLR399C	BDF1	2.4
14	YKR014C	YPT52	2.4
15	YKL094W	YJU3	2.4
16	YER020W	GPA2	2.3
17	YJL042W	MHP1	2.3
18	YLR025W	SNF7	2.3
19	YPR106W	ISR1	2.3
20	YNL098C	RAS2	2.3
21	YJR059W	PTK2	2.3
22	YDR229W	IVY1	2.3
23	YLR219W	MSC3	2.3
24	YLR258W	GSY2	2.3
25	YMR044W	IOC4	2.3
26	YOR089C	VPS21	2.3
27	YMR197C	VTI1	2.3
28	YDR358W	GGA1	2.3
29	YJL066C	MPM1	2.3
30	YJR125C	ENT3	2.3
31	YDR272W	GLO2	2.3
32	YLR102C	APC9	2.2
33	YIL136W	OM45	2.2
34	YGR044C	RME1	2.2
35	YLR093C	NYV1	2.2
36	YMR201C	RAD14	2.2
37	YPL232W	SSO1	2.2
38	YDR329C	PEX3	2.2
39	YLR206W	ENT2	2.2
40	YJL123C	MTC1	2.2
41	YGR231C	PHB2	2.2
42	YNL097C	PHO23	2.2
43	YJL141C	YAK1	2.2
44	YKL142W	MRP8	2.2
45	YLR370C	ARC18	2.2
46	YAL055W	PEX22	2.2
47	YJL036W	SNX4	2.2
48	YJR050W	ISY1	2.2
49	YDR494W	RSM28	2.2
50	YBL058W	SHP1	2.2
51	YGR174C	CBP4	2.2
52	YOR054C	VHS3	2.2
53	YIL033C	BCY1	2.2
54	YKL195W	MIA40	2.2
55	YLR270W	DCS1	2.2
56	YCR004C	YCP4	2.2
57	YPL004C	LSP1	2.1
58	YDR231C	COX20	2.1
59	YKL117W	SBA1	2.1
60	YOL108C	INO4	2.1
61	YOR194C	TOA1	2.1
62	YGR167W	CLC1	2.1
63	YGL237C	HAP2	2.1
64	YBR214W	SDS24	2.1
65	YDR202C	RAV2	2.1
66	YLR298C	YHC1	2.1
67	YJL112W	MDV1	2.1
68	YOR132W	VPS17	2.1
69	YJR083C	ACF4	2.1
70	YAL034C	FUN19	2.1
