SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: EMP46

Rank	Gene	Common	Score
Q	YLR080W	EMP46	
1	YPL123C	RNY1	4.3
2	YKR076W	ECM4	3.9
3	YOR173W	DCS2	3.9
4	YPR026W	ATH1	3.8
5	YIL136W	OM45	3.8
6	YMR250W	GAD1	3.8
7	YLR270W	DCS1	3.8
8	YGL156W	AMS1	3.8
9	YML128C	MSC1	3.8
10	YPL186C	UIP4	3.8
11	YDL169C	UGX2	3.8
12	YGR008C	STF2	3.7
13	YDR358W	GGA1	3.7
14	YMR271C	URA10	3.7
15	YJL155C	FBP26	3.7
16	YMR174C	PAI3	3.7
17	YLR178C	TFS1	3.7
18	YLR251W	SYM1	3.7
19	YJL161W	FMP33	3.6
20	YKL142W	MRP8	3.6
21	YBR169C	SSE2	3.6
22	YIL097W	FYV10	3.6
23	YDL021W	GPM2	3.6
24	YMR110C	HFD1	3.6
25	YOL082W	ATG19	3.5
26	YOR120W	GCY1	3.5
27	YGR248W	SOL4	3.5
28	YGR043C	NQM1	3.5
29	YKR049C	FMP46	3.5
30	YDR070C	FMP16	3.5
31	YJL057C	IKS1	3.5
32	YGL121C	GPG1	3.5
33	YAL008W	FUN14	3.5
34	YIL107C	PFK26	3.5
35	YMR170C	ALD2	3.5
36	YDL204W	RTN2	3.4
37	YBL078C	ATG8	3.4
38	YMR053C	STB2	3.4
39	YBR280C	SAF1	3.4
40	YKL065C	YET1	3.4
41	YPL222W	FMP40	3.4
42	YDL110C	TMA17	3.4
43	YER054C	GIP2	3.4
44	YHR104W	GRE3	3.4
45	YJL164C	TPK1	3.4
46	YDR272W	GLO2	3.4
47	YMR169C	ALD3	3.4
48	YDL085W	NDE2	3.3
49	YPR184W	GDB1	3.3
50	YLR070C	XYL2	3.3
51	YMR105C	PGM2	3.3
52	YPL087W	YDC1	3.3
53	YEL012W	UBC8	3.3
54	YGR019W	UGA1	3.3
55	YBR006W	UGA2	3.3
56	YIR039C	YPS6	3.3
57	YKL026C	GPX1	3.3
58	YEL011W	GLC3	3.3
59	YIR038C	GTT1	3.3
60	YDL091C	UBX3	3.3
61	YNL274C	GOR1	3.3
62	YML042W	CAT2	3.3
63	YLR258W	GSY2	3.3
64	YOR036W	PEP12	3.3
65	YLL026W	HSP104	3.3
66	YGL037C	PNC1	3.3
67	YGL227W	VID30	3.3
68	YMR284W	YKU70	3.3
69	YGR256W	GND2	3.2
70	YDR085C	AFR1	3.2
71	YOR185C	GSP2	3.2
72	YKL188C	PXA2	3.2
73	YPL196W	OXR1	3.2
74	YDL130W-A	STF1	3.2
75	YML100W	TSL1	3.2
76	YNR007C	ATG3	3.2
77	YOL071W	SDH5	3.2
78	YBR072W	HSP26	3.2
79	YIL017C	VID28	3.2
80	YBR026C	ETR1	3.2
81	YHR016C	YSC84	3.2
82	YOL084W	PHM7	3.2
83	YML004C	GLO1	3.2
84	YKR009C	FOX2	3.2
85	YNL015W	PBI2	3.2
86	YBR046C	ZTA1	3.2
87	YPL203W	TPK2	3.2
88	YDR436W	PPZ2	3.2
89	YLR423C	ATG17	3.2
90	YGR070W	ROM1	3.2
91	YJL066C	MPM1	3.2
92	YHR096C	HXT5	3.2
93	YMR041C	ARA2	3.2
94	YMR175W	SIP18	3.2
95	YBR214W	SDS24	3.2
96	YJR036C	HUL4	3.1
97	YGR088W	CTT1	3.1
98	YDR058C	TGL2	3.1
99	YHR106W	TRR2	3.1
100	YDR001C	NTH1	3.1
101	YBL064C	PRX1	3.1
102	YDR258C	HSP78	3.1
103	YKL193C	SDS22	3.1
104	YOL117W	RRI2	3.1
105	YCL040W	GLK1	3.1
106	YDL024C	DIA3	3.1
107	YBR024W	SCO2	3.1
108	YDL223C	HBT1	3.1
109	YLR284C	ECI1	3.1
110	YIL045W	PIG2	3.1
111	YMR020W	FMS1	3.1
112	YIL101C	XBP1	3.1
113	YGL104C	VPS73	3.1
114	YHR087W	RTC3	3.1
115	YDR204W	COQ4	3.1
116	YCR091W	KIN82	3.1
117	YNL223W	ATG4	3.1
118	YER162C	RAD4	3.1
119	YBR149W	ARA1	3.1
120	YML118W	NGL3	3.1
121	YMR107W	SPG4	3.1
122	YPL230W	USV1	3.1
123	YLR267W	BOP2	3.1
124	YDR453C	TSA2	3.1
125	YBL049W	MOH1	3.1
126	YKL150W	MCR1	3.1
127	YJL036W	SNX4	3.1
128	YBR269C	SDH8	3.0
129	YHR171W	ATG7	3.0
130	YNL093W	YPT53	3.0
131	YMR040W	YET2	3.0
132	YDR171W	HSP42	3.0
133	YPR160W	GPH1	3.0
134	YEL060C	PRB1	3.0
135	YAR027W	UIP3	3.0
136	YKL103C	APE1	3.0
137	YCL035C	GRX1	3.0
138	YGL006W	PMC1	3.0
139	YPL223C	GRE1	3.0
140	YNL237W	YTP1	3.0
141	YLR324W	PEX30	3.0
142	YDL149W	ATG9	3.0
143	YHR209W	CRG1	3.0
144	YML054C	CYB2	3.0
145	YLL039C	UBI4	3.0
146	YEL039C	CYC7	3.0
147	YDL234C	GYP7	3.0
148	YDL115C	IWR1	3.0
149	YKR058W	GLG1	3.0
150	YOL052C-A	DDR2	3.0
151	YFL014W	HSP12	3.0
152	YHR160C	PEX18	3.0
153	YBR126C	TPS1	3.0
154	YER101C	AST2	3.0
155	YIL113W	SDP1	3.0
156	YGR236C	SPG1	3.0
157	YHR075C	PPE1	3.0
158	YMR311C	GLC8	3.0
159	YOR386W	PHR1	3.0
160	YER142C	MAG1	3.0
161	YOR054C	VHS3	3.0
162	YIL124W	AYR1	3.0
163	YLR151C	PCD1	3.0
164	YDL239C	ADY3	3.0
165	YLR327C	TMA10	3.0
166	YPR151C	SUE1	2.9
167	YFR049W	KGD4	2.9
168	YKR067W	GPT2	2.9
169	YER037W	PHM8	2.9
170	YNL009W	IDP3	2.9
171	YPL154C	PEP4	2.9
172	YGR258C	RAD2	2.9
173	YKL168C	KKQ8	2.9
174	YMR139W	RIM11	2.9
175	YKL093W	MBR1	2.9
176	YIL111W	COX5B	2.9
177	YMR173W	DDR48	2.9
178	YGR194C	XKS1	2.9
179	YMR304W	UBP15	2.9
180	YBR230C	OM14	2.9
181	YMR152W	YIM1	2.9
182	YJL103C	GSM1	2.9
183	YBR001C	NTH2	2.9
184	YDR074W	TPS2	2.9
185	YGL208W	SIP2	2.9
186	YLR362W	STE11	2.9
187	YIL099W	SGA1	2.9
188	YDR513W	GRX2	2.9
189	YNL202W	SPS19	2.9
190	YGL053W	PRM8	2.9
191	YMR297W	PRC1	2.9
192	YML070W	DAK1	2.9
193	YAL017W	PSK1	2.9
194	YKL124W	SSH4	2.9
195	YFL030W	AGX1	2.9
196	YER103W	SSA4	2.9
197	YBR128C	ATG14	2.9
198	YNL173C	MDG1	2.9
199	YOR245C	DGA1	2.9
200	YOR031W	CRS5	2.9
201	YPL004C	LSP1	2.9
202	YDR479C	PEX29	2.9
203	YBR117C	TKL2	2.9
204	YBR147W	RTC2	2.9
205	YOL032W	OPI10	2.9
206	YMR280C	CAT8	2.9
207	YOR374W	ALD4	2.9
208	YGL248W	PDE1	2.9
209	YPL054W	LEE1	2.8
210	YDR287W	INM2	2.8
211	YDL078C	MDH3	2.8
212	YKL091C	YKL091C	2.8
213	YKL121W	DGR2	2.8
214	YGL059W	PKP2	2.8
215	YLR102C	APC9	2.8
216	YHR195W	NVJ1	2.8
217	YKL067W	YNK1	2.8
218	YDR330W	UBX5	2.8
219	YAL061W	BDH2	2.8
220	YDL072C	YET3	2.8
221	YNL160W	YGP1	2.8
222	YOL065C	INP54	2.8
223	YIR037W	HYR1	2.8
224	YBR033W	EDS1	2.8
225	YDL238C	GUD1	2.8
226	YHR161C	YAP1801	2.8
227	YMR191W	SPG5	2.8
228	YLR219W	MSC3	2.8
229	YOR347C	PYK2	2.8
230	YFR003C	YPI1	2.8
231	YLR189C	ATG26	2.8
232	YLR250W	SSP120	2.8
233	YOR227W	HER1	2.8
234	YDL222C	FMP45	2.8
235	YDR148C	KGD2	2.8
236	YER035W	EDC2	2.8
237	YDR059C	UBC5	2.8
238	YDR032C	PST2	2.8
239	YJL048C	UBX6	2.8
240	YPL006W	NCR1	2.8
241	YPL147W	PXA1	2.8
242	YPR081C	GRS2	2.8
243	YDR202C	RAV2	2.8
244	YPR030W	CSR2	2.8
245	YCR083W	TRX3	2.8
246	YMR302C	YME2	2.8
247	YNL012W	SPO1	2.8
248	YKL034W	TUL1	2.8
