SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: MIM2

Rank	Gene	Common	Score
Q	YLR099W-A	MIM2	
1	YML101C	CUE4	1.2
2	YOL026C	MIM1	1.2
3	YPR182W	SMX3	1.1
4	YPL144W	POC4	1.1
5	YHR041C	SRB2	1.0
6	YOL005C	RPB11	1.0
7	YNR032C-A	HUB1	1.0
8	YDL012C	YDL012C	1.0
9	YAL030W	SNC1	1.0
10	YBR253W	SRB6	1.0
11	YGR063C	SPT4	1.0
12	YCR060W	TAH1	1.0
13	YJR074W	MOG1	1.0
14	YLR390W	ECM19	1.0
15	YBR162W-A	YSY6	1.0
16	YER019C-A	SBH2	1.0
17	YML081C-A	ATP18	1.0
18	YJL205C	NCE101	1.0
19	YOL012C	HTZ1	1.0
20	YJL184W	GON7	1.0
21	YLR438C-A	LSM3	1.0
22	YLR104W	LCL2	1.0
23	YLR154C	RNH203	1.0
24	YDL085C-A	YDL085C-A	1.0
25	YJL062W-A	COA3	1.0
26	YDR424C	DYN2	1.0
27	YGL220W	BOL2	1.0
28	YDR016C	DAD1	1.0
29	YOR327C	SNC2	1.0
30	YOL086W-A	MHF1	1.0
31	YBR252W	DUT1	1.0
32	YFL017W-A	SMX2	1.0
33	YER146W	LSM5	1.0
34	YDL232W	OST4	1.0
35	YCL057C-A	MIC10	1.0
36	YPL098C	MGR2	1.0
37	YJL151C	SNA3	1.0
38	YOR265W	RBL2	0.9
39	YIL004C	BET1	0.9
40	YNL259C	ATX1	0.9
41	YLL049W	LDB18	0.9
42	YJR085C	TMH11	0.9
43	YPL037C	EGD1	0.9
44	YDR408C	ADE8	0.9
45	YML036W	CGI121	0.9
46	YGR206W	MVB12	0.9
47	YKR049C	FMP46	0.9
48	YGR105W	VMA21	0.9
49	YBL001C	ECM15	0.9
50	YDR482C	CWC21	0.9
51	YLR262C-A	TMA7	0.9
52	YJR010C-A	SPC1	0.9
53	YCL033C	MXR2	0.9
54	YDR210W	YDR210W	0.9
55	YLR404W	SEI1	0.9
56	YBR070C	ALG14	0.9
57	YEL058W	PCM1	0.9
58	YOR064C	YNG1	0.9
59	YKL084W	HOT13	0.9
60	YEL044W	IES6	0.9
61	YDR320C-A	DAD4	0.9
62	YER074W-A	YOS1	0.9
63	YGL007W	BRP1	0.9
64	YLR147C	SMD3	0.9
65	YEL066W	HPA3	0.9
66	YAL046C	BOL3	0.9
67	YPR133W-A	TOM5	0.9
68	YFL017C	GNA1	0.9
69	YDR286C	MGP12	0.9
70	YMR184W	ADD37	0.9
71	YKL119C	VPH2	0.9
72	YJR058C	APS2	0.9
73	YDR079C-A	TFB5	0.9
74	YPL096C-A	ERI1	0.9
75	YML009C	MRPL39	0.9
76	YNL135C	FPR1	0.9
77	YHL025W	SNF6	0.9
78	YMR112C	MED11	0.9
79	YMR009W	ADI1	0.9
80	YOR045W	TOM6	0.9
81	YGR268C	HUA1	0.9
82	YPL183W-A	RTC6	0.9
83	YDR525W-A	SNA2	0.9
84	YNL044W	YIP3	0.9
85	YMR298W	LIP1	0.9
86	YDL081C	RPP1A	0.9
87	YOL102C	TPT1	0.9
