SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: REA1

Rank	Gene	Common	Score
Q	YLR106C	REA1	
1	YBL004W	UTP20	3.9
2	YMR229C	RRP5	3.9
3	YOR341W	RPA190	3.7
4	YLR384C	IKI3	3.6
5	YPR010C	RPA135	3.6
6	YNL132W	KRE33	3.5
7	YKL014C	URB1	3.5
8	YJL050W	MTR4	3.4
9	YDL112W	TRM3	3.4
10	YMR128W	ECM16	3.4
11	YGR103W	NOP7	3.4
12	YBR084W	MIS1	3.3
13	YER006W	NUG1	3.3
14	YNL061W	NOP2	3.3
15	YPL217C	BMS1	3.3
16	YMR049C	ERB1	3.3
17	YJL109C	UTP10	3.3
18	YPL012W	RRP12	3.3
19	YGR162W	TIF4631	3.3
20	YMR290C	HAS1	3.3
21	YLR197W	NOP56	3.3
22	YER110C	KAP123	3.2
23	YGL099W	LSG1	3.2
24	YGR245C	SDA1	3.2
25	YLR196W	PWP1	3.2
26	YLR449W	FPR4	3.2
27	YPR163C	TIF3	3.2
28	YGL195W	GCN1	3.2
29	YGR145W	ENP2	3.1
30	YLR409C	UTP21	3.1
31	YPL226W	NEW1	3.1
32	YPL126W	NAN1	3.1
33	YLR129W	DIP2	3.1
34	YNL175C	NOP13	3.1
35	YDL148C	NOP14	3.1
36	YEL055C	POL5	3.1
37	YBR142W	MAK5	3.1
38	YKR081C	RPF2	3.1
39	YAL035W	FUN12	3.1
40	YLL008W	DRS1	3.1
41	YLR276C	DBP9	3.1
42	YOR335C	ALA1	3.1
43	YOR361C	PRT1	3.1
44	YPL160W	CDC60	3.1
45	YMR217W	GUA1	3.0
46	YOR310C	NOP58	3.0
47	YML093W	UTP14	3.0
48	YDL153C	SAS10	3.0
49	YIR026C	YVH1	3.0
50	YCL059C	KRR1	3.0
51	YDL051W	LHP1	3.0
52	YMR131C	RRB1	3.0
53	YLR172C	DPH5	3.0
54	YLR175W	CBF5	3.0
55	YGR200C	ELP2	3.0
56	YKL191W	DPH2	3.0
57	YBL024W	NCL1	3.0
58	YOR168W	GLN4	3.0
59	YPL086C	ELP3	3.0
60	YLR432W	IMD3	3.0
61	YHR170W	NMD3	3.0
62	YDR465C	RMT2	3.0
63	YBL039C	URA7	3.0
64	YDR060W	MAK21	3.0
65	YJL033W	HCA4	3.0
66	YOR206W	NOC2	3.0
67	YPL043W	NOP4	3.0
68	YNL112W	DBP2	2.9
69	YJR002W	MPP10	2.9
70	YPR112C	MRD1	2.9
71	YDL060W	TSR1	2.9
72	YLR222C	UTP13	2.9
73	YOR243C	PUS7	2.9
74	YGL120C	PRP43	2.9
75	YKL078W	DHR2	2.9
76	YDR496C	PUF6	2.9
77	YGR123C	PPT1	2.9
78	YBL076C	ILS1	2.9
79	YJL080C	SCP160	2.9
80	YNL308C	KRI1	2.9
81	YGR159C	NSR1	2.9
82	YBR079C	RPG1	2.9
83	YKL021C	MAK11	2.9
84	YGL111W	NSA1	2.9
85	YBR121C	GRS1	2.9
86	YOR207C	RET1	2.9
87	YLL034C	RIX7	2.9
88	YOR340C	RPA43	2.9
89	YML056C	IMD4	2.9
90	YNL255C	GIS2	2.9
91	YOR272W	YTM1	2.9
92	YGL078C	DBP3	2.9
93	YNL262W	POL2	2.9
94	YCR057C	PWP2	2.9
95	YDL014W	NOP1	2.9
96	YGL171W	ROK1	2.9
97	YMR309C	NIP1	2.9
98	YDL031W	DBP10	2.9
99	YGR264C	MES1	2.8
100	YPL207W	TYW1	2.8
101	YPL263C	KEL3	2.8
102	YKL081W	TEF4	2.8
103	YOR095C	RKI1	2.8
104	YPL211W	NIP7	2.8
105	YPR110C	RPC40	2.8
106	YDR091C	RLI1	2.8
107	YLR009W	RLP24	2.8
108	YKL143W	LTV1	2.8
109	YHR064C	SSZ1	2.8
110	YOR116C	RPO31	2.8
111	YPL093W	NOG1	2.8
112	YAL036C	RBG1	2.8
113	YKR079C	TRZ1	2.8
114	YLL048C	YBT1	2.8
115	YLR249W	YEF3	2.8
116	YOL097C	WRS1	2.8
117	YDL213C	NOP6	2.8
118	YDR165W	TRM82	2.8
119	YLR002C	NOC3	2.8
120	YNL141W	AAH1	2.8
121	YGR090W	UTP22	2.8
122	YKL181W	PRS1	2.8
123	YGR128C	UTP8	2.8
124	YOR048C	RAT1	2.8
125	YNL248C	RPA49	2.8
126	YGR094W	VAS1	2.8
127	YLR060W	FRS1	2.8
128	YDR361C	BCP1	2.8
129	YDR324C	UTP4	2.8
130	YMR146C	TIF34	2.8
131	YJR041C	URB2	2.7
132	YBR247C	ENP1	2.7
133	YOR001W	RRP6	2.7
134	YKL009W	MRT4	2.7
135	YDR395W	SXM1	2.7
136	YHR197W	RIX1	2.7
137	YGR061C	ADE6	2.7
138	YNL182C	IPI3	2.7
139	YDR087C	RRP1	2.7
140	YJR070C	LIA1	2.7
141	YLL021W	SPA2	2.7
142	YOL077C	BRX1	2.7
143	YKR092C	SRP40	2.7
144	YDL201W	TRM8	2.7
145	YGR280C	PXR1	2.7
146	YLL011W	SOF1	2.7
147	YLR336C	SGD1	2.7
148	YKL205W	LOS1	2.7
149	YNR012W	URK1	2.7
150	YLR221C	RSA3	2.7
151	YAL019W	FUN30	2.7
152	YDR120C	TRM1	2.7
153	YLR397C	AFG2	2.7
154	YGL092W	NUP145	2.7
155	YER082C	UTP7	2.7
156	YDR101C	ARX1	2.7
157	YLR406C	RPL31B	2.7
158	YGR285C	ZUO1	2.7
159	YJL098W	SAP185	2.7
160	YKR082W	NUP133	2.7
161	YJL010C	NOP9	2.6
162	YLR430W	SEN1	2.6
163	YOR004W	UTP23	2.6
164	YDR398W	UTP5	2.6
165	YPL183C	RTT10	2.6
166	YHR128W	FUR1	2.6
167	YNL151C	RPC31	2.6
168	YNL163C	RIA1	2.6
169	YLR003C	CMS1	2.6
170	YHR099W	TRA1	2.6
171	YDL082W	RPL13A	2.6
172	YOL021C	DIS3	2.6
173	YJL130C	URA2	2.6
174	YPL266W	DIM1	2.6
175	YPR144C	NOC4	2.6
176	YHR019C	DED81	2.6
177	YNR038W	DBP6	2.6
178	YNL087W	TCB2	2.6
179	YCL054W	SPB1	2.6
180	YLR083C	EMP70	2.6
181	YLR305C	STT4	2.6
182	YHR052W	CIC1	2.6
183	YLR401C	DUS3	2.6
184	YLR448W	RPL6B	2.6
185	YLR441C	RPS1A	2.6
186	YKR024C	DBP7	2.6
187	YHL011C	PRS3	2.6
188	YAL059W	ECM1	2.6
189	YDR037W	KRS1	2.6
190	YLR074C	BUD20	2.6
191	YER126C	NSA2	2.6
192	YHR089C	GAR1	2.6
193	YIL019W	FAF1	2.6
194	YPR169W	JIP5	2.6
195	YDR023W	SES1	2.6
196	YML074C	FPR3	2.6
197	YDR083W	RRP8	2.6
198	YLR335W	NUP2	2.6
199	YOR294W	RRS1	2.6
200	YNL075W	IMP4	2.6
