SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: GID11

Rank	Gene	Common	Score
Q	YLR149C	GID11	
1	YOR173W	DCS2	3.2
2	YML128C	MSC1	3.2
3	YLR345W	YLR345W	3.1
4	YLR270W	DCS1	3.0
5	YEL011W	GLC3	3.0
6	YML100W	TSL1	3.0
7	YJL163C	YJL163C	3.0
8	YLR178C	TFS1	3.0
9	YMR250W	GAD1	3.0
10	YPL230W	USV1	2.9
11	YGR248W	SOL4	2.9
12	YCL040W	GLK1	2.9
13	YHL021C	AIM17	2.9
14	YIL136W	OM45	2.9
15	YDR074W	TPS2	2.8
16	YMR105C	PGM2	2.8
17	YBR214W	SDS24	2.8
18	YPR184W	GDB1	2.8
19	YKL091C	YKL091C	2.8
20	YBR169C	SSE2	2.8
21	YMR196W	YMR196W	2.8
22	YNL200C	NNR1	2.8
23	YDL204W	RTN2	2.8
24	YDR001C	NTH1	2.8
25	YBR280C	SAF1	2.8
26	YDL110C	TMA17	2.8
27	YNL274C	GOR1	2.8
28	YLR258W	GSY2	2.8
29	YFR017C	IGD1	2.8
30	YKR076W	ECM4	2.8
31	YPR026W	ATH1	2.8
32	YIL101C	XBP1	2.8
33	YGL037C	PNC1	2.7
34	YDR358W	GGA1	2.7
35	YDR171W	HSP42	2.7
36	YOL083W	ATG34	2.7
37	YPL186C	UIP4	2.7
38	YJR008W	MHO1	2.7
39	YLR327C	TMA10	2.7
40	YDL169C	UGX2	2.7
41	YBR126C	TPS1	2.7
42	YGL156W	AMS1	2.7
43	YDR070C	FMP16	2.7
44	YER079W	YER079W	2.7
45	YGR008C	STF2	2.7
46	YMR110C	HFD1	2.7
47	YJL161W	FMP33	2.7
48	YJR096W	YJR096W	2.7
49	YKL151C	NNR2	2.7
50	YLR312C	ATG39	2.6
51	YLR356W	ATG33	2.6
52	YGR088W	CTT1	2.6
53	YHR087W	RTC3	2.6
54	YBL064C	PRX1	2.6
55	YNL115C	YNL115C	2.6
56	YLR251W	SYM1	2.6
57	YOR374W	ALD4	2.6
58	YOR120W	GCY1	2.6
59	YEL060C	PRB1	2.6
60	YNL305C	BXI1	2.6
61	YNL195C	YNL195C	2.6
62	YJL164C	TPK1	2.6
63	YOR289W	YOR289W	2.6
64	YKL142W	MRP8	2.6
65	YMR090W	YMR090W	2.6
66	YPL123C	RNY1	2.6
67	YBR056W	MRX18	2.6
68	YGR043C	NQM1	2.6
69	YOL084W	PHM7	2.5
70	YBR139W	ATG42	2.5
71	YLL026W	HSP104	2.5
72	YHR097C	PAL2	2.5
73	YHR138C	YHR138C	2.5
74	YJL155C	FBP26	2.5
75	YAL061W	BDH2	2.5
76	YDL199C	YDL199C	2.5
77	YNL194C	YNL194C	2.5
78	YBR230C	OM14	2.5
79	YOL052C-A	DDR2	2.5
80	YER054C	GIP2	2.5
81	YPL203W	TPK2	2.5
82	YPL004C	LSP1	2.5
83	YKL150W	MCR1	2.5
84	YFR053C	HXK1	2.5
85	YOL082W	ATG19	2.5
86	YMR181C	YMR181C	2.5
87	YJL141C	YAK1	2.5
88	YGR127W	YGR127W	2.5
89	YIL107C	PFK26	2.5
90	YBL078C	ATG8	2.5
91	YJL066C	MPM1	2.5
92	YHR104W	GRE3	2.5
93	YKL093W	MBR1	2.4
94	YOL048C	RRT8	2.4
95	YER067W	RGI1	2.4
96	YDR516C	EMI2	2.4
97	YGR130C	YGR130C	2.4
98	YMR169C	ALD3	2.4
99	YIL155C	GUT2	2.4
100	YJL103C	GSM1	2.4
101	YKL103C	APE1	2.4
102	YML054C	CYB2	2.4
103	YBR241C	VVS1	2.4
104	YKR049C	FMP46	2.4
105	YOR215C	AIM41	2.4
106	YGR194C	XKS1	2.4
107	YBR149W	ARA1	2.4
108	YGL227W	VID30	2.4
109	YKL026C	GPX1	2.4
110	YDR258C	HSP78	2.4
111	YMR139W	RIM11	2.4
112	YIR038C	GTT1	2.4
113	YEL012W	UBC8	2.4
114	YML042W	CAT2	2.4
115	YKR067W	GPT2	2.4
116	YER053C	PIC2	2.4
117	YKL133C	RCI50	2.4
118	YER150W	SPI1	2.4
119	YPL247C	YPL247C	2.4
120	YPL154C	PEP4	2.4
121	YMR107W	SPG4	2.4
122	YBR072W	HSP26	2.4
123	YHR171W	ATG7	2.4
124	YGR070W	ROM1	2.3
125	YOR220W	RCN2	2.3
126	YKR058W	GLG1	2.3
127	YCR091W	KIN82	2.3
128	YBR269C	SDH8	2.3
129	YLL019C	KNS1	2.3
130	YIL097W	FYV10	2.3
131	YDR085C	AFR1	2.3
132	YIR039C	YPS6	2.3
133	YML004C	GLO1	2.3
134	YDR018C	YDR018C	2.3
135	YNR002C	ATO2	2.3
136	YBR053C	YBR053C	2.3
137	YFL014W	HSP12	2.3
138	YDL223C	HBT1	2.3
139	YGR019W	UGA1	2.3
140	YBR026C	ETR1	2.3
141	YDL222C	FMP45	2.3
142	YBR006W	UGA2	2.3
143	YDL124W	YDL124W	2.3
144	YEL039C	CYC7	2.3
145	YKL065C	YET1	2.3
146	YDL027C	MRX9	2.3
