SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: MDL1

Rank	Gene	Common	Score
Q	YLR188W	MDL1	
1	YLR380W	CSR1	2.8
2	YLR088W	GAA1	2.7
3	YGL022W	STT3	2.7
4	YML124C	TUB3	2.7
5	YAL023C	PMT2	2.7
6	YJR143C	PMT4	2.6
7	YLR083C	EMP70	2.6
8	YBR205W	KTR3	2.6
9	YLR212C	TUB4	2.6
10	YER165W	PAB1	2.6
11	YJL080C	SCP160	2.6
12	YDR292C	SRP101	2.6
13	YFL022C	FRS2	2.6
14	YMR301C	ATM1	2.6
15	YLR060W	FRS1	2.6
16	YLR397C	AFG2	2.5
17	YJR031C	GEA1	2.5
18	YMR079W	SEC14	2.5
19	YNL085W	MKT1	2.5
20	YDL226C	GCS1	2.5
21	YLR378C	SEC61	2.5
22	YNL291C	MID1	2.5
23	YML031W	NDC1	2.5
24	YGL137W	SEC27	2.5
25	YDL093W	PMT5	2.5
26	YOR321W	PMT3	2.5
27	YEL042W	GDA1	2.4
28	YLR398C	SKI2	2.4
29	YHR188C	GPI16	2.4
30	YNR043W	MVD1	2.4
31	YLR429W	CRN1	2.4
32	YMR308C	PSE1	2.4
33	YHR108W	GGA2	2.4
34	YBR263W	SHM1	2.4
35	YLR386W	VAC14	2.4
36	YLL018C	DPS1	2.4
37	YLL022C	HIF1	2.4
38	YPR033C	HTS1	2.4
39	YBR243C	ALG7	2.4
40	YOR323C	PRO2	2.4
41	YKR001C	VPS1	2.4
42	YKL127W	PGM1	2.4
43	YDR400W	URH1	2.4
44	YLR384C	IKI3	2.4
45	YOR188W	MSB1	2.4
46	YBL082C	ALG3	2.4
47	YOR239W	ABP140	2.4
48	YDL164C	CDC9	2.4
49	YDL095W	PMT1	2.4
50	YDL145C	COP1	2.4
51	YMR129W	POM152	2.4
52	YGL097W	SRM1	2.4
53	YJR040W	GEF1	2.4
54	YML126C	ERG13	2.4
55	YLR335W	NUP2	2.4
56	YJR132W	NMD5	2.4
57	YDR144C	MKC7	2.4
58	YKL212W	SAC1	2.4
59	YHR042W	NCP1	2.4
60	YLR153C	ACS2	2.4
61	YLR192C	HCR1	2.3
62	YHR025W	THR1	2.3
63	YGL112C	TAF6	2.3
64	YHR072W	ERG7	2.3
65	YLR272C	YCS4	2.3
66	YMR214W	SCJ1	2.3
67	YOR085W	OST3	2.3
68	YHR019C	DED81	2.3
69	YLR305C	STT4	2.3
70	YPL160W	CDC60	2.3
71	YMR241W	YHM2	2.3
72	YDL040C	NAT1	2.3
73	YKL081W	TEF4	2.3
74	YOR301W	RAX1	2.3
75	YNL287W	SEC21	2.3
76	YLR172C	DPH5	2.3
77	YHR098C	SFB3	2.3
78	YOR217W	RFC1	2.3
79	YAL042W	ERV46	2.3
80	YOR320C	GNT1	2.3
81	YGL016W	KAP122	2.3
82	YDR518W	EUG1	2.3
83	YDL102W	POL3	2.3
84	YPL256C	CLN2	2.3
85	YGL195W	GCN1	2.3
86	YER070W	RNR1	2.3
87	YLR291C	GCD7	2.3
88	YGR204W	ADE3	2.3
89	YER086W	ILV1	2.3
90	YML008C	ERG6	2.3
91	YOR254C	SEC63	2.3
92	YGR094W	VAS1	2.3
93	YLR274W	MCM5	2.3
94	YOR099W	KTR1	2.3
95	YLL048C	YBT1	2.3
96	YIL039W	TED1	2.3
97	YKR084C	HBS1	2.3
98	YNL049C	SFB2	2.3
99	YER025W	GCD11	2.3
