SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RSA3

Rank	Gene	Common	Score
Q	YLR221C	RSA3	
1	YNL110C	NOP15	5.1
2	YKL099C	UTP11	5.0
3	YLR009W	RLP24	4.8
4	YKL009W	MRT4	4.8
5	YNL075W	IMP4	4.7
6	YKL172W	EBP2	4.7
7	YCL059C	KRR1	4.7
8	YLR276C	DBP9	4.7
9	YKR081C	RPF2	4.7
10	YNL002C	RLP7	4.7
11	YHR052W	CIC1	4.7
12	YDR087C	RRP1	4.6
13	YLR435W	TSR2	4.6
14	YDR496C	PUF6	4.6
15	YDL153C	SAS10	4.6
16	YOR004W	UTP23	4.6
17	YNL175C	NOP13	4.6
18	YJL148W	RPA34	4.5
19	YKL143W	LTV1	4.5
20	YPL211W	NIP7	4.5
21	YDR412W	RRP17	4.5
22	YMR239C	RNT1	4.5
23	YML093W	UTP14	4.5
24	YLR003C	CMS1	4.5
25	YHR088W	RPF1	4.5
26	YOR340C	RPA43	4.5
27	YLR196W	PWP1	4.5
28	YPL043W	NOP4	4.5
29	YER002W	NOP16	4.4
30	YNL151C	RPC31	4.4
31	YMR131C	RRB1	4.4
32	YER126C	NSA2	4.4
33	YOR294W	RRS1	4.4
34	YDR361C	BCP1	4.4
35	YFR001W	LOC1	4.4
36	YGL029W	CGR1	4.4
37	YOR206W	NOC2	4.4
38	YHR170W	NMD3	4.4
39	YOL080C	REX4	4.4
40	YDR083W	RRP8	4.4
41	YHR148W	IMP3	4.4
42	YNL308C	KRI1	4.4
43	YGR103W	NOP7	4.4
44	YOR252W	TMA16	4.4
45	YGR145W	ENP2	4.4
46	YOL077C	BRX1	4.4
47	YJR002W	MPP10	4.3
48	YBR155W	CNS1	4.3
49	YLR051C	FCF2	4.3
50	YAL059W	ECM1	4.3
51	YNL113W	RPC19	4.3
52	YLL011W	SOF1	4.3
53	YPR143W	RRP15	4.3
54	YGR280C	PXR1	4.3
55	YLL008W	DRS1	4.3
56	YNL061W	NOP2	4.3
57	YGL078C	DBP3	4.3
58	YHR066W	SSF1	4.3
59	YKL021C	MAK11	4.3
60	YIL019W	FAF1	4.3
61	YLR068W	FYV7	4.2
62	YLR197W	NOP56	4.2
63	YPR110C	RPC40	4.2
64	YGR271C-A	EFG1	4.2
65	YHR196W	UTP9	4.2
66	YOR272W	YTM1	4.2
67	YOR145C	PNO1	4.2
68	YAL025C	MAK16	4.2
69	YBR247C	ENP1	4.2
70	YDR165W	TRM82	4.2
71	YDL051W	LHP1	4.2
72	YGL111W	NSA1	4.2
73	YBR154C	RPB5	4.2
74	YLR175W	CBF5	4.2
75	YLR129W	DIP2	4.2
76	YDL148C	NOP14	4.2
77	YDL201W	TRM8	4.2
78	YNL248C	RPA49	4.2
79	YGR187C	HGH1	4.1
80	YDR449C	UTP6	4.1
81	YBR142W	MAK5	4.1
82	YDL213C	NOP6	4.1
83	YLR409C	UTP21	4.1
84	YJL122W	ALB1	4.1
85	YNL182C	IPI3	4.1
86	YPL266W	DIM1	4.1
87	YHR081W	LRP1	4.1
88	YLR449W	FPR4	4.1
89	YGL171W	ROK1	4.1
90	YPR112C	MRD1	4.1
91	YMR014W	BUD22	4.1
92	YER127W	LCP5	4.1
93	YGR128C	UTP8	4.1
94	YJL033W	HCA4	4.1
95	YER006W	NUG1	4.1
96	YKL082C	RRP14	4.1
97	YOR078W	BUD21	4.1
98	YOL041C	NOP12	4.0
99	YLR002C	NOC3	4.0
100	YLR222C	UTP13	4.0
101	YOR056C	NOB1	4.0
102	YMR049C	ERB1	4.0
103	YMR290C	HAS1	4.0
104	YPL086C	ELP3	4.0
105	YDR101C	ARX1	4.0
106	YJL050W	MTR4	4.0
107	YLL034C	RIX7	4.0
108	YDR465C	RMT2	4.0
109	YDR021W	FAL1	4.0
110	YLR074C	BUD20	4.0
111	YDL060W	TSR1	4.0
112	YPL012W	RRP12	4.0
113	YHR197W	RIX1	4.0
114	YCL054W	SPB1	4.0
115	YHR065C	RRP3	4.0
