SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SMD2

Rank	Gene	Common	Score
Q	YLR275W	SMD2	
1	YJL179W	PFD1	2.9
2	YLR200W	YKE2	2.9
3	YLR221C	RSA3	2.9
4	YLR051C	FCF2	2.8
5	YPR101W	SNT309	2.8
6	YPL051W	ARL3	2.8
7	YBR257W	POP4	2.7
8	YGR271C-A	EFG1	2.7
9	YLR022C	SDO1	2.7
10	YLR147C	SMD3	2.7
11	YCL031C	RRP7	2.6
12	YJR055W	HIT1	2.6
13	YNL153C	GIM3	2.6
14	YFR001W	LOC1	2.6
15	YLR262C	YPT6	2.6
16	YPR143W	RRP15	2.6
17	YHR081W	LRP1	2.6
18	YER002W	NOP16	2.6
19	YGL029W	CGR1	2.6
20	YNL110C	NOP15	2.6
21	YCR020W-B	HTL1	2.6
22	YLR003C	CMS1	2.6
23	YOR252W	TMA16	2.6
24	YKL099C	UTP11	2.6
25	YNR024W	MPP6	2.6
26	YMR059W	SEN15	2.6
27	YLR145W	RMP1	2.6
28	YDR139C	RUB1	2.5
29	YNL147W	LSM7	2.5
30	YOR210W	RPB10	2.5
31	YLR435W	TSR2	2.5
32	YJR067C	YAE1	2.5
33	YIL008W	URM1	2.5
34	YKL122C	SRP21	2.5
35	YDR339C	FCF1	2.5
36	YMR269W	TMA23	2.5
37	YLR009W	RLP24	2.5
38	YOR078W	BUD21	2.5
39	YDR183W	PLP1	2.5
40	YJL011C	RPC17	2.5
41	YIL027C	EMC5	2.5
42	YJL006C	CTK2	2.5
43	YJR097W	JJJ3	2.5
44	YBR167C	POP7	2.5
45	YLR292C	SEC72	2.5
46	YOR115C	TRS33	2.5
47	YOR319W	HSH49	2.5
48	YGR030C	POP6	2.5
49	YDL235C	YPD1	2.5
50	YGR072W	UPF3	2.4
51	YIR005W	IST3	2.4
52	YML077W	BET5	2.4
53	YHR196W	UTP9	2.4
54	YPR094W	RDS3	2.4
55	YEL003W	GIM4	2.4
56	YNL113W	RPC19	2.4
57	YLR068W	FYV7	2.4
58	YNL075W	IMP4	2.4
59	YDR152W	GIR2	2.4
60	YMR077C	VPS20	2.4
61	YDR045C	RPC11	2.4
62	YGR081C	SLX9	2.4
63	YNL164C	IBD2	2.4
64	YJR082C	EAF6	2.4
65	YDR469W	SDC1	2.4
66	YPR060C	ARO7	2.4
67	YBR154C	RPB5	2.4
68	YGR275W	RTT102	2.4
69	YNL149C	PGA2	2.4
70	YOL149W	DCP1	2.4
71	YKL110C	KTI12	2.4
72	YLR298C	YHC1	2.4
73	YCR035C	RRP43	2.4
74	YDR373W	FRQ1	2.4
75	YLR010C	TEN1	2.4
76	YLR242C	ARV1	2.4
77	YHR143W-A	RPC10	2.4
78	YGL247W	BRR6	2.4
79	YLR421C	RPN13	2.4
80	YKR060W	UTP30	2.4
81	YKL021C	MAK11	2.4
82	YDR021W	FAL1	2.4
83	YBR258C	SHG1	2.4
84	YKL082C	RRP14	2.4
85	YDR308C	SRB7	2.4
86	YPR046W	MCM16	2.4
87	YDL092W	SRP14	2.4
88	YOR094W	ARF3	2.4
89	YNL038W	GPI15	2.4
90	YDR087C	RRP1	2.3
91	YHR052W	CIC1	2.3
92	YMR260C	TIF11	2.3
93	YHR167W	THP2	2.3
94	YKL154W	SRP102	2.3
95	YNL107W	YAF9	2.3
96	YGL246C	RAI1	2.3
97	YBR164C	ARL1	2.3
98	YML062C	MFT1	2.3
99	YPL052W	OAZ1	2.3
100	YML011C	RAD33	2.3
101	YBR155W	CNS1	2.3
102	YNL002C	RLP7	2.3
103	YAL059W	ECM1	2.3
104	YDR280W	RRP45	2.3
105	YMR112C	MED11	2.3
106	YKR083C	DAD2	2.3
107	YHR088W	RPF1	2.3
108	YMR233W	TRI1	2.3
109	YPR025C	CCL1	2.3
110	YLR276C	DBP9	2.3
111	YML097C	VPS9	2.3
112	YNL244C	SUI1	2.3
113	YLL011W	SOF1	2.3
114	YMR014W	BUD22	2.3
115	YPL178W	CBC2	2.3
116	YDL166C	FAP7	2.3
117	YDR179C	CSN9	2.3
118	YML094W	GIM5	2.3
119	YLR323C	CWC24	2.3
120	YOR279C	RFM1	2.3
121	YDR412W	RRP17	2.3
122	YKL009W	MRT4	2.3
123	YPR073C	LTP1	2.3
124	YKR022C	NTR2	2.3
125	YPL211W	NIP7	2.3
126	YLR033W	RSC58	2.3
127	YLR119W	SRN2	2.3
128	YNR010W	CSE2	2.3
129	YLR066W	SPC3	2.3
130	YDR312W	SSF2	2.3
131	YOR148C	SPP2	2.3
132	YNL001W	DOM34	2.3
133	YOR143C	THI80	2.3
134	YDR449C	UTP6	2.3
135	YOR257W	CDC31	2.3
136	YOR294W	RRS1	2.3
137	YGR057C	LST7	2.3
138	YMR239C	RNT1	2.3
139	YJL148W	RPA34	2.3
140	YOR004W	UTP23	2.3
141	YOL080C	REX4	2.3
142	YHR060W	VMA22	2.3
143	YDL213C	NOP6	2.3
144	YLR215C	CDC123	2.3
145	YOR189W	IES4	2.3
146	YNL188W	KAR1	2.3
147	YOR265W	RBL2	2.2
148	YPR169W	JIP5	2.2
149	YHR069C	RRP4	2.2
150	YDR361C	BCP1	2.2
151	YMR061W	RNA14	2.2
152	YJR050W	ISY1	2.2
153	YOR145C	PNO1	2.2
154	YOR281C	PLP2	2.2
155	YNL232W	CSL4	2.2
156	YDR121W	DPB4	2.2
157	YLR015W	BRE2	2.2
158	YGL232W	TAN1	2.2
159	YEL029C	BUD16	2.2
160	YNL129W	NRK1	2.2
161	YHR066W	SSF1	2.2
162	YBR165W	UBS1	2.2
163	YLR107W	REX3	2.2
164	YJR063W	RPA12	2.2
165	YKL144C	RPC25	2.2
166	YCR095C	OCA4	2.2
167	YKL040C	NFU1	2.2
168	YNL308C	KRI1	2.2
169	YOR103C	OST2	2.2
170	YPL146C	NOP53	2.2
171	YDL065C	PEX19	2.2
172	YDR013W	PSF1	2.2
173	YKL139W	CTK1	2.2
174	YCL059C	KRR1	2.2
175	YJL104W	PAM16	2.2
176	YLR285W	NNT1	2.2
177	YPL239W	YAR1	2.2
178	YLR412W	BER1	2.2
179	YBR162W-A	YSY6	2.2
180	YLR336C	SGD1	2.2
181	YGR024C	THG1	2.2
182	YLR250W	SSP120	2.2
183	YML055W	SPC2	2.2
184	YOR258W	HNT3	2.2
185	YER112W	LSM4	2.2
186	YGL005C	COG7	2.2
187	YLL004W	ORC3	2.2
188	YPR188C	MLC2	2.2
189	YGL070C	RPB9	2.2
190	YJL203W	PRP21	2.2
191	YDR184C	ATC1	2.2
192	YDR163W	CWC15	2.2
193	YKR024C	DBP7	2.2
194	YPR186C	PZF1	2.2
195	YPR051W	MAK3	2.2
196	YLR074C	BUD20	2.2
197	YDL111C	RRP42	2.2
198	YKL074C	MUD2	2.2
199	YML036W	CGI121	2.2
200	YNL119W	NCS2	2.2
201	YDL153C	SAS10	2.2
202	YDL219W	DTD1	2.2
203	YPL213W	LEA1	2.2
204	YPL020C	ULP1	2.2
205	YJL122W	ALB1	2.2
206	YEL018W	EAF5	2.2
207	YPR187W	RPO26	2.2
208	YER126C	NSA2	2.2
209	YFL046W	FMP32	2.2
210	YNL286W	CUS2	2.2
211	YHL013C	OTU2	2.2
212	YDL098C	SNU23	2.2
213	YGL058W	RAD6	2.2
214	YOL146W	PSF3	2.2
215	YKL186C	MTR2	2.2
216	YCL055W	KAR4	2.2
217	YJL140W	RPB4	2.2
218	YDR496C	PUF6	2.2
219	YHR065C	RRP3	2.2
220	YGR129W	SYF2	2.2
221	YOR295W	UAF30	2.2
222	YKL172W	EBP2	2.2
223	YAL025C	MAK16	2.2
224	YOR327C	SNC2	2.2
225	YPR056W	TFB4	2.2
226	YGR187C	HGH1	2.2
227	YPL038W	MET31	2.2
228	YHR148W	IMP3	2.2
229	YKR063C	LAS1	2.2
230	YLR146C	SPE4	2.2
231	YKR081C	RPF2	2.2
232	YMR132C	JLP2	2.2
