SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: CTS1

Rank	Gene	Common	Score
Q	YLR286C	CTS1	
1	YHR143W	DSE2	5.1
2	YER124C	DSE1	4.4
3	YGL028C	SCW11	4.2
4	YNL327W	EGT2	3.9
5	YNL066W	SUN4	3.8
6	YBR158W	AMN1	3.3
7	YNR067C	DSE4	3.1
8	YJL078C	PRY3	3.0
9	YOR264W	DSE3	2.8
10	YKL185W	ASH1	2.8
11	YGR041W	BUD9	2.8
12	YKL164C	PIR1	2.8
13	YBR162C	TOS1	2.7
14	YGR279C	SCW4	2.5
15	YIL123W	SIM1	2.5
16	YOR247W	SRL1	2.5
17	YLR300W	EXG1	2.5
18	YDR033W	MRH1	2.5
19	YBR078W	ECM33	2.4
20	YLR258W	GSY2	2.4
21	YGR044C	RME1	2.4
22	YOR230W	WTM1	2.4
23	YJL079C	PRY1	2.4
24	YNL078W	NIS1	2.4
25	YEL040W	UTR2	2.4
26	YDL128W	VCX1	2.4
27	YMR205C	PFK2	2.3
28	YPR106W	ISR1	2.3
29	YDL055C	PSA1	2.3
30	YLR110C	CCW12	2.3
31	YGL008C	PMA1	2.3
32	YMR215W	GAS3	2.3
33	YBR286W	APE3	2.3
34	YMR272C	SCS7	2.3
35	YER070W	RNR1	2.3
36	YMR297W	PRC1	2.3
37	YKR013W	PRY2	2.3
38	YJL159W	HSP150	2.3
39	YML072C	TCB3	2.3
40	YLR089C	ALT1	2.3
41	YKR042W	UTH1	2.3
42	YPL154C	PEP4	2.3
43	YKL035W	UGP1	2.3
44	YLR058C	SHM2	2.2
45	YLR304C	ACO1	2.2
46	YDR055W	PST1	2.2
47	YFL026W	STE2	2.2
48	YDL179W	PCL9	2.2
49	YBL002W	HTB2	2.2
50	YMR305C	SCW10	2.2
51	YML052W	SUR7	2.2
52	YMR058W	FET3	2.2
53	YOR270C	VPH1	2.2
54	YGR086C	PIL1	2.2
55	YDR225W	HTA1	2.2
56	YNL307C	MCK1	2.2
57	YLR359W	ADE13	2.2
58	YMR307W	GAS1	2.2
59	YBR086C	IST2	2.2
60	YJL158C	CIS3	2.2
