SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: STT4

Rank	Gene	Common	Score
Q	YLR305C	STT4	
1	YGL195W	GCN1	3.1
2	YLL048C	YBT1	3.1
3	YJL039C	NUP192	3.1
4	YJR031C	GEA1	2.9
5	YML103C	NUP188	2.9
6	YER105C	NUP157	2.8
7	YLR071C	RGR1	2.8
8	YLR087C	CSF1	2.8
9	YER172C	BRR2	2.8
10	YMR129W	POM152	2.8
11	YGL092W	NUP145	2.8
12	YDR170C	SEC7	2.8
13	YDR093W	DNF2	2.7
14	YIL129C	TAO3	2.7
15	YDL112W	TRM3	2.7
16	YHR099W	TRA1	2.7
17	YKR082W	NUP133	2.7
18	YDL145C	COP1	2.7
19	YAL029C	MYO4	2.7
20	YDR457W	TOM1	2.7
21	YNL262W	POL2	2.7
22	YJR132W	NMD5	2.6
23	YLR272C	YCS4	2.6
24	YLR384C	IKI3	2.6
25	YJR140C	HIR3	2.6
26	YBL079W	NUP170	2.6
27	YMR247C	RKR1	2.6
28	YKL203C	TOR2	2.6
29	YLR106C	REA1	2.6
30	YHR098C	SFB3	2.6
31	YJL080C	SCP160	2.6
32	YNL297C	MON2	2.6
33	YJL207C	LAA1	2.6
34	YBR140C	IRA1	2.6
35	YLR430W	SEN1	2.6
36	YLR310C	CDC25	2.5
37	YML072C	TCB3	2.5
38	YGL014W	PUF4	2.5
39	YJL095W	BCK1	2.5
40	YLL031C	GPI13	2.5
41	YLR398C	SKI2	2.5
42	YER166W	DNF1	2.5
43	YOR335C	ALA1	2.5
44	YPL226W	NEW1	2.5
45	YMR308C	PSE1	2.5
46	YBR133C	HSL7	2.5
47	YNL085W	MKT1	2.5
48	YLR397C	AFG2	2.5
49	YML104C	MDM1	2.5
50	YKR054C	DYN1	2.5
51	YIL115C	NUP159	2.5
52	YDL040C	NAT1	2.5
53	YLR389C	STE23	2.5
54	YGR061C	ADE6	2.5
55	YGR217W	CCH1	2.5
56	YDR395W	SXM1	2.5
57	YHR186C	KOG1	2.5
58	YMR212C	EFR3	2.5
59	YOR341W	RPA190	2.5
60	YBL004W	UTP20	2.5
61	YOR116C	RPO31	2.5
62	YKL205W	LOS1	2.5
63	YGR090W	UTP22	2.4
64	YMR080C	NAM7	2.4
65	YHR165C	PRP8	2.4
66	YIL128W	MET18	2.4
67	YJL109C	UTP10	2.4
68	YDR135C	YCF1	2.4
69	YKL068W	NUP100	2.4
70	YDR119W	VBA4	2.4
71	YPR010C	RPA135	2.4
72	YER110C	KAP123	2.4
73	YDR420W	HKR1	2.4
74	YMR162C	DNF3	2.4
75	YER155C	BEM2	2.4
76	YOL004W	SIN3	2.4
77	YNL291C	MID1	2.4
78	YKL014C	URB1	2.4
79	YDL171C	GLT1	2.4
80	YOR370C	MRS6	2.4
81	YPR189W	SKI3	2.4
82	YML075C	HMG1	2.4
83	YLR083C	EMP70	2.4
84	YEL022W	GEA2	2.4
85	YOR038C	HIR2	2.4
86	YGL083W	SCY1	2.4
87	YLR096W	KIN2	2.4
88	YLR335W	NUP2	2.4
89	YNR013C	PHO91	2.4
90	YAL035W	FUN12	2.4
91	YLR371W	ROM2	2.4
92	YDR127W	ARO1	2.4
93	YLR328W	NMA1	2.4
94	YNL236W	SIN4	2.4
95	YPL125W	KAP120	2.4
96	YOL138C	RTC1	2.4
97	YLL015W	BPT1	2.4
98	YJR143C	PMT4	2.4
99	YBL076C	ILS1	2.4
100	YGL016W	KAP122	2.4
101	YNL163C	RIA1	2.3
102	YBR015C	MNN2	2.3
103	YDR180W	SCC2	2.3
104	YLR188W	MDL1	2.3
105	YBL105C	PKC1	2.3
106	YPL082C	MOT1	2.3
107	YAL026C	DRS2	2.3
108	YLR403W	SFP1	2.3
109	YGR200C	ELP2	2.3
110	YOR217W	RFC1	2.3
111	YKL057C	NUP120	2.3
112	YER164W	CHD1	2.3
113	YNL087W	TCB2	2.3
114	YER114C	BOI2	2.3
115	YOL021C	DIS3	2.3
116	YOR168W	GLN4	2.3
117	YLR450W	HMG2	2.3
118	YMR012W	CLU1	2.3
119	YPL115C	BEM3	2.3
120	YIL030C	SSM4	2.3
121	YGR271W	SLH1	2.3
122	YDR141C	DOP1	2.3
123	YMR205C	PFK2	2.3
124	YDL141W	BPL1	2.3
125	YOR048C	RAT1	2.3
126	YLR386W	VAC14	2.3
127	YPL160W	CDC60	2.3
128	YLL021W	SPA2	2.3
129	YJR066W	TOR1	2.3
130	YOL061W	PRS5	2.3
131	YKL176C	LST4	2.3
132	YKR028W	SAP190	2.3
133	YGR134W	CAF130	2.3
134	YLR409C	UTP21	2.3
135	YKL182W	FAS1	2.3
136	YML049C	RSE1	2.3
137	YNL216W	RAP1	2.3
138	YDR144C	MKC7	2.3
