SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: DCR2

Rank	Gene	Common	Score
Q	YLR361C	DCR2	
1	YDR264C	AKR1	2.5
2	YNL127W	FAR11	2.4
3	YLR098C	CHA4	2.4
4	YOR149C	SMP3	2.4
5	YLR240W	VPS34	2.4
6	YKL039W	PTM1	2.4
7	YJL139C	YUR1	2.3
8	YLR360W	VPS38	2.3
9	YLR088W	GAA1	2.3
10	YLR363C	NMD4	2.3
11	YLR207W	HRD3	2.3
12	YPR176C	BET2	2.3
13	YLL015W	BPT1	2.3
14	YGL084C	GUP1	2.3
15	YPR024W	YME1	2.3
16	YJL093C	TOK1	2.3
17	YMR013C	SEC59	2.3
18	YLR034C	SMF3	2.3
19	YCL057W	PRD1	2.3
20	YCR028C	FEN2	2.3
21	YML029W	USA1	2.3
22	YNL159C	ASI2	2.3
23	YKL219W	COS9	2.3
24	YLR371W	ROM2	2.3
25	YLL031C	GPI13	2.3
26	YOR336W	KRE5	2.3
27	YML115C	VAN1	2.2
28	YJR051W	OSM1	2.2
29	YCR017C	CWH43	2.2
30	YML016C	PPZ1	2.2
31	YKR001C	VPS1	2.2
32	YGR141W	VPS62	2.2
33	YPL006W	NCR1	2.2
34	YGR199W	PMT6	2.2
35	YKL034W	TUL1	2.2
36	YJR131W	MNS1	2.2
37	YHR028C	DAP2	2.2
38	YML019W	OST6	2.2
39	YJL004C	SYS1	2.2
40	YNR055C	HOL1	2.2
41	YOR350C	MNE1	2.2
42	YNL101W	AVT4	2.2
43	YLR362W	STE11	2.2
44	YMR168C	CEP3	2.2
45	YLR144C	ACF2	2.2
46	YOL025W	LAG2	2.2
47	YOR087W	YVC1	2.2
48	YAR003W	SWD1	2.2
49	YDR205W	MSC2	2.2
50	YLR369W	SSQ1	2.2
51	YMR119W	ASI1	2.2
52	YLR288C	MEC3	2.2
53	YOR035C	SHE4	2.2
54	YOR256C	TRE2	2.2
55	YOR320C	GNT1	2.2
56	YDR422C	SIP1	2.2
57	YNL294C	RIM21	2.1
58	YPL002C	SNF8	2.1
59	YLR005W	SSL1	2.1
60	YKL168C	KKQ8	2.1
61	YLR247C	IRC20	2.1
62	YKR088C	TVP38	2.1
63	YDR287W	INM2	2.1
64	YLR459W	GAB1	2.1
65	YDR141C	DOP1	2.1
66	YJR106W	ECM27	2.1
67	YBR216C	YBP1	2.1
68	YLR189C	ATG26	2.1
69	YPL125W	KAP120	2.1
70	YDR456W	NHX1	2.1
71	YKR084C	HBS1	2.1
72	YDR294C	DPL1	2.1
73	YLR028C	ADE16	2.1
74	YDR221W	GTB1	2.1
75	YMR054W	STV1	2.1
76	YFL041W	FET5	2.1
77	YJR013W	GPI14	2.1
78	YLR396C	VPS33	2.1
79	YJL047C	RTT101	2.1
80	YNL130C	CPT1	2.1
81	YMR237W	BCH1	2.1
82	YMR019W	STB4	2.1
83	YER125W	RSP5	2.1
84	YMR162C	DNF3	2.1
85	YOR002W	ALG6	2.1
86	YLR047C	FRE8	2.1
87	YPL214C	THI6	2.1
88	YOR014W	RTS1	2.1
89	YHR074W	QNS1	2.1
90	YJR001W	AVT1	2.1
91	YML067C	ERV41	2.1
92	YLR368W	MDM30	2.1
93	YJL094C	KHA1	2.1
94	YNL258C	DSL1	2.1
95	YML049C	RSE1	2.1
96	YPL103C	FMP30	2.1
97	YLR085C	ARP6	2.1
98	YLR199C	PBA1	2.1
99	YDR443C	SSN2	2.1
100	YPL176C	TRE1	2.1
101	YIL039W	TED1	2.1
102	YJL178C	ATG27	2.1
103	YLR248W	RCK2	2.1
104	YOR245C	DGA1	2.1
105	YLR454W	FMP27	2.1
106	YLR087C	CSF1	2.1
107	YKR101W	SIR1	2.1
108	YGL136C	MRM2	2.1
109	YKL033W	TTI1	2.1
110	YGL112C	TAF6	2.1
111	YOL137W	BSC6	2.1
112	YDR438W	THI74	2.1
113	YLR424W	SPP382	2.1
114	YKL140W	TGL1	2.1
115	YLL048C	YBT1	2.1
116	YNL330C	RPD3	2.1
117	YMR110C	HFD1	2.1
118	YDR107C	TMN2	2.1
119	YLL006W	MMM1	2.1
120	YPL224C	MMT2	2.1
121	YOL013C	HRD1	2.1
122	YLR319C	BUD6	2.0
123	YLR305C	STT4	2.0
124	YBR272C	HSM3	2.0
125	YGL228W	SHE10	2.0
126	YLR077W	FMP25	2.0
127	YMR098C	ATP25	2.0
128	YNL250W	RAD50	2.0
129	YOR034C	AKR2	2.0
130	YFR024C-A	LSB3	2.0
131	YDR436W	PPZ2	2.0
132	YGL142C	GPI10	2.0
133	YNL291C	MID1	2.0
134	YJL091C	GWT1	2.0
135	YDR350C	ATP22	2.0
136	YOL049W	GSH2	2.0
137	YCR011C	ADP1	2.0
138	YMR200W	ROT1	2.0
139	YDR335W	MSN5	2.0
140	YOL138C	RTC1	2.0
141	YNL267W	PIK1	2.0
142	YKL174C	TPO5	2.0
143	YLL001W	DNM1	2.0
144	YHR101C	BIG1	2.0
145	YIL048W	NEO1	2.0
146	YFL044C	OTU1	2.0
147	YHR132C	ECM14	2.0
148	YMR154C	RIM13	2.0
149	YDR479C	PEX29	2.0
150	YJL059W	YHC3	2.0
151	YBR140C	IRA1	2.0
152	YLR425W	TUS1	2.0
153	YLR328W	NMA1	2.0
154	YLR260W	LCB5	2.0
155	YBR236C	ABD1	2.0
156	YLR299W	ECM38	2.0
157	YKL176C	LST4	2.0
158	YOR162C	YRR1	2.0
159	YHR012W	VPS29	2.0
160	YPR023C	EAF3	2.0
161	YJL137C	GLG2	2.0
162	YLR066W	SPC3	2.0
163	YPL206C	PGC1	2.0
164	YMR278W	PRM15	2.0
