SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: TDA5

Rank	Gene	Common	Score
Q	YLR426W	TDA5	
1	YLR307W	CDA1	1.9
2	YLR137W	RKM5	1.4
3	YIL023C	YKE4	1.4
4	YNL263C	YIF1	1.4
5	YFR021W	ATG18	1.4
6	YHR199C	AIM46	1.4
7	YJL210W	PEX2	1.4
8	YKR038C	KAE1	1.4
9	YJL072C	PSF2	1.3
10	YLR396C	VPS33	1.3
11	YNR027W	BUD17	1.3
12	YFR025C	HIS2	1.3
13	YFL010C	WWM1	1.3
14	YML051W	GAL80	1.3
15	YNR032W	PPG1	1.3
16	YGR277C	CAB4	1.3
17	YIL153W	RRD1	1.3
18	YDR517W	GRH1	1.3
19	YCL005W	LDB16	1.3
20	YBR261C	TAE1	1.3
21	YBL082C	ALG3	1.3
22	YPL031C	PHO85	1.3
23	YLR209C	PNP1	1.3
24	YLR429W	CRN1	1.3
25	YDR476C	YDR476C	1.3
26	YPR058W	YMC1	1.3
27	YKL106W	AAT1	1.3
28	YDL052C	SLC1	1.3
29	YJR116W	TDA4	1.3
30	YMR161W	HLJ1	1.3
31	YNL320W	YNL320W	1.3
32	YAL014C	SYN8	1.3
33	YOR311C	DGK1	1.3
34	YLR375W	STP3	1.3
35	YLR427W	MAG2	1.3
36	YLR239C	LIP2	1.3
37	YKL191W	DPH2	1.3
38	YNL264C	PDR17	1.3
39	YDL226C	GCS1	1.3
40	YAL020C	ATS1	1.3
41	YDR192C	NUP42	1.3
42	YDR411C	DFM1	1.3
43	YOR323C	PRO2	1.3
44	YCR048W	ARE1	1.3
45	YER019W	ISC1	1.3
46	YAL043C	PTA1	1.3
47	YNL168C	FMP41	1.3
48	YMR262W	YMR262W	1.3
49	YDR423C	CAD1	1.3
50	YHR041C	SRB2	1.3
51	YDR400W	URH1	1.3
52	YOR250C	CLP1	1.3
53	YIL042C	PKP1	1.2
54	YGL050W	TYW3	1.2
55	YLR439W	MRPL4	1.2
56	YDR156W	RPA14	1.2
57	YBL102W	SFT2	1.2
58	YCR059C	YIH1	1.2
59	YMR222C	FSH2	1.2
60	YLL012W	YEH1	1.2
61	YHR181W	SVP26	1.2
62	YDR354W	TRP4	1.2
63	YEL029C	BUD16	1.2
64	YGR203W	YCH1	1.2
65	YKL019W	RAM2	1.2
66	YCR044C	PER1	1.2
67	YER004W	FMP52	1.2
68	YLR380W	CSR1	1.2
69	YLR066W	SPC3	1.2
70	YML112W	CTK3	1.2
71	YKL018W	SWD2	1.2
72	YMR166C	MME1	1.2
73	YJL097W	PHS1	1.2
74	YML114C	TAF8	1.2
75	YLR362W	STE11	1.2
76	YDR410C	STE14	1.2
77	YDL142C	CRD1	1.2
78	YPR079W	MRL1	1.2
79	YHR074W	QNS1	1.2
80	YPL034W	YPL034W	1.2
81	YLR348C	DIC1	1.2
82	YLR188W	MDL1	1.2
83	YHR115C	DMA1	1.2
84	YPR176C	BET2	1.2
85	YPL258C	THI21	1.2
86	YHR083W	SAM35	1.2
87	YNL261W	ORC5	1.2
88	YKR070W	YKR070W	1.2
89	YFR029W	PTR3	1.2
90	YMR123W	PKR1	1.2
91	YMR022W	UBC7	1.2
92	YIL067C	YIL067C	1.2
93	YBR175W	SWD3	1.2
94	YKL080W	VMA5	1.2
95	YNL049C	SFB2	1.2
96	YBR037C	SCO1	1.2
97	YOL135C	MED7	1.2
98	YAL022C	FUN26	1.2
99	YGR263C	SAY1	1.2
100	YPR128C	ANT1	1.2
101	YLR072W	LAM6	1.2
102	YPL224C	MMT2	1.2
103	YIL044C	AGE2	1.2
104	YMR008C	PLB1	1.2
105	YOR380W	RDR1	1.2
106	YJR040W	GEF1	1.2
107	YOR130C	ORT1	1.2
108	YOR246C	ENV9	1.2
109	YLR037C	PAU23	1.2
110	YJR017C	ESS1	1.2
111	YPL214C	THI6	1.2
112	YOR228C	MCP1	1.2
113	YHR194W	MDM31	1.2
114	YPR183W	DPM1	1.2
115	YIR007W	EGH1	1.2
116	YLR231C	BNA5	1.2
117	YEL063C	CAN1	1.2
118	YML019W	OST6	1.2
119	YIL154C	IMP21	1.2
120	YNL241C	ZWF1	1.2
121	YLR011W	LOT6	1.2
122	YNL063W	MTQ1	1.2
123	YLR316C	TAD3	1.2
124	YPL041C	MRX11	1.2
125	YLR443W	ECM7	1.2
126	YJR046W	TAH11	1.2
127	YCL044C	MGR1	1.2
128	YKR043C	SHB17	1.2
129	YKL206C	ADD66	1.2
130	YLL022C	HIF1	1.2
131	YKL211C	TRP3	1.2
132	YJR067C	YAE1	1.2
133	YLR292C	SEC72	1.2
134	YMR220W	ERG8	1.2
135	YLR212C	TUB4	1.2
136	YDL237W	AIM6	1.2
137	YHR117W	TOM71	1.2
138	YMR042W	ARG80	1.2
139	YPR131C	NAT3	1.2
140	YKR087C	OMA1	1.2
141	YJL004C	SYS1	1.2
142	YPL098C	MGR2	1.2
143	YLR036C	YLR036C	1.2
144	YBR246W	RRT2	1.2
145	YNL080C	EOS1	1.2
146	YDR503C	LPP1	1.2
147	YGR268C	HUA1	1.2
148	YKL052C	ASK1	1.2
149	YNL291C	MID1	1.2
150	YNL288W	CAF40	1.2
151	YOL062C	APM4	1.2
