SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SIR3

Rank	Gene	Common	Score
Q	YLR442C	SIR3	
1	YFR031C	SMC2	2.5
2	YGR047C	TFC4	2.4
3	YLR383W	SMC6	2.4
4	YLR398C	SKI2	2.4
5	YML071C	COG8	2.4
6	YKL079W	SMY1	2.4
7	YGL133W	ITC1	2.3
8	YLR045C	STU2	2.3
9	YJR089W	BIR1	2.3
10	YLR182W	SWI6	2.3
11	YLR440C	SEC39	2.3
12	YLR086W	SMC4	2.2
13	YML065W	ORC1	2.2
14	YDR159W	SAC3	2.2
15	YLR425W	TUS1	2.2
16	YMR218C	TRS130	2.2
17	YDR356W	SPC110	2.2
18	YLR138W	NHA1	2.2
19	YLR443W	ECM7	2.2
20	YLR319C	BUD6	2.2
21	YKR028W	SAP190	2.2
22	YMR213W	CEF1	2.2
23	YPR189W	SKI3	2.2
24	YBR081C	SPT7	2.2
25	YOR304W	ISW2	2.2
26	YLR071C	RGR1	2.2
27	YKL179C	COY1	2.2
28	YKL092C	BUD2	2.2
29	YLR309C	IMH1	2.2
30	YLR384C	IKI3	2.2
31	YKR082W	NUP133	2.2
32	YKR095W	MLP1	2.2
33	YOR080W	DIA2	2.2
34	YLR039C	RIC1	2.2
35	YFL008W	SMC1	2.1
36	YLL021W	SPA2	2.1
37	YJL074C	SMC3	2.1
38	YIL115C	NUP159	2.1
39	YPL110C	GDE1	2.1
40	YNL059C	ARP5	2.1
41	YOL078W	AVO1	2.1
42	YLR353W	BUD8	2.1
43	YLR371W	ROM2	2.1
44	YIL149C	MLP2	2.1
45	YML006C	GIS4	2.1
46	YDR052C	DBF4	2.1
47	YJR140C	HIR3	2.1
48	YNL212W	VID27	2.1
49	YOL034W	SMC5	2.1
50	YML061C	PIF1	2.1
51	YLL015W	BPT1	2.1
52	YJL204C	RCY1	2.1
53	YDR027C	VPS54	2.1
54	YNL250W	RAD50	2.1
55	YJR035W	RAD26	2.1
56	YAL024C	LTE1	2.1
57	YKL173W	SNU114	2.1
58	YOL045W	PSK2	2.1
59	YLR117C	CLF1	2.1
60	YGL049C	TIF4632	2.1
61	YPL008W	CHL1	2.1
62	YPL232W	SSO1	2.1
63	YLR362W	STE11	2.1
64	YPL176C	TRE1	2.1
65	YNL088W	TOP2	2.1
66	YKL017C	HCS1	2.1
67	YOR086C	TCB1	2.1
68	YDR351W	SBE2	2.1
69	YNL273W	TOF1	2.1
70	YLR260W	LCB5	2.1
71	YLR181C	VTA1	2.1
72	YKL010C	UFD4	2.1
73	YDR028C	REG1	2.1
74	YEL061C	CIN8	2.0
75	YGR270W	YTA7	2.0
76	YPR141C	KAR3	2.0
77	YER093C	TSC11	2.0
78	YJR092W	BUD4	2.0
79	YDR291W	HRQ1	2.0
80	YNR031C	SSK2	2.0
81	YPL082C	MOT1	2.0
82	YBR275C	RIF1	2.0
83	YPL180W	TCO89	2.0
84	YIL002C	INP51	2.0
85	YML069W	POB3	2.0
86	YJL047C	RTT101	2.0
87	YDR420W	HKR1	2.0
88	YLR272C	YCS4	2.0
89	YOL145C	CTR9	2.0
90	YNL271C	BNI1	2.0
91	YOR216C	RUD3	2.0
92	YIL126W	STH1	2.0
93	YMR227C	TAF7	2.0
94	YJR090C	GRR1	2.0
95	YDL074C	BRE1	2.0
96	YDR485C	VPS72	2.0
97	YJR134C	SGM1	2.0
98	YOR127W	RGA1	2.0
99	YBL061C	SKT5	2.0
100	YDR416W	SYF1	2.0
101	YCR073C	SSK22	2.0
102	YML109W	ZDS2	2.0
103	YOL138C	RTC1	2.0
104	YLR320W	MMS22	2.0
105	YGL093W	SPC105	2.0
106	YHR077C	NMD2	2.0
107	YPL249C	GYP5	2.0
108	YLR386W	VAC14	2.0
109	YDR458C	HEH2	2.0
110	YBR255W	MTC4	2.0
111	YAL029C	MYO4	2.0
112	YJR052W	RAD7	2.0
113	YDL058W	USO1	2.0
114	YPR032W	SRO7	2.0
115	YGR196C	FYV8	2.0
116	YOL113W	SKM1	2.0
117	YPL174C	NIP100	2.0
118	YLR454W	FMP27	2.0
119	YBL034C	STU1	2.0
120	YBR215W	HPC2	2.0
121	YBL052C	SAS3	2.0
122	YML104C	MDM1	2.0
123	YDL028C	MPS1	2.0
124	YDL035C	GPR1	2.0
125	YJR138W	IML1	2.0
126	YNL091W	NST1	2.0
127	YEL015W	EDC3	2.0
128	YHR165C	PRP8	2.0
129	YNL225C	CNM67	2.0
130	YNL257C	SIP3	2.0
131	YOR109W	INP53	2.0
