SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: NGK1

Rank	Gene	Common	Score
Q	YLR446W	NGK1	
1	YLR307W	CDA1	2.0
2	YMR110C	HFD1	1.6
3	YJL163C	YJL163C	1.6
4	YJL132W	YJL132W	1.6
5	YKL093W	MBR1	1.6
6	YMR250W	GAD1	1.6
7	YPL123C	RNY1	1.6
8	YPL203W	TPK2	1.6
9	YPL247C	YPL247C	1.6
10	YKL091C	YKL091C	1.6
11	YLR251W	SYM1	1.6
12	YLR270W	DCS1	1.6
13	YDR069C	DOA4	1.6
14	YDR358W	GGA1	1.6
15	YGR248W	SOL4	1.5
16	YPL230W	USV1	1.5
17	YOR173W	DCS2	1.5
18	YMR053C	STB2	1.5
19	YPL186C	UIP4	1.5
20	YLR345W	YLR345W	1.5
21	YBR169C	SSE2	1.5
22	YPL152W	RRD2	1.5
23	YOR152C	ATG40	1.5
24	YPR026W	ATH1	1.5
25	YNL092W	YNL092W	1.5
26	YLR178C	TFS1	1.5
27	YMR181C	YMR181C	1.5
28	YNL200C	NNR1	1.5
29	YBR139W	ATG42	1.5
30	YMR262W	YMR262W	1.5
31	YLR149C	GID11	1.5
32	YOR292C	YOR292C	1.5
33	YEL011W	GLC3	1.5
34	YOL084W	PHM7	1.5
35	YDL199C	YDL199C	1.5
36	YOL032W	OPI10	1.5
37	YOR178C	GAC1	1.5
38	YJR096W	YJR096W	1.5
39	YPR184W	GDB1	1.5
40	YOL083W	ATG34	1.5
41	YPL003W	ULA1	1.5
42	YGR194C	XKS1	1.5
43	YIL087C	AIM19	1.5
44	YLR258W	GSY2	1.5
45	YHR171W	ATG7	1.5
46	YBR280C	SAF1	1.5
47	YNL194C	YNL194C	1.5
48	YKL121W	DGR2	1.5
49	YJL164C	TPK1	1.5
50	YBR230C	OM14	1.5
51	YLR201C	COQ9	1.5
52	YDL204W	RTN2	1.5
53	YMR148W	LDO16	1.5
54	YMR090W	YMR090W	1.5
55	YHR104W	GRE3	1.5
56	YGL250W	RMR1	1.5
57	YMR258C	ROY1	1.5
58	YOR161C	PNS1	1.5
59	YDR018C	YDR018C	1.5
60	YKL168C	KKQ8	1.4
61	YGL104C	VPS73	1.4
62	YAL028W	FRT2	1.4
63	YMR105C	PGM2	1.4
64	YOR003W	YSP3	1.4
65	YLR219W	MSC3	1.4
66	YIL017C	VID28	1.4
