SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: YRF1-4

Rank	Gene	Common	Score
Q	YLR466W	YRF1-4	
1	YLR467W	YRF1-5	6.8
2	YDR545W	YRF1-1	6.4
3	YOR396W	YRF1-8	5.3
4	YNL339C	YRF1-6	5.0
5	YGR296W	YRF1-3	4.9
6	YPL283C	YRF1-7	4.8
7	YER190W	YRF1-2	4.7
8	YLL066C	YLL066C	4.5
9	YML133C	YML133C	4.5
10	YHR219W	YHR219W	4.3
11	YEL077C	YEL077C	4.1
12	YBL113C	YBL113C	4.1
13	YHL050C	YHL050C	4.0
14	YJL225C	YJL225C	3.1
15	YPR204W	YPR204W	3.0
16	YIL177C	YIL177C	2.9
17	YLL067C	YLL067C	2.8
18	YHR218W	YHR218W	2.2
19	YBL111C	YBL111C	2.1
20	YBL112C	YBL112C	2.1
21	YML132W	COS3	2.0
22	YFL066C	YFL066C	1.9
23	YLR465C	BSC3	1.9
24	YFL062W	COS4	1.9
25	YLR464W	YLR464W	1.8
26	YLR256W	HAP1	1.8
27	YBR302C	COS2	1.8
28	YGR270W	YTA7	1.8
29	YGL207W	SPT16	1.8
30	YGR032W	GSC2	1.8
31	YDL126C	CDC48	1.8
32	YML042W	CAT2	1.8
33	YIL046W	MET30	1.8
34	YBR295W	PCA1	1.7
35	YHR188C	GPI16	1.7
36	YLR248W	RCK2	1.7
37	YPR135W	CTF4	1.7
38	YNR016C	ACC1	1.7
39	YPR075C	OPY2	1.7
40	YEL058W	PCM1	1.7
41	YDL248W	COS7	1.7
42	YJR161C	COS5	1.7
43	YNL336W	COS1	1.7
44	YHL048W	COS8	1.7
45	YPR023C	EAF3	1.7
46	YLR462W	YLR462W	1.7
47	YGL173C	XRN1	1.7
48	YGL062W	PYC1	1.7
49	YJL222W	VTH2	1.7
50	YIL156W	UBP7	1.7
51	YFL068W	YFL068W	1.7
52	YDL019C	OSH2	1.7
53	YPR203W	YPR203W	1.7
54	YAR007C	RFA1	1.7
55	YKL129C	MYO3	1.7
56	YMR273C	ZDS1	1.7
57	YBR275C	RIF1	1.7
58	YMR135C	GID8	1.7
59	YGR204W	ADE3	1.7
60	YCR011C	ADP1	1.7
61	YJL092W	SRS2	1.7
62	YGL023C	PIB2	1.6
63	YOL100W	PKH2	1.6
64	YNL273W	TOF1	1.6
65	YPR202W	YPR202W	1.6
66	YNL243W	SLA2	1.6
67	YOL155C	HPF1	1.6
68	YGL022W	STT3	1.6
69	YNL329C	PEX6	1.6
70	YNL242W	ATG2	1.6
71	YKL203C	TOR2	1.6
72	YGR240C	PFK1	1.6
73	YGR184C	UBR1	1.6
74	YFR019W	FAB1	1.6
75	YEL060C	PRB1	1.6
76	YKL045W	PRI2	1.6
77	YFL067W	YFL067W	1.6
78	YLR450W	HMG2	1.6
79	YCR032W	BPH1	1.6
80	YAL062W	GDH3	1.6
81	YJL115W	ASF1	1.6
82	YKR048C	NAP1	1.6
83	YHL025W	SNF6	1.6
84	YCL024W	KCC4	1.6
85	YLR044C	PDC1	1.6
86	YDL231C	BRE4	1.6
87	YPL221W	FLC1	1.6
88	YPR026W	ATH1	1.6
89	YLR247C	IRC20	1.6
90	YNL138W	SRV2	1.6
91	YML102W	CAC2	1.6
92	YPL058C	PDR12	1.6
93	YLL015W	BPT1	1.6
94	YML069W	POB3	1.6
95	YFL033C	RIM15	1.6
96	YHR186C	KOG1	1.6
97	YBL017C	PEP1	1.6
98	YCR104W	PAU3	1.6
99	YOL090W	MSH2	1.6
100	YGL216W	KIP3	1.6
101	YGR178C	PBP1	1.6
102	YFL018C	LPD1	1.6
103	YBR169C	SSE2	1.6
104	YNL283C	WSC2	1.6
105	YPL262W	FUM1	1.6
106	YHL049C	YHL049C	1.6
107	YJL042W	MHP1	1.6
108	YEL032W	MCM3	1.6
109	YBL007C	SLA1	1.6
110	YLL040C	VPS13	1.6
111	YLR032W	RAD5	1.6
112	YOR328W	PDR10	1.6
113	YDR128W	MTC5	1.6
114	YOL011W	PLB3	1.6
115	YBR059C	AKL1	1.6
116	YGL156W	AMS1	1.6
117	YJR103W	URA8	1.6
118	YIL107C	PFK26	1.6
119	YOR132W	VPS17	1.6
120	YOR133W	EFT1	1.6
121	YPL015C	HST2	1.6
122	YGR070W	ROM1	1.6
123	YLR371W	ROM2	1.6
124	YNL125C	ESBP6	1.6
125	YDL195W	SEC31	1.6
126	YHR042W	NCP1	1.6
127	YGR121C	MEP1	1.6
128	YKL163W	PIR3	1.6
129	YMR136W	GAT2	1.6
130	YIL033C	BCY1	1.6
131	YOR321W	PMT3	1.6
132	YER172C	BRR2	1.6
133	YJR059W	PTK2	1.6
134	YBL022C	PIM1	1.6
135	YDR039C	ENA2	1.6
136	YIL136W	OM45	1.6
137	YGL027C	CWH41	1.6
138	YOR027W	STI1	1.6
139	YFL008W	SMC1	1.6
140	YPL222W	FMP40	1.6
141	YDR122W	KIN1	1.6
142	YOL051W	GAL11	1.6
143	YDR388W	RVS167	1.6
144	YBR112C	CYC8	1.6
145	YHR102W	KIC1	1.6
146	YOR086C	TCB1	1.6
147	YBR001C	NTH2	1.6
148	YGL197W	MDS3	1.6
149	YHL027W	RIM101	1.6
150	YDR490C	PKH1	1.6
151	YOR227W	HER1	1.6
152	YFL039C	ACT1	1.6
153	YDL171C	GLT1	1.6
154	YPR184W	GDB1	1.6
155	YHR110W	ERP5	1.6
156	YGL093W	SPC105	1.6
157	YGR258C	RAD2	1.6
158	YEL075W-A	YEL075W-A	1.6
159	YDR001C	NTH1	1.6
160	YIL115C	NUP159	1.6
161	YLR304C	ACO1	1.6
162	YJR155W	AAD10	1.5
163	YKL064W	MNR2	1.5
164	YHR057C	CPR2	1.5
165	YDR335W	MSN5	1.5
166	YLR299W	ECM38	1.5
167	YDR188W	CCT6	1.5
168	YJL080C	SCP160	1.5
169	YKL010C	UFD4	1.5
170	YLR273C	PIG1	1.5
171	YHR114W	BZZ1	1.5
172	YJL079C	PRY1	1.5
173	YDL197C	ASF2	1.5
174	YLR155C	ASP3-1	1.5
175	YER147C	SCC4	1.5
176	YAL017W	PSK1	1.5
177	YMR076C	PDS5	1.5
178	YDR293C	SSD1	1.5
179	YPL231W	FAS2	1.5
180	YNL262W	POL2	1.5
181	YMR302C	YME2	1.5
182	YIL014W	MNT3	1.5
183	YCL011C	GBP2	1.5
184	YBR276C	PPS1	1.5
185	YMR176W	ECM5	1.5
186	YNL322C	KRE1	1.5
187	YMR304W	UBP15	1.5
188	YJR127C	RSF2	1.5
189	YFL065C	YFL065C	1.5
190	YGR157W	CHO2	1.5
191	YEL009C	GCN4	1.5
192	YPR095C	SYT1	1.5
193	YLR386W	VAC14	1.5
194	YGL126W	SCS3	1.5
195	YKR046C	PLN1	1.5
196	YMR219W	ESC1	1.5
197	YBR218C	PYC2	1.5
198	YMR227C	TAF7	1.5
199	YGL055W	OLE1	1.5
200	YKL113C	RAD27	1.5
201	YOR034C	AKR2	1.5
202	YBL035C	POL12	1.5
203	YMR083W	ADH3	1.5
204	YDR028C	REG1	1.5
205	YOR290C	SNF2	1.5
206	YGL026C	TRP5	1.5
207	YGR295C	COS6	1.5
208	YHR106W	TRR2	1.5
209	YBR073W	RDH54	1.5
210	YML001W	YPT7	1.5
211	YOL060C	MAM3	1.5
212	YIL155C	GUT2	1.5
213	YGR246C	BRF1	1.5
214	YPL186C	UIP4	1.5
215	YKL148C	SDH1	1.5
216	YER114C	BOI2	1.5
217	YCR088W	ABP1	1.5
218	YLR189C	ATG26	1.5
219	YNL309W	STB1	1.5
220	YIL125W	KGD1	1.5
221	YIR025W	MND2	1.5
222	YDL013W	SLX5	1.5
223	YBL101C	ECM21	1.5
224	YKR028W	SAP190	1.5
225	YLR430W	SEN1	1.5
226	YNL321W	VNX1	1.5
227	YKL038W	RGT1	1.5
228	YDR481C	PHO8	1.5
229	YMR089C	YTA12	1.5
230	YPR173C	VPS4	1.5
231	YOR326W	MYO2	1.5
232	YLR138W	NHA1	1.5
233	YNL233W	BNI4	1.5
234	YNL215W	IES2	1.5
235	YGL092W	NUP145	1.5
236	YLR382C	NAM2	1.5
237	YLR383W	SMC6	1.5
238	YNL209W	SSB2	1.5
239	YIL129C	TAO3	1.5
240	YAL005C	SSA1	1.5
241	YER095W	RAD51	1.5
242	YIL123W	SIM1	1.5
243	YDL137W	ARF2	1.5
244	YDL215C	GDH2	1.5
245	YFR031C	SMC2	1.5
246	YER189W	YER189W	1.5
247	YBL099W	ATP1	1.5
248	YNR065C	YNR065C	1.5
249	YOL110W	SHR5	1.5
250	YLR330W	CHS5	1.5
251	YLR099C	ICT1	1.5
252	YHR165C	PRP8	1.5
253	YLR425W	TUS1	1.5
254	YGR244C	LSC2	1.5
255	YLL043W	FPS1	1.5
256	YLL021W	SPA2	1.5
257	YJL223C	PAU1	1.5
258	YIL147C	SLN1	1.5
259	YGR281W	YOR1	1.5
260	YOL017W	ESC8	1.5
261	YMR020W	FMS1	1.5
262	YOR117W	RPT5	1.5
263	YJR001W	AVT1	1.5
264	YKL046C	DCW1	1.5
265	YOR007C	SGT2	1.5
266	YHR096C	HXT5	1.5
267	YIL078W	THS1	1.5
268	YHR204W	MNL1	1.5
269	YBR214W	SDS24	1.5
270	YGR234W	YHB1	1.5
271	YMR047C	NUP116	1.5
272	YCL034W	LSB5	1.5
273	YGL025C	PGD1	1.5
274	YDL145C	COP1	1.5
275	YOR374W	ALD4	1.5
276	YEL076C	YEL076C	1.5
277	YJR152W	DAL5	1.5
278	YLL026W	HSP104	1.5
279	YER162C	RAD4	1.5
280	YGR279C	SCW4	1.5
281	YOR303W	CPA1	1.5
282	YDR488C	PAC11	1.5
283	YEL011W	GLC3	1.5
284	YJR151C	DAN4	1.5
285	YOL043C	NTG2	1.5
286	YMR303C	ADH2	1.5
287	YDR406W	PDR15	1.5
288	YOL126C	MDH2	1.5
289	YJL005W	CYR1	1.5
