SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: GIS4

Rank	Gene	Common	Score
Q	YML006C	GIS4	
1	YJL098W	SAP185	2.7
2	YOR047C	STD1	2.7
3	YML093W	UTP14	2.7
4	YKR024C	DBP7	2.6
5	YLR222C	UTP13	2.5
6	YDL074C	BRE1	2.5
7	YNL186W	UBP10	2.5
8	YOR304W	ISW2	2.5
9	YLL011W	SOF1	2.5
10	YDR017C	KCS1	2.5
11	YLR276C	DBP9	2.5
12	YPR137W	RRP9	2.5
13	YML065W	ORC1	2.5
14	YKR082W	NUP133	2.5
15	YIL130W	ASG1	2.5
16	YLR409C	UTP21	2.5
17	YOR078W	BUD21	2.5
18	YBR172C	SMY2	2.5
19	YLR002C	NOC3	2.5
20	YML080W	DUS1	2.5
21	YLR223C	IFH1	2.5
22	YKL048C	ELM1	2.5
23	YDR496C	PUF6	2.5
24	YMR093W	UTP15	2.5
25	YDL031W	DBP10	2.5
26	YKL078W	DHR2	2.5
27	YNL119W	NCS2	2.5
28	YMR014W	BUD22	2.5
29	YNL201C	PSY2	2.4
30	YKR056W	TRM2	2.4
31	YOR233W	KIN4	2.4
32	YMR288W	HSH155	2.4
33	YMR239C	RNT1	2.4
34	YHR196W	UTP9	2.4
35	YNL182C	IPI3	2.4
36	YPL012W	RRP12	2.4
37	YOR048C	RAT1	2.4
38	YPL183C	RTT10	2.4
39	YOL115W	PAP2	2.4
40	YLR277C	YSH1	2.4
41	YKR099W	BAS1	2.4
42	YDR021W	FAL1	2.4
43	YDR351W	SBE2	2.4
44	YNL299W	TRF5	2.4
45	YLR129W	DIP2	2.4
46	YJR089W	BIR1	2.4
47	YDR398W	UTP5	2.4
48	YFL001W	DEG1	2.4
49	YLR397C	AFG2	2.4
50	YKL139W	CTK1	2.4
51	YOR043W	WHI2	2.4
52	YMR212C	EFR3	2.4
53	YPR112C	MRD1	2.4
54	YOR206W	NOC2	2.4
55	YJL125C	GCD14	2.4
56	YDR280W	RRP45	2.4
57	YJL010C	NOP9	2.4
58	YMR268C	PRP24	2.4
59	YNL163C	RIA1	2.3
60	YNL068C	FKH2	2.3
61	YMR128W	ECM16	2.3
62	YDR159W	SAC3	2.3
63	YBL014C	RRN6	2.3
64	YKL068W	NUP100	2.3
65	YBR142W	MAK5	2.3
66	YGR145W	ENP2	2.3
67	YLL004W	ORC3	2.3
68	YGR090W	UTP22	2.3
69	YKR060W	UTP30	2.3
70	YLR335W	NUP2	2.3
