SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: YML018C

Rank	Gene	Common	Score
Q	YML018C	YML018C	
1	YMR093W	UTP15	2.6
2	YDR101C	ARX1	2.4
3	YNL248C	RPA49	2.4
4	YML022W	APT1	2.3
5	YNR053C	NOG2	2.3
6	YBR034C	HMT1	2.2
7	YLR129W	DIP2	2.2
8	YJL148W	RPA34	2.2
9	YJL122W	ALB1	2.2
10	YPL093W	NOG1	2.2
11	YPR144C	NOC4	2.2
12	YGR159C	NSR1	2.2
13	YGR128C	UTP8	2.2
14	YLR409C	UTP21	2.2
15	YLL011W	SOF1	2.2
16	YCR072C	RSA4	2.2
17	YPL211W	NIP7	2.2
18	YJR063W	RPA12	2.2
19	YNL182C	IPI3	2.2
20	YPR137W	RRP9	2.2
21	YJR124C	YJR124C	2.2
22	YOR310C	NOP58	2.2
23	YKL009W	MRT4	2.2
24	YPR110C	RPC40	2.2
25	YJL069C	UTP18	2.2
26	YDR091C	RLI1	2.2
27	YHR169W	DBP8	2.2
28	YDR398W	UTP5	2.2
29	YNL256W	FOL1	2.2
30	YKR024C	DBP7	2.1
31	YCR057C	PWP2	2.1
32	YMR290C	HAS1	2.1
33	YOL077C	BRX1	2.1
34	YOR004W	UTP23	2.1
35	YJR070C	LIA1	2.1
36	YML080W	DUS1	2.1
37	YKL078W	DHR2	2.1
38	YLR372W	ELO3	2.1
39	YOR206W	NOC2	2.1
40	YDR324C	UTP4	2.1
41	YLR009W	RLP24	2.1
42	YLR175W	CBF5	2.1
43	YLR222C	UTP13	2.1
44	YNL132W	KRE33	2.1
45	YKR081C	RPF2	2.1
46	YOL124C	TRM11	2.1
47	YOR294W	RRS1	2.1
48	YPL043W	NOP4	2.1
49	YDL063C	SYO1	2.1
50	YOR145C	PNO1	2.1
51	YPL226W	NEW1	2.1
52	YLR073C	RFU1	2.1
53	YNL141W	AAH1	2.1
54	YAL036C	RBG1	2.1
55	YOL010W	RCL1	2.1
56	YKR056W	TRM2	2.1
57	YGL078C	DBP3	2.1
58	YOR272W	YTM1	2.1
59	YBR247C	ENP1	2.1
60	YNL002C	RLP7	2.1
61	YHR197W	RIX1	2.1
62	YPL183C	RTT10	2.1
63	YKL181W	PRS1	2.1
64	YBL024W	NCL1	2.1
65	YDL167C	NRP1	2.1
66	YOR224C	RPB8	2.1
67	YOR340C	RPA43	2.1
68	YMR049C	ERB1	2.1
69	YJL198W	PHO90	2.1
70	YGL120C	PRP43	2.1
71	YPL030W	TRM44	2.1
72	YLR186W	EMG1	2.1
73	YKL191W	DPH2	2.1
74	YNL112W	DBP2	2.1
75	YHR196W	UTP9	2.1
76	YKR092C	SRP40	2.1
77	YAL025C	MAK16	2.1
78	YIL110W	HPM1	2.1
79	YNR012W	URK1	2.1
80	YLR405W	DUS4	2.1
81	YLR196W	PWP1	2.1
82	YJL109C	UTP10	2.1
83	YHR170W	NMD3	2.1
84	YDR165W	TRM82	2.0
85	YOL080C	REX4	2.0
86	YAL059W	ECM1	2.0
87	YOR095C	RKI1	2.0
88	YML082W	YML082W	2.0
89	YPL126W	NAN1	2.0
90	YGL169W	SUA5	2.0
91	YLR083C	EMP70	2.0
92	YMR309C	NIP1	2.0
93	YEL026W	SNU13	2.0
94	YOR243C	PUS7	2.0
95	YIR012W	SQT1	2.0
96	YNL175C	NOP13	2.0
97	YDR184C	ATC1	2.0
98	YBR267W	REI1	2.0
99	YML056C	IMD4	2.0
100	YGR187C	HGH1	2.0
101	YJL050W	MTR4	2.0
102	YNL313C	EMW1	2.0
103	YLR397C	AFG2	2.0
104	YNL061W	NOP2	2.0
105	YOL092W	YPQ1	2.0
106	YBL081W	YBL081W	2.0
107	YDR399W	HPT1	2.0
108	YHR148W	IMP3	2.0
109	YHR052W	CIC1	2.0
110	YNL186W	UBP10	2.0
111	YHL011C	PRS3	2.0
112	YHR020W	YHR020W	2.0
113	YDR449C	UTP6	2.0
114	YJL125C	GCD14	2.0
115	YPR010C	RPA135	2.0
116	YMR131C	RRB1	2.0
117	YEL040W	UTR2	2.0
118	YER126C	NSA2	2.0
119	YMR217W	GUA1	2.0
120	YNL119W	NCS2	2.0
121	YPR163C	TIF3	2.0
122	YDL014W	NOP1	2.0
123	YGR103W	NOP7	2.0
124	YLR435W	TSR2	2.0
125	YER006W	NUG1	2.0
126	YDR299W	BFR2	2.0
127	YLR197W	NOP56	2.0
128	YKL172W	EBP2	2.0
129	YNR038W	DBP6	2.0
130	YPR190C	RPC82	2.0
131	YDR321W	ASP1	2.0
132	YLR180W	SAM1	2.0
133	YML043C	RRN11	2.0
134	YHR066W	SSF1	2.0
135	YGL171W	ROK1	2.0
136	YDL060W	TSR1	2.0
137	YER049W	TPA1	2.0
138	YCL054W	SPB1	2.0
139	YNL110C	NOP15	2.0
140	YDR465C	RMT2	2.0
141	YGR158C	MTR3	2.0
142	YML093W	UTP14	2.0
143	YNL062C	GCD10	2.0
144	YLR003C	CMS1	2.0
145	YMR310C	UPA2	2.0
146	YER056C	FCY2	2.0
147	YHR089C	GAR1	2.0
148	YJL208C	NUC1	2.0
149	YKL081W	TEF4	2.0
150	YGR123C	PPT1	1.9
151	YNL113W	RPC19	1.9
152	YOR359W	VTS1	1.9
153	YKR060W	UTP30	1.9
154	YGR200C	ELP2	1.9
155	YLL008W	DRS1	1.9
156	YDR496C	PUF6	1.9
157	YBR142W	MAK5	1.9
158	YDL201W	TRM8	1.9
159	YIL079C	AIR1	1.9
160	YLR002C	NOC3	1.9
161	YER110C	KAP123	1.9
162	YBR271W	EFM2	1.9
163	YHL039W	EFM1	1.9
164	YER127W	LCP5	1.9
165	YGR145W	ENP2	1.9
166	YER036C	ARB1	1.9
167	YLR063W	BMT6	1.9
168	YLL035W	GRC3	1.9
169	YOR271C	FSF1	1.9
170	YMR229C	RRP5	1.9
171	YGL111W	NSA1	1.9
172	YOR101W	RAS1	1.9
173	YGR264C	MES1	1.9
174	YDR083W	RRP8	1.9
175	YJR041C	URB2	1.9
176	YBL039C	URA7	1.9
177	YPL012W	RRP12	1.9
178	YDR120C	TRM1	1.9
179	YLR276C	DBP9	1.9
180	YDL208W	NHP2	1.9
181	YNL151C	RPC31	1.9
182	YJL033W	HCA4	1.9
183	YNL075W	IMP4	1.9
184	YPL266W	DIM1	1.9
185	YMR239C	RNT1	1.9
186	YLR051C	FCF2	1.9
187	YKL029C	MAE1	1.9
188	YGR162W	TIF4631	1.9
189	YCL037C	SRO9	1.9
190	YBR061C	TRM7	1.9
191	YOR108W	LEU9	1.9
192	YOR001W	RRP6	1.9
193	YJL183W	MNN11	1.9
194	YNL308C	KRI1	1.9
195	YKL004W	AUR1	1.9
196	YPL146C	NOP53	1.9
197	YMR014W	BUD22	1.9
198	YBL068W	PRS4	1.9
199	YLL034C	RIX7	1.9
200	YOL061W	PRS5	1.9
201	YLR074C	BUD20	1.9
202	YNR046W	TRM112	1.9
203	YER156C	MYG1	1.9
204	YOL097C	WRS1	1.9
205	YJL010C	NOP9	1.9
206	YBL054W	TOD6	1.9
207	YDR060W	MAK21	1.9
208	YOR361C	PRT1	1.9
209	YPR112C	MRD1	1.9
210	YGR155W	CYS4	1.9
211	YKR026C	GCN3	1.9
212	YOL041C	NOP12	1.9
213	YIL091C	UTP25	1.9
214	YGR090W	UTP22	1.9
215	YHR085W	IPI1	1.9
216	YHR128W	FUR1	1.9
217	YGR245C	SDA1	1.9
218	YLR401C	DUS3	1.9
219	YNL124W	NAF1	1.9
220	YPL086C	ELP3	1.9
221	YJR007W	SUI2	1.9
222	YBL028C	YBL028C	1.9
223	YLR264W	RPS28B	1.9
224	YBR188C	NTC20	1.9
225	YBR187W	GDT1	1.8
226	YJL200C	ACO2	1.8
227	YBR084W	MIS1	1.8
228	YCR034W	ELO2	1.8
229	YGL099W	LSG1	1.8
230	YEL055C	POL5	1.8
231	YNR054C	ESF2	1.8
232	YLR017W	MEU1	1.8
233	YJR002W	MPP10	1.8
234	YPR016C	TIF6	1.8
235	YNL299W	TRF5	1.8
236	YDL051W	LHP1	1.8
237	YDR144C	MKC7	1.8
238	YDR087C	RRP1	1.8
239	YML125C	PGA3	1.8
240	YMR301C	ATM1	1.8
241	YKL021C	MAK11	1.8
242	YLR146C	SPE4	1.8
243	YOR342C	YOR342C	1.8
244	YJR003C	MRX12	1.8
245	YPL217C	BMS1	1.8
246	YPR060C	ARO7	1.8
247	YNL096C	RPS7B	1.8
248	YBR079C	RPG1	1.8
249	YGR208W	SER2	1.8
250	YPR041W	TIF5	1.8
251	YMR308C	PSE1	1.8
252	YLR413W	INA1	1.8
253	YER118C	SHO1	1.8
254	YJR097W	JJJ3	1.8
255	YGR177C	ATF2	1.8
256	YKR079C	TRZ1	1.8
257	YDR021W	FAL1	1.8
258	YLR336C	SGD1	1.8
259	YNL066W	SUN4	1.8
260	YER086W	ILV1	1.8
261	YOL139C	CDC33	1.8
262	YOR260W	GCD1	1.8
263	YKL156W	RPS27A	1.8
264	YJL190C	RPS22A	1.8
265	YOR234C	RPL33B	1.8
266	YKL099C	UTP11	1.8
267	YDR361C	BCP1	1.8
268	YKL082C	RRP14	1.8
269	YBR283C	SSH1	1.8
270	YOR078W	BUD21	1.8
271	YML106W	URA5	1.8
272	YEL042W	GDA1	1.8
273	YIL127C	RRT14	1.8
274	YIR026C	YVH1	1.8
275	YJL191W	RPS14B	1.8
276	YMR241W	YHM2	1.8
277	YIL103W	DPH1	1.8
278	YNL022C	RCM1	1.8
279	YDR075W	PPH3	1.8
280	YBR155W	CNS1	1.8
281	YPL207W	TYW1	1.8
282	YKL120W	OAC1	1.8
283	YEL054C	RPL12A	1.8
284	YMR300C	ADE4	1.8
285	YDL153C	SAS10	1.8
286	YGR283C	UPA1	1.8
287	YOL022C	TSR4	1.8
288	YOR091W	TMA46	1.8
289	YDL148C	NOP14	1.8
290	YMR259C	TRM732	1.8
291	YBR154C	RPB5	1.8
292	YOL125W	TRM13	1.8
293	YML113W	DAT1	1.8
294	YDR395W	SXM1	1.8
